target_name,validation_protocol,fold,loss_name,seed,control_type,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,ar_only_head,3.017500638961792,11.68813419342041,3.41879133516809,0.25486352446510097,0.21583434380254332,0.21583434380254332
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,ar_only_head,2.9707424640655518,11.034847259521484,3.321874058347409,0.26026098161098676,0.2122262438783093,0.2122262438783093
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,ar_only_head,3.271500587463379,15.581088066101074,3.9472886980940567,0.23622307047949934,0.20759943871802555,0.20759943871802555
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,ar_only_head,0.05669526755809784,0.008276949636638165,0.09097774253430431,0.34602198683699015,0.2631582330408731,0.2631582330408731
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,ar_only_head,0.05623970925807953,0.008284959010779858,0.09102175020718871,0.3476275201834879,0.2686234618319379,0.2686234618319379
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260627,ar_only_head,0.05644555389881134,0.008265851065516472,0.09091672599426616,0.34836670941374764,0.26684654666486296,0.26684654666486296
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260625,ar_only_head,0.057220663875341415,0.008257096633315086,0.0908685679061527,0.34735419222457,0.2691682540839851,0.22235288687938276
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260626,ar_only_head,0.05631409212946892,0.008252859115600586,0.09084524817292638,0.3500040344379551,0.27119844424191425,0.21412693128971835
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260627,ar_only_head,0.057235460728406906,0.008247229270637035,0.09081425697894045,0.34701638735279194,0.2691063569331542,0.2104680288030543
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,ar_plus_random_pca,2.7615556716918945,8.50629711151123,2.916555693195525,0.25695225007283373,0.1832925399305039,0.1832925399305039
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,ar_plus_random_pca,2.803976058959961,8.77226448059082,2.9618008846968125,0.25655112953144943,0.1832081939081571,0.1832081939081571
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,ar_plus_random_pca,2.823185682296753,8.896814346313477,2.982752813478428,0.26076063811693573,0.18766401296592047,0.18766401296592047
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,ar_plus_random_pca,0.05866341292858124,0.008533740416169167,0.09237824644454541,0.29536587710154594,0.20832651633232405,0.20832651633232405
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,ar_plus_random_pca,0.05897791311144829,0.008734422735869884,0.09345813359932822,0.27458795205625497,0.19278898410488227,0.19278898410488227
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260627,ar_plus_random_pca,0.058162905275821686,0.008705081418156624,0.09330102581513573,0.28703919971720665,0.20536316140445357,0.20536316140445357
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260625,ar_plus_random_pca,0.0587657168507576,0.008719065226614475,0.09337593494372345,0.272007945175298,0.20192569334993954,0.1928394860501012
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260626,ar_plus_random_pca,0.059063870459795,0.008786528371274471,0.0937364836724446,0.26851412014918,0.186410670981132,0.18501783380422718
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260627,ar_plus_random_pca,0.06095262989401817,0.008907468058168888,0.09437938365007947,0.24104298663159376,0.17196091451135384,0.18980249645366068
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,ar_plus_shuffled_pca,3.622938871383667,14.186379432678223,3.766481041061832,0.23583090915815436,0.18080597438025675,0.18080597438025675
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,ar_plus_shuffled_pca,3.5133585929870605,13.29746150970459,3.6465684567418433,0.24038533853508876,0.17708959905846192,0.17708959905846192
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,ar_plus_shuffled_pca,3.528989791870117,13.448408126831055,3.6672071289785437,0.24228879137676848,0.17971233208781387,0.17971233208781387
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,ar_plus_shuffled_pca,0.05891752615571022,0.008787896484136581,0.09374378104245946,0.27092703961636677,0.19876224809917223,0.19876224809917223
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,ar_plus_shuffled_pca,0.06594078987836838,0.00947902537882328,0.09736028645614843,0.2211781975882479,0.16991545761035368,0.16991545761035368
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260627,ar_plus_shuffled_pca,0.06148819625377655,0.008731786161661148,0.09344402689129545,0.2751800953781259,0.2029599739490712,0.2029599739490712
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260625,ar_plus_shuffled_pca,0.05995718389749527,0.009072775952517986,0.09525112047906831,0.2311480009097828,0.18008914050651442,0.18419576794676895
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260626,ar_plus_shuffled_pca,0.061602234840393066,0.009233963675796986,0.09609351526402281,0.22600474993989197,0.1609870233355929,0.18371924701776207
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260627,ar_plus_shuffled_pca,0.06440984457731247,0.009670821018517017,0.09834033261341461,0.19211287599576032,0.13910593920801734,0.18500895137471124
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,diag_only,2.367816925048828,5.7600507736206055,2.4000105778143155,0.04018302849889354,0.03792998796920727,0.03792998796920727
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,diag_only,2.2620432376861572,5.156113624572754,2.2707077364937907,-0.03054585044027156,-0.005985903773724573,-0.005985903773724573
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,diag_only,2.318098545074463,5.488846302032471,2.342828696689639,0.026767539788428298,0.024753529316568164,0.024753529316568164
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,diag_only,0.06329499930143356,0.009310605935752392,0.09649148115638184,0.04058100053346416,0.04208852298871877,0.04208852298871877
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,diag_only,0.06299304962158203,0.009321399964392185,0.09654739750191191,0.03324460634052145,0.034152400785496806,0.034152400785496806
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260627,diag_only,0.0626373142004013,0.009375251829624176,0.09682588408903983,0.0017229692807448221,0.014119433116371365,0.014119433116371365
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260625,diag_only,0.062447741627693176,0.009395139291882515,0.0969285267188278,-0.007805030694644856,0.011350998559523703,-0.006574066748130654
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260626,diag_only,0.06227150559425354,0.00950451847165823,0.0974911199630932,0.010389080228344455,0.016540185810621933,0.020293740969784067
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260627,diag_only,0.06465886533260345,0.00933070294559002,0.09659556379870672,0.03610232110782899,0.037732128949798646,0.03705832530845674
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,label_permutation,8.641898155212402,103.09443664550781,10.153543058731165,-0.0025741478216371435,0.003529105350854966,0.003529105350854966
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,label_permutation,2.7195630073547363,7.659358024597168,2.76755452061873,-0.023016328155388815,-0.024688523128843624,-0.024688523128843624
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,label_permutation,6.787500858306885,59.217559814453125,7.6952946541671245,0.012003628528100578,0.005721667680489984,0.005721667680489984
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,label_permutation,0.08589252084493637,0.014875742606818676,0.12196615352965214,-0.09322748850593117,-0.06359886800161235,-0.06359886800161235
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,label_permutation,0.07105835527181625,0.010510597378015518,0.10252120452869991,0.006140413374601531,0.012118446245455886,0.012118446245455886
