target_name,validation_protocol,feature_name,model_head,loss_name,control_type,folds,seeds,rows_test_total,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_f1,std_f1,min_f1,max_f1,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_precision,std_precision,min_precision,max_precision,mean_recall,std_recall,min_recall,max_recall,mean_top_1pct_recall,std_top_1pct_recall,min_top_1pct_recall,max_top_1pct_recall,mean_top_5pct_recall,std_top_5pct_recall,min_top_5pct_recall,max_top_5pct_recall,mean_top_10pct_recall,std_top_10pct_recall,min_top_10pct_recall,max_top_10pct_recall,mean_continuous_mae,std_continuous_mae,min_continuous_mae,max_continuous_mae,mean_continuous_mse,std_continuous_mse,min_continuous_mse,max_continuous_mse,mean_continuous_pearson,std_continuous_pearson,min_continuous_pearson,max_continuous_pearson
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,random_pca,1,3,210993,0.21911851665925408,0.004881577214830942,0.21286931019556954,0.22478383988495979,0.6928024589534997,0.00242377318460855,0.6910057617514118,0.6962288352538872,0.26500910272008094,0.004820387682859394,0.25906425750867534,0.27087087087087086,0.5880383537466436,0.002851045937596006,0.5845623643935111,0.5915457601672949,0.2499226705629225,0.004918047777219937,0.2435320584926884,0.25549512803081803,0.28203817314246765,0.004734600965169745,0.27671267893660534,0.2882157464212679,0.03587252897068848,0.002144634108495777,0.033358895705521474,0.03859918200408998,0.1386332651670075,0.005033400645733695,0.1331799591002045,0.14532208588957055,0.23930640763462852,0.006268719738225186,0.23185071574642127,0.2471881390593047,2.934794823328654,0.028365749674928418,2.894827365875244,2.9577577114105225,9.716509819030762,0.14103091546642182,9.518651008605957,9.837199211120605,0.25010613039182134,0.0043328027353641,0.24526460815976486,0.2557795083270807
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,ar_plus_random_pca,1,3,210993,0.2160606628868956,0.006427063761036872,0.21129866231293862,0.22514638060139297,0.6915019226094802,0.002894317820381356,0.6891252003906442,0.6955762856400574,0.25972823438102405,0.005999660376141908,0.2548103186646434,0.26817505209883896,0.5849381774490064,0.0037312107331423216,0.5817284179918271,0.5901701749690333,0.24457336583713596,0.004685552502846199,0.24005808757819483,0.25103110021179353,0.2769256987048398,0.008141480661726225,0.26827709611451944,0.2878323108384458,0.03323108384458078,0.0031010293771434627,0.030547034764826175,0.037576687116564415,0.13726993865030676,0.00470421736259109,0.13369120654396727,0.1439161554192229,0.2360685071574642,0.005503335925769673,0.2310838445807771,0.24373721881390592,2.9607198238372803,0.04532283180173553,2.9028918743133545,3.0135750770568848,9.975494066874186,0.34878698828775373,9.584193229675293,10.43122386932373,0.2464867332429025,0.005884604141660005,0.24171408317236925,0.2547772269185657
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,ar_plus_shuffled_pca,1,3,210993,0.21319853852655055,0.003736763309964711,0.2097483992522419,0.2183902353852204,0.6581034256814907,0.006417089179435717,0.6509230598074857,0.6664998867775072,0.1938064982018806,0.005107089613406337,0.18671868073410763,0.1985527709142252,0.5509418504091413,0.002058684514691654,0.5480790967362575,0.5528323067080291,0.3154707600740321,0.007563222435459491,0.30477568740955135,0.32094103979088007,0.13986877982276755,0.003878598049332327,0.13458588957055215,0.1437883435582822,0.03851397409679618,0.0009863528376610623,0.037576687116564415,0.03987730061349693,0.14153033401499657,0.0035563457318863716,0.13650306748466257,0.1441717791411043,0.23368268575323792,0.003098101391052805,0.23044478527607362,0.23785787321063395,3.698870897293091,0.039764104820622724,3.6629953384399414,3.7543118000030518,14.876384735107422,0.3559059217718861,14.520650863647461,15.362624168395996,0.21652440432200326,0.008616547383249436,0.20675208140188292,0.2277148192486003
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,shuffled_pca,1,3,210993,0.20846832581901406,0.0020496926081337266,0.2062676221686595,0.2112025495070509,0.6586940442629525,0.004494974056260988,0.6527572715536841,0.6636304842242127,0.179531408381598,0.0036756980871958693,0.17615723732549596,0.18464301751234846,0.5456077184522341,0.0013065986526767943,0.5444476731898461,0.5474333418624394,0.3109400037702133,0.0015209015368168582,0.3093502377179081,0.31298955613577023,0.12623551465576008,0.003751567819146441,0.12257157464212678,0.13139059304703476,0.036639400136332656,0.00012050217811631729,0.03655419222903886,0.03680981595092025,0.1360770279481936,0.0004931764188305269,0.1356083844580777,0.13675869120654396,0.22754771642808455,0.0014091543463310553,0.2258435582822086,0.22929447852760737,3.8882156213124595,0.020374933207771954,3.8717057704925537,3.9169223308563232,16.43795649210612,0.19488614816883934,16.227203369140625,16.697145462036133,0.21508537173786949,0.006152762654696302,0.20656982465522003,0.22089195961278088
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression_plus_binary,real,1,3,210993,0.20550810280014487,0.0041767133968014045,0.19965941896983583,0.20914803907549367,0.6512045439595155,0.00277548951434232,0.6488239963340874,0.655097549319875,0.17757080644279766,0.009316061514177671,0.1645847239439306,0.18598862019914653,0.5449071009432084,0.003016663127302485,0.5407524306152967,0.5478237337213734,0.3079153239717068,0.012320732395428113,0.29418472063854045,0.3240705970709726,0.12529822767552828,0.010629323569382938,0.11030163599182004,0.13369120654396727,0.03638377641445126,0.002139550022067096,0.03374233128834356,0.038982617586912065,0.13454328561690523,0.0020405470372917597,0.13215746421267893,0.13714212678936605,0.22511929107021134,0.00455164977041132,0.21932515337423314,0.23044478527607362,0.08179401357968648,0.004288671268195299,0.07862206548452377,0.08785694092512131,0.01373154204338789,0.0010877568766741975,0.012776700779795647,0.015253487043082714,0.1374619709844106,0.023490391405374598,0.10633411715197141,0.16307528939495816
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression,real,1,3,210993,0.1988175255684649,0.0015055389690022598,0.19675569187755,0.20030844540742643,0.6376039775842312,0.006814078367694555,0.6291999069110396,0.6458896624028008,0.2566436699044922,0.0025843630010879857,0.25312512480530375,0.25925925925925924,0.5900115829835512,0.0009295358818650715,0.5888052163924511,0.5910670550910568,0.19800661958243113,0.009913671408379263,0.18408364798141155,0.2063944530046225,0.36814076346284935,0.026758267714141384,0.3424079754601227,0.4050357873210634,0.03591513292433538,0.001640113885047731,0.03374233128834356,0.037704498977505115,0.13011247443762783,0.0038471157830502044,0.12474437627811862,0.13356339468302658,0.2157038173142468,0.003728271959297747,0.21050613496932516,0.21906952965235174,0.07553029805421829,0.0029346470245041082,0.07219210267066956,0.07933494448661804,0.011526970813671747,0.0005918266595333512,0.010991047136485577,0.01235168892890215,0.20568869522256142,0.003965267003076604,0.20039961015106889,0.20994699050839621
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,real,1,3,210993,0.1982150663842054,0.005347069926131284,0.19097976839634087,0.2037365490007289,0.6385600794306129,0.00760471630080454,0.6279168665624786,0.6452192507813358,0.13827737822520536,0.022953019540526694,0.11567282321899736,0.1697548193898559,0.5328746387630215,0.006869517985994509,0.5261974380750747,0.5423244304204391,0.32750628858256664,0.007526493117858105,0.316911250873515,0.3336875664187035,0.08874403544648944,0.019668174148853277,0.07004089979550102,0.11592535787321064,0.03523346966598501,0.001253743947645039,0.03374233128834356,0.03680981595092025,0.1330521472392638,0.003031773496022018,0.12921779141104295,0.13663087934560328,0.2200068166325835,0.00631027693955837,0.2117842535787321,0.22712167689161555,5.078600247701009,0.29374893047601514,4.808667182922363,5.487034797668457,29.7757142384847,3.8271952268564373,26.29905128479004,35.106502532958984,0.18227716447082568,0.01027345656917737,0.1678418170238248,0.1909201181252289
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,mlp_medium,binary,ar_plus_random_pca,1,3,210993,0.18236355901600165,0.0016278309916430104,0.18020941444182584,0.18414383573367277,0.6418498435605341,0.0012916250196176981,0.6401749578689314,0.6433185638627696,0.20941789595042173,0.0036549412614713703,0.20519300018952555,0.21410921670373115,0.5550964253148841,0.0020353525717089795,0.5527409478195702,0.5577069182157529,0.2052206696129429,0.0017847375677880058,0.2028732042473454,0.2071975131516021,0.21382924335378325,0.005773739606817255,0.20756646216768918,0.22149795501022496,0.031143490115882754,0.0009696495123330817,0.03016359918200409,0.03246421267893661,0.11170756646216769,0.0009955113706158738,0.11094069529652352,0.11311349693251534,0.1899710293115201,0.002192344977891718,0.1872443762781186,0.1926124744376278,3.1986393133799234,0.04955083468351445,3.1581480503082275,3.2684154510498047,12.0724089940389,0.447845880994764,11.748170852661133,12.705698013305664,0.1740976250769293,0.0008189461197201192,0.1729547770942259,0.1748316313146366
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,mlp_medium,binary,random_pca,1,3,210993,0.17823075536399577,0.0010107397676210755,0.17703577567608655,0.17950751685897767,0.6370487490404483,0.001237153381342363,0.6355496037204569,0.6385795036354701,0.20469486272132106,0.0007380965723213016,0.2037106213422986,0.20548803408094224,0.5523234880992579,0.0004475193373957364,0.5517400169790391,0.5528275475273559,0.1998529695336029,0.0012314679348264677,0.19859189123573684,0.20152371590071272,0.20978186775732788,0.0006376375914747657,0.2091002044989775,0.21063394683026584,0.030930470347648262,0.000752535861139046,0.03016359918200409,0.031952965235173825,0.10821404226312202,0.001186808817074313,0.10659509202453987,0.10940695296523517,0.1846029311520109,0.0003012554452907818,0.18417689161554193,0.1848159509202454,3.1697200934092202,0.016304707750190182,3.148151159286499,3.1875650882720947,11.798510869344076,0.10722710333233841,11.651734352111816,11.904898643493652,0.16871203879786578,0.0026112224910888123,0.16505534810941216,0.17098668477360063
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,temporal_mean_2s_then_pca256,mlp_medium,regression,real,1,3,210993,0.16966664944352097,0.003414628068170121,0.16500021356850386,0.1730758829172407,0.6135704181499769,0.00521257595915146,0.6082429953939228,0.6206466511742504,0.2308806258241438,0.005313002958391124,0.22402365657183645,0.23696965177839088,0.574141082701805,0.008145203191716079,0.5636659236087849,0.5835283350105279,0.1596308111332543,0.018901041374350967,0.14545930213545244,0.18634435962680237,0.4861963190184049,0.1461859671843696,0.28080265848670755,0.6092791411042945,0.026414451261077027,0.00039509281252112026,0.02607361963190184,0.02696830265848671,0.10229209270620314,0.004820087124652672,0.09547546012269939,0.105700408997955,0.18353783231083845,0.008232380384534407,0.17190695296523517,0.1898006134969325,0.07991871734460194,0.006723365794576195,0.07041601836681366,0.08495203405618668,0.011905878161390623,0.0006528788529463423,0.010983049869537354,0.012393121607601643,0.16683642147244307,0.00755615589413187,0.15787089879845762,0.17635483472664823
