target_name,validation_protocol,fold,feature_name,n_train,n_test
arousal_spike_rows_2_6_train_q90,grouped_video,1,temporal_mean_2s_then_pca256,186467,46622
arousal_spike_rows_2_6_train_q90,grouped_video,2,temporal_mean_2s_then_pca256,186470,46619
arousal_spike_rows_2_6_train_q90,grouped_video,3,temporal_mean_2s_then_pca256,186480,46609
arousal_spike_rows_2_6_train_q90,grouped_video,4,temporal_mean_2s_then_pca256,186452,46637
arousal_spike_rows_2_6_train_q90,grouped_video,5,temporal_mean_2s_then_pca256,186487,46602
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,162758,70331
