candidate,target_type,family,baseline,spearman,pearson,direction,top_1pct_avg_true,top_1pct_continuous_lift,top_5pct_avg_true,top_5pct_continuous_lift,top_10pct_avg_true,top_10pct_continuous_lift,pr_auc,roc_auc,top_1pct_recall,top_5pct_recall,top_10pct_recall
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,current_arousal,0.170312858094836,0.25099930998499653,-1,0.11805901414710988,0.062198202568027945,0.1298101867320123,0.07394937515293037,0.11136881917012494,0.055508007591043,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,previous_row_arousal,0.1917461487037101,0.2660057246029438,-1,0.1353487308434133,0.07948791926433138,0.13401627785127349,0.07815546627219155,0.1154370211408013,0.059576209561719363,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,trailing_2s_mean,0.1943779718196049,0.26219885853291747,-1,0.09765212502615932,0.04179131344707738,0.12303825226860515,0.06717744068952322,0.11179311779058058,0.055932306211498646,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,trailing_4s_mean,0.20173340024428768,0.2536933712104041,-1,0.10217487216078212,0.046315898737005305,0.12105862527345507,0.06519965184967824,0.10885030925744658,0.052991335833669766,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,recent_arousal_slope_delta,0.17556851078279698,-0.009185533681502203,1,0.004071144004137166,-0.05178966757494477,0.05901110958292837,0.003150298003846433,0.07085237574174937,0.014991564162667427,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,video_relative_time,-0.016879412985411995,-0.023021912596657312,-1,0.0502825172079571,-0.005578294371124837,0.059305259300017836,0.0034444477209358976,0.057409335274218924,0.0015485236951369857,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,per_video_train_base_rate,-0.023426364968475433,0.03997188377027496,1,0.12352190190934004,0.0676610903302581,0.1041302832987408,0.04826947171965886,0.08683698031299265,0.030976168733910715,,,,,
future_arousal_max_delta_rows_4_10,continuous,washout_gap_future_movement,train_only_video_mean_arousal,0.23106629641497975,0.1458216795045524,-1,0.11489252482712728,0.05903171324804534,0.10026431231681608,0.04440350073773414,0.0945175503336534,0.038656738754571464,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,current_arousal,,,-1,,,,,,,0.19563020910283938,0.7134627253611567,0.017036850075719333,0.10083291267036851,0.1770570418980313
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,previous_row_arousal,,,-1,,,,,,,0.20064833762607445,0.7179322592201639,0.020570418980312973,0.10562847046945986,0.18462897526501768
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,trailing_2s_mean,,,-1,,,,,,,0.19560227660031188,0.715479005164358,0.016532054517920242,0.09729934376577486,0.17857142857142858
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,trailing_4s_mean,,,-1,,,,,,,0.19200301318087198,0.7072109235196884,0.015784821315822706,0.09736077787599444,0.17628488445510798
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,recent_arousal_slope_delta,,,-1,,,,,,,0.1473926066830495,0.5006849111213838,0.028394750126198888,0.10916203937405351,0.1718828874305906
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,video_relative_time,,,-1,,,,,,,0.10893137897896839,0.47199253422907395,0.0088339222614841,0.0524987380111055,0.10121150933871782
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,per_video_train_base_rate,,,1,,,,,,,0.19545344898456973,0.6439150097873503,0.028899545683997982,0.11963654719838465,0.22009086320040383
future_arousal_max_delta_rows_4_10_train_q90,binary,washout_gap_future_movement,train_only_video_mean_arousal,,,1,,,,,,,0.09467601534119921,0.42893799780095393,0.0017667844522968198,0.02523977788995457,0.054770318021201414
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,current_arousal,0.20550109835805963,0.28068913880056506,-1,0.15446077066472172,0.09618931619131899,0.154152061675829,0.09588060720242628,0.1313773718419333,0.07310591736853056,,,,,
future_arousal_max_delta_rows_6_12,continuous,washout_gap_future_movement,previous_row_arousal,0.22168902658268666,0.29140779874484324,-1,0.16349355138326038,0.10522209690985765,0.1563206122707245,0.09804915779732176,0.13429450718587832,0.07602305271247559,,,,,
