control,control_window_gain,feature_mode,fold,real_window_gain,representation,target,threshold,window_name,window_seconds,window_specific_gain
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.037334946293806126
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,0.006425382040277483,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_1s,1.0,0.02849975676491867
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.026809323961033138,last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.001640321965152347
shuffled,0.03277513397417575,cortical_pca_64,grouped_0,0.026809323961033138,last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.005965810013142614
random,0.022173392837276817,cortical_pca_64,grouped_0,0.026809323961033138,last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.0046359311237563205
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.026809323961033138,last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.06373999973183592
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.026809323961033138,last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.05555814756226596
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.03751223564276579,mean,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.012343233646884999
shuffled,0.01892469601957336,cortical_pca_64,grouped_0,0.03751223564276579,mean,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.01858753962319243
random,0.02378456218656627,cortical_pca_64,grouped_0,0.03751223564276579,mean,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.013727673456199518
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.03751223564276579,mean,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.07444291141356857
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.03751223564276579,mean,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.06626105924399861
ar,0.02516900199588079,cortical_pca_64,grouped_0,-0.013463061759930228,slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.03863206375581102
shuffled,0.02698251486067421,cortical_pca_64,grouped_0,-0.013463061759930228,slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.04044557662060444
random,0.03784809758389368,cortical_pca_64,grouped_0,-0.013463061759930228,slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.05131115934382391
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,-0.013463061759930228,slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.02346761401087255
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,-0.013463061759930228,slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.015285761841302592
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.013254372566908312,mean_last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.011914629428972479
shuffled,0.010027465825880932,cortical_pca_64,grouped_0,0.013254372566908312,mean_last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.00322690674102738
random,0.03053623566512481,cortical_pca_64,grouped_0,0.013254372566908312,mean_last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.0172818630982165
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.013254372566908312,mean_last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.05018504833771109
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.013254372566908312,mean_last,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.04200319616814113
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.012600102942695257,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.012568899053185534
shuffled,0.029184400966595858,cortical_pca_64,grouped_0,0.012600102942695257,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.0165842980239006
random,0.016183647406836033,cortical_pca_64,grouped_0,0.012600102942695257,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.0035835444641407754
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.012600102942695257,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.049530778713498036
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.012600102942695257,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.04134892654392808
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.011136481089311645,last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.014032520906569146
shuffled,0.02201642545574939,cortical_pca_64,grouped_0,0.011136481089311645,last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.010879944366437744
random,0.01756471459332981,cortical_pca_64,grouped_0,0.011136481089311645,last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.006428233504018166
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.011136481089311645,last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.048067156860114424
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.011136481089311645,last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.039885304690544465
ar,0.02516900199588079,cortical_pca_64,grouped_0,0.004030218538355113,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.02113878345752568
shuffled,-0.01618162514969501,cortical_pca_64,grouped_0,0.004030218538355113,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.020211843688050124
random,0.004926084292030453,cortical_pca_64,grouped_0,0.004030218538355113,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,-0.00089586575367534
timestamp,-0.03693067577080278,cortical_pca_64,grouped_0,0.004030218538355113,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.04096089430915789
video_time,-0.02874882360123282,cortical_pca_64,grouped_0,0.004030218538355113,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_2s,2.0,0.03277904213958793
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.025376229882346446,last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.0031922175061739333
shuffled,0.02056862766727574,cortical_pca_64,grouped_0,0.025376229882346446,last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.004807602215070705
random,0.017129601274538386,cortical_pca_64,grouped_0,0.025376229882346446,last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.00824662860780806
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.025376229882346446,last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.07244257893699316
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.025376229882346446,last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.06262625006006353
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.03859471092943145,mean,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.01641069855325894
shuffled,0.021612743053158356,cortical_pca_64,grouped_0,0.03859471092943145,mean,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.016981967876273096
random,0.016516151157262737,cortical_pca_64,grouped_0,0.03859471092943145,mean,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.022078559772168715
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.03859471092943145,mean,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.08566105998407816
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.03859471092943145,mean,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.07584473110714854
ar,0.022184012376172513,cortical_pca_64,grouped_0,-0.010833246191458035,slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.03301725856763055
shuffled,0.0319357547604226,cortical_pca_64,grouped_0,-0.010833246191458035,slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.04276900095188063
random,0.026409601087931778,cortical_pca_64,grouped_0,-0.010833246191458035,slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.03724284727938981
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,-0.010833246191458035,slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.036233102863188676
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,-0.010833246191458035,slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.02641677398625905
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.010483333373672576,mean_last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.011700679002499936
shuffled,0.02187126716516724,cortical_pca_64,grouped_0,0.010483333373672576,mean_last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.011387933791494664
random,0.006223233324899213,cortical_pca_64,grouped_0,0.010483333373672576,mean_last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.004260100048773363
timestamp,-0.04706634905464671,cortical_pca_64,grouped_0,0.010483333373672576,mean_last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.05754968242831929
video_time,-0.037250020177717086,cortical_pca_64,grouped_0,0.010483333373672576,mean_last,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,0.04773335355138966
ar,0.022184012376172513,cortical_pca_64,grouped_0,0.011604467586924683,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_3s,3.0,-0.01057954478924783
