scope,video_id,time_quartile,rows,spike_prevalence,continuous_mean,continuous_std,positive_count,ar_pr_auc,ar_spearman_continuous,ar_top5_lift
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2,q1_earliest,41,0.024390243902439025,0.06831207003717016,0.04285116266947082,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2,q2,41,0.024390243902439025,0.025799898748717656,0.03938291095504437,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2,q3,40,0.15,0.06296642954694107,0.07205275180783392,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2,q4_latest,41,0.0,0.041074679891874154,0.037627951150165304,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,q1_earliest,42,0.0,0.011422585008577221,0.008971079361822974,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,q2,41,0.0,0.00825878742105532,0.00671440438761507,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,q3,41,0.0,0.02365797633168901,0.022322955577574695,,,,
train,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,q4_latest,41,0.0,0.00717580200331967,0.015469110872955041,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016,q1_earliest,42,0.0,0.05464785651808294,0.04494439458795548,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016,q2,41,0.0,0.02764227768269981,0.04708293092740143,,,,
train,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016,q3,41,0.0,0.006988255625090948,0.019414170641444923,,,,
