target_name,validation_protocol,model_name,control_type,loss_name,folds,seeds,rows_test_total,mean_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,min_roc_auc,max_roc_auc,mean_f1,min_f1,max_f1,mean_precision,min_precision,max_precision,mean_recall,min_recall,max_recall,mean_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_top_1pct_recall,min_top_1pct_recall,max_top_1pct_recall,mean_top_5pct_recall,min_top_5pct_recall,max_top_5pct_recall,mean_top_10pct_recall,min_top_10pct_recall,max_top_10pct_recall,mean_top_1pct_precision,min_top_1pct_precision,max_top_1pct_precision,mean_top_5pct_precision,min_top_5pct_precision,max_top_5pct_precision,mean_top_10pct_precision,min_top_10pct_precision,max_top_10pct_precision,mean_top_1pct_lift,min_top_1pct_lift,max_top_1pct_lift,mean_top_5pct_lift,min_top_5pct_lift,max_top_5pct_lift,mean_top_10pct_lift,min_top_10pct_lift,max_top_10pct_lift,mean_continuous_mae,min_continuous_mae,max_continuous_mae,mean_continuous_mse,min_continuous_mse,max_continuous_mse,mean_continuous_rmse,min_continuous_rmse,max_continuous_rmse,mean_continuous_pearson,min_continuous_pearson,max_continuous_pearson,mean_continuous_spearman,min_continuous_spearman,max_continuous_spearman,mean_spearman_future_movement,min_spearman_future_movement,max_spearman_future_movement,mean_delta_vs_frozen_ar_pr_auc,min_delta_vs_frozen_ar_pr_auc,max_delta_vs_frozen_ar_pr_auc,mean_delta_vs_frozen_ar_top_1pct_lift,min_delta_vs_frozen_ar_top_1pct_lift,max_delta_vs_frozen_ar_top_1pct_lift
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_gated_residual,shuffled_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.26534043805916124,0.26169833819229377,0.26799816501352075,0.7391957721048809,0.7342760422693599,0.7419839990191037,0.32596921746769825,0.3211298390147535,0.3286861421744914,0.2582523916022617,0.23924343959416297,0.2680989055533036,0.4457651670074983,0.42267382413087934,0.488241308793456,0.6420543029378392,0.6391210002475632,0.6469555368898887,0.040388548057259714,0.03949386503067485,0.041666666666666664,0.1679021813224267,0.16487730061349692,0.16960633946830267,0.2909850034083163,0.29026073619631904,0.29153885480572594,0.4488636363636364,0.43892045454545453,0.4630681818181818,0.3735190977158563,0.3667898777367074,0.37731020756326417,0.3236660032224434,0.3228603923798692,0.32428205857264714,4.0348962690555865,3.9455156555005577,4.162582859848484,3.357613964909751,3.2971240913983086,3.391692766888028,2.9094777188954066,2.902235973475023,2.915015524216877,0.05754841864109039,0.05722309648990631,0.05798826366662979,0.008278529780606428,0.008257102221250534,0.008299238048493862,0.09098637720170255,0.0908685986534982,0.09110015394330497,0.33960849986509745,0.3342062345072116,0.34734004115793027,0.2586392523171039,0.2528117652708469,0.2675531223854414,0.21358373469444814,0.20807585698634962,0.22083258440112447,-0.0001317439306610102,-0.0003836050623956533,0.00020299627772368822,-0.02128109846548328,-0.051074636317159694,0.0
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_linear_residual,shuffled_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.26526514817145536,0.2610785854904622,0.2679327231965767,0.7386034764788008,0.7328999039633123,0.7422417717845459,0.3262191188557248,0.3235810084318941,0.32810327706057596,0.2746380094038578,0.26530287351747195,0.29034223621407534,0.40456714383094755,0.3654141104294479,0.42599693251533743,0.635011106431608,0.6268093157615428,0.6391667354115235,0.04055896387184731,0.03974948875255624,0.041794478527607364,0.16837082481254262,0.1658997955010225,0.16986196319018404,0.2908571915473756,0.28898261758691207,0.29192229038854806,0.45075757575757575,0.44176136363636365,0.46448863636363635,0.3745616529238935,0.3690645436451521,0.37787887404037535,0.3235238366031656,0.3214387261870913,0.3247085584304805,4.051921147827973,3.9710529736591376,4.175351518927775,3.366985635453777,3.317571372585275,3.3968045871847696,2.9081997638212216,2.8894564227331694,2.9188493894394334,0.05812018116315206,0.05789359658956528,0.05831426754593849,0.008353052660822868,0.00833255797624588,0.008384875021874905,0.09139495117758016,0.09128284601307017,0.09156896320192177,0.3231600063268085,0.31719164925300875,0.3269699233606252,0.24302332409046393,0.23690356846158583,0.24720790519792785,0.21318648167708043,0.20832459396436154,0.21977696622796683,-0.00020703381836687887,-0.00041675642410787805,7.571979326237432e-05,-0.0042562196930965674,-0.03830597723786955,0.05107463631715925
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_linear_residual,random_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.2652381369659182,0.2610885853894886,0.26761875936772506,0.7386129900690386,0.733024113978171,0.7428303387893765,0.32480111953472973,0.3190106895828967,0.32848851629545117,0.2571786051122356,0.2373526292807685,0.2684231860559384,0.44470006816632585,0.42318507157464214,0.4863241308793456,0.64121778756144,0.6388797235895673,0.6453650187089066,0.04051635991820041,0.03974948875255624,0.041794478527607364,0.1684134287661895,0.16653885480572597,0.16973415132924335,0.29081458759372875,0.28949386503067487,0.29179447852760737,0.4502840909090909,0.44176136363636365,0.46448863636363635,0.37465643067007864,0.37048620983793007,0.37759454080181976,0.32347644773007295,0.3220073926642024,0.3245663918112027,4.047664928134876,3.9710529736591376,4.175351518927775,3.3678376055032344,3.330350923327129,3.394248677036399,2.9077737787964932,2.8945682430299104,2.917571434365248,0.0571796769897143,0.05686779320240021,0.05740821361541748,0.008333973897000154,0.008272083476185799,0.008368329145014286,0.09129028484173048,0.09095099491586553,0.09147857205386563,0.3332335451232216,0.32849155570173294,0.34183847665812805,0.2522757081607219,0.24623888615847378,0.261415799295134,0.21313962368759687,0.20882140101538194,0.21980451806935628,-0.00023404502390404294,-0.0005940286531067596,0.0002986501064761171,-0.008512439386193282,-0.03830597723786955,0.012768659079289701
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_mlp_residual,shuffled_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.2650405226852181,0.2607309734360805,0.2682871302691148,0.738187338014734,0.732509532551986,0.7410825703267656,0.32582035886281546,0.32313965341488277,0.3282701666420882,0.274600475059351,0.26671459381739754,0.29011592434411226,0.40337423312883436,0.36464723926380366,0.4267638036809816,0.6346119623150265,0.6264818739074229,0.6399501261993626,0.040388548057259714,0.03936605316973415,0.042050102249488755,0.168200408997955,0.1655163599182004,0.17024539877300612,0.2905163599182004,0.28911042944785276,0.29205010224948874,0.4488636363636364,0.4375,0.46732954545454547,0.3741825419391527,0.36821154392948535,0.37873187375604206,0.3231447256184248,0.3215808928063691,0.3248507250497583,4.0348962690555865,3.932746996421268,4.200888837086355,3.363577755255949,3.3099036421401626,3.4044723176298817,2.904791883623394,2.890734377807355,2.9201273445136184,0.057491722206274666,0.05659443140029907,0.05815523490309715,0.008334684496124586,0.008318675681948662,0.008359196595847607,0.09129444237908708,0.09120677432048928,0.0914286420978,0.33126652201382945,0.32900749151179237,0.33498934408434267,0.24874096431232484,0.24481076740645752,0.2545657000640357,0.21289434649031302,0.20729700761552722,0.21941133539765054,-0.00043165930460411134,-0.0007643684784895965,7.434224828301028e-05,-0.021281098465482835,-0.025537318158579847,-0.012768659079289257
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_mlp_residual,random_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.2650347293013901,0.26085867236896076,0.268281148164539,0.7381207742360667,0.7326319666921232,0.7410362616074117,0.3257571704238975,0.32285471537807986,0.3281496062992126,0.2744823687504965,0.2667424303920773,0.2898992981385414,0.40345944103612813,0.3642638036809816,0.4261247443762781,0.6346012389080044,0.6262901561160119,0.639774580420817,0.0406441717791411,0.03936605316973415,0.04243353783231084,0.1684134287661895,0.165260736196319,0.17075664621676892,0.2907293796864349,0.28949386503067487,0.29141104294478526,0.45170454545454547,0.4375,0.4715909090909091,0.37465643067007864,0.3676428774523742,0.3798692067102644,0.3233816699838878,0.3220073926642024,0.32413989195336934,4.060433587214167,3.932746996421268,4.239194814324224,3.3678376055032344,3.304791821843421,3.4146959582233647,2.906921808747036,2.8945682430299104,2.9137375691426914,0.0570701298614343,0.05651884153485298,0.05755280330777168,0.008342583353320757,0.00832417607307434,0.008359248749911785,0.09133770942632534,0.09123692275101315,0.09142892731467314,0.33260613652254417,0.3297959680790373,0.33790134771272007,0.2508153429195469,0.2462993396269646,0.25868964434257213,0.2128012519330841,0.2069569383140884,0.219518638367394,-0.00043745268843214946,-0.0007440486633943366,6.836014370720234e-05,0.004256219693096863,-0.06384329539644895,0.05107463631715925
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_gated_residual,random_pca_frozen_ar_residual,regression_plus_binary,1,3,210993,0.26440311121159304,0.25803585377430144,0.26816934821778593,0.738127700522354,0.7300671527242937,0.7428471099171452,0.32573776292851736,0.3204301075268817,0.32843672456575684,0.27431675979739195,0.26696542893725994,0.2875279301239082,0.4037150647580095,0.36183537832310836,0.4263803680981595,0.63468638888041,0.6248039738976637,0.6399183904899584,0.040260736196319015,0.03936605316973415,0.041794478527607364,0.16798738922972054,0.16500511247443764,0.16960633946830267,0.2904311520109066,0.28859918200408996,0.2916666666666667,0.4474431818181818,0.4375,0.46448863636363635,0.3737086532082267,0.367074210975263,0.37731020756326417,0.32304994787223956,0.3210122263292579,0.32442422519192493,4.022127609976296,3.932746996421268,4.175351518927775,3.359317905008665,3.2996800015466796,3.391692766888028,2.903939913573937,2.8856225575106134,2.9162934792910624,0.057429239153862,0.057326823472976685,0.05750443413853645,0.00827528660496076,0.008249676786363125,0.008299248293042183,0.09096853406094728,0.09082773137298501,0.09110021017013178,0.3407661713529874,0.3339654592570689,0.34610135212251936,0.25967998481727195,0.25176029553870916,0.2661175840596548,0.21226748763736528,0.2088360945615116,0.21584122878950907,-0.0010690707782291902,-0.0034594881402686406,0.00029571560862695634,-0.03404975754477283,-0.06384329539644895,0.0
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_linear_residual,real_frozen_ar_residual,regression_plus_binary,1,3,210993,0.26359309039967654,0.2598596359458265,0.2659685286318562,0.7362298749056806,0.7333810279915316,0.7382623923216713,0.31999362700757344,0.31008974048023286,0.32532366649404454,0.277695480801425,0.2646300177333548,0.29499307798800184,0.3826261077027948,0.32681492842535786,0.41960633946830267,0.6284427619907524,0.6145249390554965,0.6368273430267426,0.04141104294478528,0.03987730061349693,0.04217791411042945,0.16994717109747784,0.16947852760736196,0.17075664621676892,0.2865541922290389,0.2859151329243354,0.2877044989775051,0.4602272727272727,0.4431818181818182,0.46875,0.3780684295327457,0.3770258743247086,0.3798692067102644,0.3187375604208132,0.3180267273244242,0.32001705999431335,4.137045541689905,3.9838216327384273,4.213657496165644,3.3985085272836835,3.389136856739657,3.4146959582233647,2.8651752763236473,2.85878550095272,2.8766768719913154,0.06068407868345579,0.05898791179060936,0.06177680939435959,0.008779634721577168,0.008594540879130363,0.008997227996587753,0.09369552883534271,0.09270674667536534,0.09485371893915258,0.27526401230617137,0.250505474480778,0.3011650081016248,0.20548586773832525,0.19049778292201786,0.22057368130771804,0.208080173700546,0.20441356793989507,0.21473969729636253,-0.001879091590145691,-0.0022442593889756,-0.0016357059687435727,0.08086817416883552,-0.012768659079289701,0.25537318158579625
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_mlp_residual,real_frozen_ar_residual,regression_plus_binary,1,3,210993,0.26187691409081615,0.25808975675661644,0.265374837033673,0.7381525682211527,0.7350268917120546,0.7403988667379683,0.31245807668347764,0.3075917008501278,0.317890320647288,0.2915791983899555,0.28754029120818053,0.29928901929804763,0.3366138377641445,0.33064928425357876,0.3402351738241309,0.617104653535791,0.6140503848436051,0.6198120902483462,0.04136843899113837,0.040260736196319015,0.04268916155419223,0.16713531015678254,0.1656441717791411,0.16909509202453987,0.2829754601226994,0.279780163599182,0.28693762781186094,0.45975378787878785,0.4474431818181818,0.4744318181818182,0.37181309828452286,0.36849587716804094,0.3761728746090418,0.31475689508103494,0.3112027295990901,0.3191640602786466,4.132789321996809,4.022127609976296,4.264732132482804,3.3422785040195264,3.3124595522885336,3.3814691262945447,2.8293925342464554,2.797443657391821,2.869009141546203,0.05997379124164581,0.05933362990617752,0.06107209622859955,0.008829791098833084,0.008723355829715729,0.008920624852180481,0.09396597133771771,0.09339890700493089,0.09444905956218136,0.2843825115256315,0.28152081388111855,0.28917628074374496,0.2091593085719614,0.20570703061783205,0.21182457994275455,0.21061553641316355,0.20564378292105767,0.21743906978336724,-0.0035952678990060862,-0.006046639538672793,-0.0013335790003918269,0.07661195447573894,-0.19152988618934774,0.30644781790295594
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,frozen_ar_plus_gated_residual,real_frozen_ar_residual,regression_plus_binary,1,3,210993,0.261391951076247,0.2577776543251584,0.2650500178665989,0.7357493063708018,0.7316093849022651,0.7404849808150731,0.3214309648977584,0.3185819793205318,0.32306293565006566,0.2757588916716616,0.26396682117589654,0.29623118338644105,0.38940013633265164,0.3445807770961145,0.4148773006134969,0.63008863797984,0.6210561267853747,0.6350387590945643,0.04000511247443763,0.037960122699386506,0.042050102249488755,0.1670501022494887,0.16385480572597136,0.16960633946830267,0.28676721199727334,0.2850204498977505,0.28898261758691207,0.4446022727272727,0.421875,0.46732954545454547,0.37162354279215243,0.36451521182826274,0.37731020756326417,0.3189745047862762,0.31703156098947965,0.3214387261870913,3.9965902918177165,3.7922917465490795,4.200888837086355,3.340574563920612,3.276676810211343,3.391692766888028,2.867305201447289,2.849839815433422,2.8894564227331694,0.058285053819417953,0.05704842880368233,0.05914627015590668,0.008546973889072737,0.00840783677995205,0.008656167425215244,0.09244814408878377,0.09169425707181475,0.09303852656408121,0.2970800907616434,0.2849750921768892,0.31913423276298303,0.24852448694095275,0.24163750190921518,0.2569618163553106,0.2120581198986405,0.20264887371897394,0.22227644254894002,-0.004080230913575196,-0.005360234997080993,-0.003162770154232941,-0.05958707570335253,-0.20429854526863744,0.038305977237869104
arousal_spike_rows_2_6_train_q90,grouped_video,frozen_ar_plus_mlp_residual,real_frozen_ar_residual,regression_plus_binary,5,3,699267,0.23834092976355103,0.23361529876313425,0.2446171753665488,0.7230417225687179,0.7104631934009947,0.7332338079561173,0.3018981259410769,0.29328854159059375,0.31330135194068903,0.24293225539275914,0.21393564883869592,0.27097163548581776,0.40605150694417197,0.36985734959685757,0.4708613884374274,0.6319298570708523,0.6182694680688966,0.6491980733817692,0.04438008953643266,0.037743425015057216,0.05038309728349199,0.16825070547552887,0.15278056615137522,0.18690058479532165,0.2865506228174708,0.263802449307368,0.31391812865497076,0.44039971448965026,0.4025695931477516,0.46466809421841543,0.3352205427677127,0.32461406518010294,0.3481989708404803,0.28568815154541166,0.2733704974271012,0.29980699120737725,4.430228598861745,3.766987786995293,5.031512865118236,3.364268168287917,3.0548903508148637,3.736568448147395,2.865238969105984,2.6379678952514727,3.1386424869296174,0.05637409811218579,0.05367910489439964,0.05898522213101387,0.007619862382610639,0.007148237898945808,0.00798200536519289,0.08727245650834531,0.0845472524624296,0.08934206940290162,0.29882002473522673,0.2799739274602872,0.3254371398039015,0.25375185695366603,0.21964847913971844,0.27529197514931747,0.2246245739364631,0.1884599343100623,0.25245815192598686,0.01365931101719648,-0.0009160059805020104,0.024273870905957007,0.3821657124339255,-0.2801127014538487,0.8916703833437225
