fold,seed,control_type,best_epoch,label_policy,heldout_scoring_policy,best_inner_val_delta_vs_frozen_ar
1,20260625,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
1,20260626,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
1,20260627,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
1,20260628,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
1,20260629,label_permutation_residual,7,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00012118152632834
1,20260630,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
1,20260631,label_permutation_residual,35,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00031086504121911884
1,20260632,label_permutation_residual,3,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,4.398304735019065e-05
1,20260633,label_permutation_residual,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.919668850131062e-05
1,20260634,label_permutation_residual,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00023154971792806178
2,20260625,label_permutation_residual,29,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0002526460886742299
2,20260626,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,6.513985603634476e-05
2,20260627,label_permutation_residual,3,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.6469397351448478e-05
2,20260628,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.9686285996588513e-05
2,20260629,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,2.6968213005018615e-05
2,20260630,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
2,20260631,label_permutation_residual,6,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,3.710678647862731e-05
2,20260632,label_permutation_residual,40,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0008431872863113726
2,20260633,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
2,20260634,label_permutation_residual,6,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,7.643592011302713e-06
3,20260625,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
3,20260626,label_permutation_residual,3,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,4.798311633556762e-05
3,20260627,label_permutation_residual,19,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0005560431333608146
3,20260628,label_permutation_residual,36,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0004591118155521934
3,20260629,label_permutation_residual,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
3,20260630,label_permutation_residual,40,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00032003299429866905
3,20260631,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.4189601322378564e-05
3,20260632,label_permutation_residual,1,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.5117130167746629e-05
