fold,lane,seed,epoch,inner_val_top_5pct_continuous_lift,inner_val_continuous_spearman,inner_val_top_10pct_continuous_lift,target_name,target_type,architecture,control_type,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,label_policy
1,frozen_ar_only,20260708,1,0.09897921234369278,0.2676014313459448,0.08228104561567307,,,,,,,,,,,,
1,frozen_ar_only,20260708,2,0.11589651554822922,0.24685881885821556,0.08552960306406021,,,,,,,,,,,,
1,frozen_ar_only,20260708,3,0.1142495647072792,0.23575878261285949,0.0827852115035057,,,,,,,,,,,,
1,frozen_ar_only,20260708,4,0.11674614995718002,0.2412768501814274,0.08549133688211441,,,,,,,,,,,,
1,frozen_ar_only,20260708,5,0.11342570930719376,0.23500524623131858,0.08072925359010696,,,,,,,,,,,,
1,frozen_ar_only,20260708,6,0.11522931605577469,0.24256523465188626,0.08407633751630783,,,,,,,,,,,,
1,frozen_ar_only,20260708,7,0.11577517539262772,0.2434799740928364,0.0844166949391365,,,,,,,,,,,,
1,frozen_ar_only,20260708,8,0.11665058881044388,0.24431463993673114,0.08592840284109116,,,,,,,,,,,,
1,frozen_ar_only,20260708,9,0.11721337586641312,0.2425892051892222,0.08545517176389694,,,,,,,,,,,,
1,frozen_ar_only,20260708,10,0.11686906963586807,0.24318369132851794,0.08549430221319199,,,,,,,,,,,,
1,frozen_ar_only,20260708,11,0.11577726155519485,0.24250404791746763,0.08513132482767105,,,,,,,,,,,,
1,frozen_ar_only,20260708,12,0.11656009405851364,0.24450134726426118,0.08529704064130783,,,,,,,,,,,,
1,frozen_ar_only,20260708,13,0.11546213179826736,0.24284440168786353,0.08462443202733994,,,,,,,,,,,,
1,frozen_ar_only,20260708,14,0.11711182445287704,0.25103323151922946,0.08637668937444687,,,,,,,,,,,,
1,frozen_ar_only,20260708,15,0.11531225591897964,0.24034573963323497,0.08368181437253952,,,,,,,,,,,,
1,frozen_ar_only,20260708,16,0.11572643369436264,0.23936578405937653,0.08370991796255112,,,,,,,,,,,,
1,frozen_ar_only,20260708,17,0.11656708270311356,0.24102789817065565,0.08445616811513901,,,,,,,,,,,,
1,frozen_ar_only,20260708,18,0.11797266453504562,0.2464643162889568,0.08568858355283737,,,,,,,,,,,,
1,frozen_ar_only,20260708,19,0.11553757637739182,0.24414202190469028,0.08525461703538895,,,,,,,,,,,,
1,frozen_ar_only,20260708,20,0.11616560071706772,0.24257435061636692,0.08476494997739792,,,,,,,,,,,,
1,frozen_ar_only,20260708,21,0.11803881078958511,0.24738334166283804,0.08603554219007492,,,,,,,,,,,,
1,frozen_ar_only,20260708,22,0.11716193705797195,0.2464871154753141,0.08574076741933823,,,,,,,,,,,,
1,frozen_ar_only,20260708,23,0.11627238243818283,0.24430036131227562,0.08414297550916672,,,,,,,,,,,,
1,frozen_ar_only,20260708,24,0.11697012931108475,0.2455045812594605,0.0859542265534401,,,,,,,,,,,,
1,frozen_ar_only,20260708,25,0.11474349349737167,0.24050139792761802,0.08343472331762314,,,,,,,,,,,,
1,frozen_ar_only,20260708,26,0.1175697073340416,0.2467904959794758,0.08689527958631516,,,,,,,,,,,,
1,frozen_ar_only,20260708,27,0.11819437891244888,0.24833202617949168,0.08772001415491104,,,,,,,,,,,,
1,frozen_ar_only,20260708,28,0.11715278774499893,0.24886381940149122,0.08625925332307816,,,,,,,,,,,,
1,frozen_ar_only,20260708,29,0.11810661107301712,0.2504978937637737,0.08672400563955307,,,,,,,,,,,,
1,frozen_ar_only,20260708,30,0.11770492047071457,0.24809452848629615,0.08611356467008591,,,,,,,,,,,,
1,frozen_ar_only,20260708,31,0.11402183026075363,0.24432482645483938,0.0840999111533165,,,,,,,,,,,,
1,frozen_ar_only,20260708,32,0.1173124834895134,0.2492157140667117,0.08713576942682266,,,,,,,,,,,,
1,frozen_ar_only,20260708,33,0.11361866444349289,0.24206578094255493,0.08379483968019485,,,,,,,,,,,,
1,frozen_ar_only,20260708,34,0.11735173314809799,0.24863764722584608,0.0870521292090416,,,,,,,,,,,,
1,frozen_ar_only,20260708,35,0.11673671752214432,0.252333818479139,0.08681205660104752,,,,,,,,,,,,
1,frozen_ar_only,20260708,36,0.1158890500664711,0.24747567556880523,0.08539991825819016,,,,,,,,,,,,
1,frozen_ar_only,20260708,37,0.11664489656686783,0.24859115555706118,0.0869346335530281,,,,,,,,,,,,
1,frozen_ar_only,20260708,38,0.11678341776132584,0.24659675088450758,0.08609629422426224,,,,,,,,,,,,
1,frozen_ar_only,20260708,39,0.11799667030572891,0.2480694015885445,0.08603004366159439,,,,,,,,,,,,
1,,20260708,1,,,,residual_future_max_delta_rows_4_10__grouped_fold1,continuous,short_temporal_conv_residual,real_residual,0.01477190184717377,-4.754960536956787e-05,-4.754960536956787e-05,inner_val_top_5pct_lift_delta_vs_frozen_ar,0.0021476431284099817,0.021338490769267082,0.04798024892807007,true_train_and_true_inner_val_selection
