fold,model,seed,epoch,train_loss,inner_val_pr_auc,inner_validation_strategy,inner_overlap_rows,inner_strict_forward_time,inner_train_rows,inner_val_rows,target_name,target_type,architecture,control_type,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,label_policy
1,frozen_ar,20260675,33,0.151469344066249,0.26516559222607855,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,34,0.15143743654092154,0.26580252907414686,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,35,0.15148398197359508,0.2659216352476008,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,36,0.15145757959948647,0.26633916995646145,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,37,0.15147991478443146,0.2662089889252762,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,38,0.15140123665332794,0.2666272696062604,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,39,0.15122484084632662,0.26569252796109755,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,40,0.15121120628383425,0.2665589655580307,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,41,0.15132759428686565,0.26642396296386583,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,42,0.1512854289677408,0.267380961544078,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,43,0.1511556175020006,0.2667656230167068,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,44,0.15126170217990875,0.26690602594589347,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,45,0.15110421842998928,0.26717811342655134,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,46,0.15109854522678587,0.2672872942384439,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,47,0.15113165974617004,0.2671464893118788,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,48,0.15114391595125198,0.26817339061317114,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,49,0.1510144356224272,0.2677618650706368,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,50,0.15097314533260134,0.26760439459408775,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,51,0.15096316072675917,0.26825991166296387,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,52,0.15105576813220978,0.2684317740586511,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,53,0.1510597128007147,0.2684599890741095,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,54,0.15086443225542703,0.267971361702045,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,55,0.15094477352168825,0.26819228198370826,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,56,0.15088350077470145,0.2685121039323676,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,57,0.150857236650255,0.2690081958212302,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,58,0.15090691381030613,0.26830722917616606,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,59,0.15071559035115772,0.26821133536849273,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,60,0.15071760449144575,0.26909426341432013,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,61,0.15071667896376717,0.26861875114842426,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,62,0.15073988255527285,0.2690813386965329,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,63,0.1506783953971333,0.2692667483684089,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,64,0.15081840339634153,0.26892064833303025,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,65,0.15051196184423235,0.26926001846309755,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,66,0.15059709548950195,0.26910109623239037,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,67,0.15057015005085203,0.26982018070470287,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,68,0.15057505087720024,0.269318313119949,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,69,0.15050307992431852,0.26908451490121493,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,70,0.15029747701353496,0.2697107139826607,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,71,0.15039130383067661,0.2696043783800754,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,72,0.15040958093272316,0.2694770110524986,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,73,0.15053112970458138,0.26968643303161344,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,74,0.1504059135913849,0.2698526459172803,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,75,0.15034824195835325,0.2698741003700931,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,76,0.15039777921305764,0.26915757739841234,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,77,0.15031146340899998,0.26989599716640356,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,78,0.15028886248668036,0.2694053444111877,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,79,0.150246133406957,0.2698922001880967,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,frozen_ar,20260675,80,0.15026560756895277,0.27025272988811117,inner_temporal_within_outer_train_by_video_80_20,0.0,True,146175.0,37041.0,,,,,,,,,,,
1,real_residual,20260675,1,0.14989203794134986,,,,,,,future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1,binary,short_temporal_conv_residual,real_residual,0.2704721327770868,0.00021940288897565052,inner_val_pr_auc_delta_vs_frozen_ar,0.0021367748267948627,0.019686365500092506,0.03877156972885132,true_train_and_true_inner_val_selection
1,real_residual,20260675,2,0.14994536091883978,,,,,,,future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1,binary,short_temporal_conv_residual,real_residual,0.27044434870124795,0.00019161881313678464,inner_val_pr_auc_delta_vs_frozen_ar,0.0021234697196632624,0.020578669384121895,0.04661935195326805,true_train_and_true_inner_val_selection
1,real_residual,20260675,3,0.14989678147766325,,,,,,,future_arousal_max_delta_rows_4_10_train_q90__grouped_fold1,binary,short_temporal_conv_residual,real_residual,0.27047779083626,0.00022506094814883637,inner_val_pr_auc_delta_vs_frozen_ar,0.0021590618416666985,0.047762054949998856,0.20075172185897827,true_train_and_true_inner_val_selection
