group,ar_checkpoint_ensemble,original_checkpoint_ensemble,trial4_checkpoint_ensemble,trial4_minus_original,trial4_minus_ar,trial4_member_mean,trial4_ensemble_minus_member_mean
1,0.25939782425409547,0.26612822052726554,0.2681797107905729,0.002051490263307365,0.008781886536477435,0.26278781829197867,0.005391892498594231
2,0.26077755765681,0.2763114335167973,0.26989116037215893,-0.006420273144638389,0.009113602715348945,0.269145461089018,0.0007456992831409437
3,0.26013516269537235,0.26790336207509224,0.2686962437619651,0.0007928816868728594,0.008561081066592757,0.26724891523513145,0.0014473285268336578
4,0.26033139563690694,0.27774459025787357,0.26864428966625037,-0.0091003005916232,0.008312894029343432,0.266004416908694,0.002639872757556394
5,0.2595444168367374,0.27048993061671084,0.2683108027943512,-0.0021791278223596278,0.00876638595761381,0.26496660852550497,0.0033441942688462456
