group,continuous_spearman_real_minus_ar,continuous_spearman_real_minus_best_control,continuous_mae_ar_minus_real,continuous_mae_best_control_minus_real,continuous_rmse_ar_minus_real,continuous_rmse_best_control_minus_real,top_5pct_continuous_lift_real_minus_ar,top_5pct_continuous_lift_real_minus_best_control
1,0.006186914693479692,0.007120179677817751,-0.0005777403712272644,-0.00044986605644226074,-0.0004721732176154736,-0.00035352433048999043,0.006428629159927368,0.006116032600402832
2,0.0019970624967354106,0.002990048079101762,-0.00017035752534866333,-0.00017556548118591309,5.6884159630676834e-05,5.382843430828954e-05,0.005963727831840515,0.006071329116821289
3,0.005483980067738967,0.007396619149978995,-0.0008691996335983276,-0.0007912889122962952,-0.0007600304950723946,-0.0006757462560323391,0.005880534648895264,0.005816861987113953
