actual_positive_rate,ar_accuracy,ar_balanced_accuracy,ar_decision_threshold,ar_event_count,ar_f1,ar_fn,ar_fp,ar_positive_class_rate,ar_pr_auc,ar_precision,ar_precision_at_10pct,ar_predicted_positive_count,ar_predicted_positive_rate,ar_recall,ar_recall_at_10pct,ar_roc_auc,ar_tn,ar_top_10pct_recall,ar_top_1pct_recall,ar_top_5pct_recall,ar_top_event_count_recall,ar_tp,event_count,feature_mode,fold,n_test,target,threshold
0.15129903209373408,0.8003056546102904,0.6527115896863795,0.20490295804089056,297.0,0.40061162079510704,166.0,226.0,0.15129903209373408,0.37174280955537997,0.36694677871148457,0.49238578680203043,357.0,0.18186449312277128,0.44107744107744107,0.3265993265993266,0.7078669851779096,1440.0,0.3265993265993266,0.04040404040404041,0.1919191919191919,0.3872053872053872,131.0,297,cortical_pca_64,grouped_0,1963,arousal__future_spike_1_3s,0.05
0.09067753438614366,0.8222109016811003,0.6670553614704309,0.13028026567677814,178.0,0.3275529865125241,93.0,256.0,0.09067753438614366,0.2748710195174407,0.24926686217008798,0.3553299492385787,341.0,0.17371370351502802,0.47752808988764045,0.39325842696629215,0.7154124571176785,1529.0,0.39325842696629215,0.06179775280898876,0.23595505617977527,0.37640449438202245,85.0,178,cortical_pca_64,grouped_0,1963,arousal__future_spike_1_3s,0.075
0.22895974908520647,0.6858337689492943,0.6823063230400124,0.24316512213991415,438.0,0.4962279966471081,142.0,459.0,0.22895974908520647,0.48011992714327656,0.3920529801324503,0.6145833333333334,755.0,0.3946680606377418,0.6757990867579908,0.2694063926940639,0.7416918195186131,1016.0,0.2694063926940639,0.02968036529680365,0.1461187214611872,0.4954337899543379,296.0,438,cortical_pca_64,grouped_0,1913,arousal__future_change_p3s_movement,0.05
0.13277574490329325,0.7417668583376895,0.694406078986962,0.15436864313469276,254.0,0.3931203931203931,94.0,400.0,0.13277574490329325,0.3490047481182932,0.2857142857142857,0.453125,560.0,0.29273392577104024,0.6299212598425197,0.3425196850393701,0.7675955062579203,1259.0,0.3425196850393701,0.03543307086614173,0.16535433070866143,0.40551181102362205,160.0,254,cortical_pca_64,grouped_0,1913,arousal__future_change_p3s_movement,0.075
0.16650943396226414,0.7839622641509434,0.6845135318420331,0.18884828500939407,353.0,0.4521531100478469,164.0,294.0,0.16650943396226414,0.4130297643721262,0.391304347826087,0.4716981132075472,483.0,0.2278301886792453,0.5354107648725213,0.28328611898017,0.7290745826459597,1473.0,0.28328611898017,0.053824362606232294,0.17563739376770537,0.42492917847025496,189.0,353,cortical_pca_64,grouped_1,2120,arousal__future_spike_1_3s,0.05
0.10471698113207548,0.8476415094339622,0.6384648610676008,0.15427824010403718,222.0,0.33946830265848665,139.0,184.0,0.10471698113207548,0.2955187970810324,0.31086142322097376,0.3160377358490566,267.0,0.1259433962264151,0.3738738738738739,0.30180180180180183,0.7163087745279526,1714.0,0.30180180180180183,0.07207207207207207,0.17117117117117117,0.3063063063063063,83.0,222,cortical_pca_64,grouped_1,2120,arousal__future_spike_1_3s,0.075
0.26521739130434785,0.678743961352657,0.6219215141031029,0.25150126704180925,549.0,0.4526748971193415,274.0,391.0,0.26521739130434785,0.4343991031687739,0.41291291291291293,0.5362318840579711,666.0,0.3217391304347826,0.5009107468123861,0.20218579234972678,0.6703240246745922,1130.0,0.20218579234972678,0.025500910746812388,0.11293260473588343,0.4335154826958106,275.0,549,cortical_pca_64,grouped_1,2070,arousal__future_change_p3s_movement,0.05
0.157487922705314,0.7367149758454107,0.621775975122418,0.15944724556122258,326.0,0.35196195005945297,178.0,367.0,0.157487922705314,0.298593479310926,0.287378640776699,0.34782608695652173,515.0,0.24879227053140096,0.4539877300613497,0.22085889570552147,0.683139739404514,1377.0,0.22085889570552147,0.03374233128834356,0.11349693251533742,0.3159509202453988,148.0,326,cortical_pca_64,grouped_1,2070,arousal__future_change_p3s_movement,0.075
0.17918177110305541,0.7431382703262558,0.6300331868492551,0.19468977298717874,346.0,0.3876543209876543,189.0,307.0,0.17918177110305541,0.38192448863694656,0.33836206896551724,0.4587628865979381,464.0,0.24029000517866392,0.45375722543352603,0.25722543352601157,0.6914388869641327,1278.0,0.25722543352601157,0.04335260115606936,0.16184971098265896,0.35260115606936415,157.0,346,cortical_pca_64,grouped_2,1931,arousal__future_spike_1_3s,0.05
0.10616261004660797,0.8228896944588296,0.6193638187830314,0.15840118580358103,205.0,0.30204081632653057,131.0,211.0,0.10616261004660797,0.2700106051341348,0.2596491228070175,0.33505154639175255,285.0,0.14759192128430865,0.36097560975609755,0.3170731707317073,0.6869428821750558,1515.0,0.3170731707317073,0.04878048780487805,0.22439024390243903,0.32195121951219513,74.0,205,cortical_pca_64,grouped_2,1931,arousal__future_spike_1_3s,0.075
