target_name,validation_protocol,model_lane,folds,rows_test_total,mean_pr_auc,mean_roc_auc,mean_f1,mean_balanced_accuracy,mean_precision,mean_recall,mean_top_1pct_recall,mean_top_5pct_recall,mean_top_10pct_recall,mean_delta_mae,mean_delta_mse,mean_delta_pearson
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,AR_only,1,71105,0.1159705042782493,0.45895758551638305,0.21126018653363493,0.5002787074161732,0.12202237136465324,0.786299158113251,0.022027447814554263,0.05362703263752739,0.08695652173913043,0.13053718225073788,0.026233559583346198,-0.15027497993995562
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,AR_plus_raw_cortical,1,71105,0.1303048112995315,0.5198650545359939,0.2054018300077169,0.512117629338482,0.1269763384581834,0.5371929419905432,0.013839234229039326,0.05812478376196517,0.1131357398223965,0.15122912440429576,0.03727053867535222,-0.025891240653716792
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,AR_plus_raw_cortical_plus_temporal_diagnostics,1,71105,0.1314021252776515,0.5232535203120753,0.2046986236355007,0.5152080015248264,0.12886551734440826,0.4974051435820551,0.012109329950409411,0.060431322800138396,0.11475031714911775,0.14840436437441912,0.03630974312330817,-0.025954749058469662
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,AR_plus_temporal_diagnostics,1,71105,0.11984723992435942,0.4825258268256593,0.20155640650090878,0.4906624929543404,0.1189841243385141,0.6586322223503632,0.015915119363395226,0.056394879483335256,0.09929650559335716,0.1297736280952791,0.026265568852764674,-0.12850978407445487
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,quality_motion_luma_only_control,1,71105,0.12459927962505297,0.5071754859742428,0.2195554420755493,0.513104230409603,0.1251738750687413,0.8925152808211279,0.01107138738323146,0.056279552531426594,0.10644677661169415,0.11967624990222712,0.02279625023661549,-0.026645137553442822
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,random_matched_feature_control,1,71105,0.12052919783310004,0.49646119578713827,0.1980335017505608,0.49761448193086155,0.12101568104950292,0.5446891938646061,0.00980279091223619,0.04613078076346442,0.09756660131472725,0.11912065183144427,0.022701504778340414,0.004685776256642896
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,raw_cortical_only,1,71105,0.1350216911564397,0.5284242210287269,0.20565357617150445,0.5164942191871235,0.1294444278592113,0.5000576634759544,0.01637642717102987,0.06239188098258563,0.11901741436973821,0.14667247113688703,0.035074621259650475,0.005798598162748198
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,shuffled_cortical_control,1,71105,0.12116919494248155,0.49987280213390284,0.19457257252569715,0.5002750241355551,0.1220694517891768,0.4791834851804867,0.008880175296966901,0.047399377234459694,0.09675931265136663,0.11735315764286125,0.023029507623010887,-0.0065067466907654985
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,shuffled_temporal_diagnostics_control,1,71105,0.12155810087252349,0.5000277566781378,0.2163020095492943,0.5003736941250903,0.12203063716421224,0.9508707184869104,0.009456810056510206,0.049936570176450236,0.09975781340099181,0.11916887543616932,0.022582165164263753,-0.0007475437109259242
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_diagnostics_only,1,71105,0.1344789390017548,0.5265589266324748,0.21132670230666015,0.5192347277414836,0.1295977011494253,0.5721370084188675,0.013377926421404682,0.06954215200092262,0.1254757236766232,0.11939802520332093,0.02283410447116393,-0.010002217264788733
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,timestamp_video_time_only_control,1,71105,0.1252163462785046,0.49517911858296826,0.20819262127142474,0.4864799541774769,0.11863123993558776,0.849613654711106,0.014761849844308615,0.05143582055126283,0.10148771767962173,0.12166138543640491,0.02334567039949342,0.003890979941610434
arousal_abs_delta_p4rows_train_q90,grouped_video,AR_only,5,235217,0.11818756151796841,0.5397977483740583,0.19545231628456317,0.5424598346134797,0.112935194228163,0.7267243744799001,0.02537556738787705,0.07200084311347082,0.11063616115702735,0.11522636674875389,0.020781175387240818,-0.19536620654961342
