target_name,target_type,validation_protocol,variant_name,control_type,seeds,rows_test_total,mean_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,min_roc_auc,max_roc_auc,mean_top_1pct_recall,min_top_1pct_recall,max_top_1pct_recall,mean_top_5pct_recall,min_top_5pct_recall,max_top_5pct_recall,mean_top_10pct_recall,min_top_10pct_recall,max_top_10pct_recall,mean_top_1pct_precision,min_top_1pct_precision,max_top_1pct_precision,mean_top_5pct_precision,min_top_5pct_precision,max_top_5pct_precision,mean_top_10pct_precision,min_top_10pct_precision,max_top_10pct_precision,mean_continuous_spearman,min_continuous_spearman,max_continuous_spearman,mean_continuous_pearson,min_continuous_pearson,max_continuous_pearson,mean_top_1pct_continuous_lift,min_top_1pct_continuous_lift,max_top_1pct_continuous_lift,mean_top_5pct_continuous_lift,min_top_5pct_continuous_lift,max_top_5pct_continuous_lift,mean_top_10pct_continuous_lift,min_top_10pct_continuous_lift,max_top_10pct_continuous_lift,mean_top_1pct_avg_true_movement,min_top_1pct_avg_true_movement,max_top_1pct_avg_true_movement,mean_top_5pct_avg_true_movement,min_top_5pct_avg_true_movement,max_top_5pct_avg_true_movement,mean_top_10pct_avg_true_movement,min_top_10pct_avg_true_movement,max_top_10pct_avg_true_movement,mean_ndcg_at_1pct,min_ndcg_at_1pct,max_ndcg_at_1pct,mean_ndcg_at_5pct,min_ndcg_at_5pct,max_ndcg_at_5pct,mean_ndcg_at_10pct,min_ndcg_at_10pct,max_ndcg_at_10pct,mean_delta_vs_frozen_ar_pr_auc,min_delta_vs_frozen_ar_pr_auc,max_delta_vs_frozen_ar_pr_auc,mean_delta_vs_frozen_ar_top_5pct_continuous_lift,min_delta_vs_frozen_ar_top_5pct_continuous_lift,max_delta_vs_frozen_ar_top_5pct_continuous_lift,mean_delta_vs_frozen_ar_continuous_spearman,min_delta_vs_frozen_ar_continuous_spearman,max_delta_vs_frozen_ar_continuous_spearman
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,diagnostics_only_residual,3,207303,0.26627535998554547,0.2636910906732166,0.2686370940535046,0.7443478075278961,0.7401799731857736,0.7474593244829261,0.039920915362611435,0.0396264512872286,0.0403836446239273,0.16355376072690556,0.1627965673902069,0.1640585562847047,0.27763755678950025,0.2751135790005048,0.2796567390206966,0.4571290944123314,0.453757225433526,0.4624277456647399,0.375,0.3732638888888889,0.3761574074074074,0.3183330921718998,0.3154391549703371,0.32064824193315,0.2705053127979878,0.2454318401799307,0.296161136932833,0.3322474093127658,0.3080868279303971,0.353057325081977,,,,,,,,,,0.24322633941968283,0.2395695149898529,0.2476958185434341,0.18904807666937506,0.1881201416254043,0.1900059431791305,0.16231408218542728,0.1616560965776443,0.1628039330244064,,,,,,,,,,6.088284600691083e-05,0.0,0.0001023495294281,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,frozen_ar_only,3,207303,0.26621447713953855,0.2636910906732166,0.268556795044912,0.7444277772923665,0.7401799731857736,0.7475899203341895,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2776796230859835,0.2752397778899546,0.2796567390206966,0.45664739884393063,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3183813244585925,0.3155838518304152,0.32064824193315,0.29728152520738593,0.296161136932833,0.2984579583880707,0.3544453834388827,0.353057325081977,0.3564064502179761,,,,,,,,,,0.24317285418510434,0.2395052760839462,0.2476958185434341,0.18902172644933066,0.1881201416254043,0.1899268925189972,0.162326435248057,0.161689817905426,0.1628072708845138,,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,label_permutation_residual,3,207303,0.26625327947128374,0.2636910906732166,0.268556795044912,0.7443972540090921,0.7401799731857736,0.7475899203341895,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.16355376072690556,0.1627965673902069,0.1640585562847047,0.27759549049301696,0.274987380111055,0.2796567390206966,0.45664739884393063,0.453757225433526,0.4624277456647399,0.375,0.3732638888888889,0.3761574074074074,0.3182848598852071,0.315294458110259,0.32064824193315,0.28254826469740874,0.2542581768581391,0.297225480301254,0.3418999403926571,0.3187701210792994,0.3538723750166948,,,,,,,,,,0.24319426218668616,0.2395695000886917,0.2476958185434341,0.18904807666937506,0.1881201416254043,0.1900059431791305,0.16228763262430823,0.1615734100341797,0.1628072708845138,,,,,,,,,,3.880233174516667e-05,0.0,0.0001164069952355,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,random_pca_residual,3,207303,0.266277673331675,0.2636980468420659,0.2686321697642606,0.7443044828937606,0.740049697076045,0.7474552833624981,0.03987884906612817,0.0396264512872286,0.0402574457344775,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.27763755678950025,0.2752397778899546,0.2795305401312468,0.4566473988439306,0.453757225433526,0.4609826589595375,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.31833309217189987,0.3155838518304152,0.3205035450730719,0.25738623849260156,0.2271372586370478,0.2865059597604788,0.31797533955948776,0.282336601391225,0.3497374975066383,,,,,,,,,,0.24282977978388467,0.2395053058862686,0.246570348739624,0.1890254964431127,0.1881314516067505,0.1899268925189972,0.16231234868367508,0.161689817905426,0.1628039330244064,,,,,,,,,,6.319619213640414e-05,6.9561688492703055e-06,0.0001072576882114,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,real_residual,3,207303,0.26636927443477293,0.2637937637292132,0.2687248927736201,0.7444123262124652,0.7401750728888992,0.7475714609333977,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.16363789331987208,0.1630489651691065,0.1640585562847047,0.27759549049301696,0.2751135790005048,0.2795305401312468,0.45664739884393063,0.453757225433526,0.4624277456647399,0.3751929012345679,0.3738425925925926,0.3761574074074074,0.3182848598852071,0.3154391549703371,0.3205035450730719,0.26111509839499863,0.2530506555798643,0.2651849490552603,0.31037589231282064,0.2884973685081783,0.3215407326725245,,,,,,,,,,0.2430845201015472,0.2395053058862686,0.2476958185434341,0.18913365900516507,0.1883768886327743,0.1900059431791305,0.16228789587815598,0.1616354137659073,0.1628039330244064,,,,,,,,,,0.00015479729523426667,0.0001026730559965,0.0001936211009983,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,shuffled_pca_residual,3,207303,0.2662778653659607,0.2636910906732166,0.2686381164422631,0.7443457450230938,0.7401799731857736,0.7474487534152212,0.039920915362611435,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2777216893824667,0.2752397778899546,0.2796567390206966,0.4571290944123314,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3184295567452853,0.3155838518304152,0.32064824193315,0.26959706438360365,0.2247513834713451,0.296161136932833,0.32847144927129573,0.2817268890957039,0.353057325081977,,,,,,,,,,0.24313644568125403,0.2395053058862686,0.2476958185434341,0.1890255510807037,0.1881201416254043,0.1899268925189972,0.16235133508841193,0.161689817905426,0.1628819704055786,,,,,,,,,,6.338822642205467e-05,0.0,0.0001088432819151,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,monotonic_do_no_harm_residual,train_only_video_mean_residual,3,207303,0.26638357478742175,0.2638068504124327,0.2686271769080306,0.7444212958220321,0.7401886185843005,0.7474567696449219,0.039920915362611435,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.27763755678950025,0.2752397778899546,0.2795305401312468,0.4571290944123314,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.31833309217189987,0.3155838518304152,0.3205035450730719,0.2955351656272523,0.2953722353609572,0.2956239476351688,0.35435569949667567,0.3532081883414264,0.356079482354266,,,,,,,,,,0.24326165020465848,0.2395053058862686,0.2476958185434341,0.18902172644933066,0.1881201416254043,0.1899268925189972,0.1623084942499796,0.1616691350936889,0.1628072708845138,,,,,,,,,,0.00016909764788309496,7.038186311858485e-05,0.0003211513413147,,,,,,
residual_future_max_delta_rows_4_10,continuous,blocked_temporal_70_30,monotonic_do_no_harm_residual,diagnostics_only_residual,3,204024,,,,,,,,,,,,,,,,,,,,,,,,,0.037513469763623436,0.0284299651300853,0.0528074883887336,0.1715198605939651,0.1596262995419905,0.1918116536849909,0.11326727488388615,0.1042067678645253,0.122439962811768,0.07494116543481744,0.0700560780242085,0.0824093194678425,0.0581193687394261,0.0542737515643239,0.0647662999108433,0.125691016515096,0.1166305094957351,0.1348637044429779,0.0873649070660273,0.0824798196554184,0.0948330610990524,0.07054311037063593,0.0666974931955337,0.0771900415420532,0.7078005114802796,0.7031458749637773,0.7128934360262954,0.7693320150662138,0.7660555185537443,0.7745061723350728,0.8074710897183591,0.8046006838614734,0.8125247802509189,,,,-0.008810137708981767,-0.014984406530857,-0.0001308917999267,-0.02123503880699787,-0.0314364159549504,-0.0021436835009304
residual_future_max_delta_rows_4_10,continuous,blocked_temporal_70_30,monotonic_do_no_harm_residual,frozen_ar_only,3,204024,,,,,,,,,,,,,,,,,,,,,,,,,0.05874850857062133,0.054951171889664,0.0627393717270018,0.19590553585325446,0.1935371245588736,0.1980032009842895,0.1287362746273478,0.1238383324816823,0.1313092680647969,0.08375130314379926,0.0825402112677693,0.0850404845550656,0.06579466629773374,0.064342220313847,0.0669015245512127,0.1411600162585576,0.1362620741128921,0.1437330096960067,0.0961750447750091,0.0949639528989791,0.0974642261862754,0.07821840792894359,0.0767659619450569,0.0793252661824226,0.7160900762707615,0.7138744049151171,0.7172298130446016,0.7755213005389652,0.7746925599428307,0.7763530894285714,0.8133702263038417,0.8123324872940428,0.8141502570574081,,,,,,,,,
residual_future_max_delta_rows_4_10,continuous,blocked_temporal_70_30,monotonic_do_no_harm_residual,label_permutation_residual,3,204024,,,,,,,,,,,,,,,,,,,,,,,,,0.0478411235941996,0.0380136244587699,0.0557078424190863,0.18263698384914573,0.1802112486095038,0.1852676511586569,0.11824885228027893,0.1130794556811451,0.1229417892172932,0.08051787037402383,0.0800241427496075,0.0808550687506794,0.0612926678732037,0.0605763541534543,0.0622163834050297,0.13067259391148886,0.125503197312355,0.1353655308485031,0.09294161200523372,0.0924478843808174,0.0932788103818893,0.07371640950441356,0.0730000957846641,0.0746401250362396,0.7104312852042539,0.7083867080449888,0.7128684048942632,0.7730526196480246,0.7728369180405689,0.7731621386948231,0.8099389419307483,0.8093736624847047,0.810637870857438,,,,-0.0032334327697753334,-0.0043660849332809,-0.0025160685181617,-0.0109073849764217,-0.0169375474308941,-0.0028471396761119
