row_type,fold,group,seed,lane,frozen_ar_train_checksum,frozen_ar_test_checksum,continuous_pearson,continuous_spearman,continuous_mae,continuous_rmse,continuous_bias,peak_underprediction,binary_pr_auc,binary_roc_auc,binary_pr_auc_from_continuous_prediction,top_1pct_continuous_lift,top_1pct_avg_true_movement,ndcg_at_1pct,top_1pct_spike_recall_from_continuous_prediction,top_5pct_continuous_lift,top_5pct_avg_true_movement,ndcg_at_5pct,top_5pct_spike_recall_from_continuous_prediction,top_10pct_continuous_lift,top_10pct_avg_true_movement,ndcg_at_10pct,top_10pct_spike_recall_from_continuous_prediction,delta_vs_frozen_ar_continuous_spearman,delta_vs_frozen_ar_continuous_pearson,delta_vs_frozen_ar_top_1pct_continuous_lift,delta_vs_frozen_ar_top_5pct_continuous_lift,delta_vs_frozen_ar_top_10pct_continuous_lift,delta_vs_frozen_ar_ndcg_at_1pct,delta_vs_frozen_ar_ndcg_at_5pct,delta_vs_frozen_ar_ndcg_at_10pct,delta_vs_frozen_ar_binary_pr_auc,delta_vs_frozen_ar_binary_pr_auc_from_continuous_prediction,member_seeds
member,1,1,20260708,frozen_ar_only,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.2855645699098013,0.22514675892614955,0.10042741149663925,0.12611391283278567,0.0458139032125473,0.28776538372039795,0.08022674951644787,0.39839471161109574,0.2160914812248442,0.1376742720603943,0.2143779844045639,0.3368983701794874,0.03816635552789878,0.09702391922473907,0.1737276315689087,0.37266711369361394,0.1578510682431031,0.07110239565372467,0.1478061079978943,0.39686571316443436,0.25596349305123417,,,,,,,,,,,
member,1,1,20260708,real_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.29941672202833985,0.2417023713072204,0.10248462855815887,0.12824869784824391,0.05030753090977669,0.27652931213378906,0.22504373395386792,0.7012256940819139,0.22504373395386792,0.1568685919046402,0.23357230424880981,0.3642006647315705,0.03920348475420037,0.09650188684463501,0.17320559918880463,0.37653309676440333,0.15142086704003319,0.07692980766296387,0.15363352000713348,0.4134913750040202,0.26426052686164697,0.01655561238107084,0.013852152118538574,0.01919431984424591,-0.0005220323801040649,0.005827412009239197,0.02730229455208305,0.0038659830707893916,0.01662566183958586,0.14481698443742005,0.008952252729023724,
member,1,1,20260708,shuffled_pca_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.28555129523745654,0.22463598244176833,0.10045433789491653,0.1261332594531928,0.045870520174503326,0.2877348065376282,0.21602411698067592,0.6901401978975257,0.21602411698067592,0.13665500283241272,0.21335871517658234,0.33567899915843274,0.037958929682638455,0.09691916406154633,0.17362287640571594,0.37245669608758225,0.15764364239784276,0.07125107944011688,0.1479547917842865,0.39716987261215136,0.2561709188964945,-0.0005107764843812201,-1.3274672344743e-05,-0.0010192692279815674,-0.00010475516319274902,0.00014868378639221191,-0.0012193710210546826,-0.00021041760603168758,0.00030415944771700065,0.13579736746422805,-6.736424416828313e-05,
member,1,1,20260708,random_pca_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.2855520687044935,0.2246052445320925,0.10044695436954498,0.1261275960742017,0.04585390165448189,0.28774452209472656,0.21604011768303513,0.6901405496211513,0.21604011768303513,0.13665498793125153,0.21335870027542114,0.33568199027452533,0.037958929682638455,0.09702391922473907,0.1737276315689087,0.3726361561970544,0.1578510682431031,0.07106274366378784,0.14776645600795746,0.39675995954818766,0.25596349305123417,-0.0005415143940570577,-1.2501205307768881e-05,-0.0010192841291427612,0.0,-3.965198993682861e-05,-0.001216379904962095,-3.095749655951385e-05,-0.00010575361624670654,0.13581336816658726,-5.136354180906855e-05,
member,1,1,20260708,label_permutation_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.2855637661299652,0.2243794287770293,0.10043016076087952,0.1261160248600793,0.045819975435733795,0.287760853767395,0.21596773055724872,0.6899896475338074,0.21596773055724872,0.1376742720603943,0.2143779844045639,0.3366856831238624,0.03816635552789878,0.09702391922473907,0.1737276315689087,0.372580107024744,0.1578510682431031,0.07109259068965912,0.14779630303382874,0.3967841600064762,0.25596349305123417,-0.0007673301491202544,-8.037798360782666e-07,0.0,0.0,-9.804964065551758e-06,-0.0002126870556250493,-8.700666886996e-05,-8.155315795815854e-05,0.13574098104080085,-0.0001237506675954847,
member,1,1,20260708,train_only_video_mean_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.28552078635950745,0.22489559140982054,0.10047881305217743,0.1261500265850957,0.04591832682490349,0.2877199947834015,0.21612412932204117,0.6902704722798589,0.21612412932204117,0.1357484757900238,0.21245218813419342,0.3346234826573857,0.03775150383737814,0.0969008356332779,0.1736045479774475,0.37240992284621693,0.15743621655258244,0.0712508112192154,0.147954523563385,0.3971624947358088,0.2561709188964945,-0.0002511675163290039,-4.3783550293829965e-05,-0.0019257962703704834,-0.00012308359146118164,0.00014841556549072266,-0.002274887522101754,-0.00025719084739700415,0.00029678157137441596,0.1358973798055933,3.264809719696893e-05,
member,1,1,20260708,diagnostics_only_residual,54137cca83f3a1510ccb5242c84e4307,ee70c54c98eb510e6a412f6e26d51925,0.2855645699098013,0.22514675892614955,0.10042741149663925,0.12611391283278567,0.0458139032125473,0.28776538372039795,0.08022674951644787,0.39839471161109574,0.2160914812248442,0.1376742720603943,0.2143779844045639,0.3368983701794874,0.03816635552789878,0.09702391922473907,0.1737276315689087,0.37266711369361394,0.1578510682431031,0.07110239565372467,0.1478061079978943,0.39686571316443436,0.25596349305123417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,1,20260709,frozen_ar_only,d21965f8ca0328f49e50b5bb3c6dfc41,57d0e43d410875e0976a1c77facee546,0.2837883951130928,0.2216316920322268,0.100196972489357,0.1258518133609106,0.04558338224887848,0.2891932725906372,0.11030904763590141,0.4990761460242525,0.21595821121134165,0.13194796442985535,0.20865167677402496,0.3298885437771576,0.03816635552789878,0.09609824419021606,0.17280195653438568,0.3706599997134284,0.15722879070732212,0.07095383107662201,0.14765754342079163,0.3961500250926032,0.25658577058701515,,,,,,,,,,,
member,1,1,20260709,real_residual,d21965f8ca0328f49e50b5bb3c6dfc41,57d0e43d410875e0976a1c77facee546,0.29498558089799953,0.2372820875262093,0.10143577307462692,0.12736326138385534,0.04814853146672249,0.28142184019088745,0.22481631970303798,0.7031698400968749,0.22481631970303798,0.15138067305088043,0.22808438539505005,0.35794257221873466,0.03920348475420037,0.09459716081619263,0.17130087316036224,0.3720845258940324,0.15287284795685543,0.07673470675945282,0.15343841910362244,0.4121061286398867,0.26446795270690726,0.015650395493982505,0.011197185784906749,0.019432708621025085,-0.0015010833740234375,0.0057808756828308105,0.02805402844157706,0.0014245261806040133,0.015956103547283496,0.11450727206713657,0.008858108491696326,
member,1,1,20260709,shuffled_pca_residual,d21965f8ca0328f49e50b5bb3c6dfc41,57d0e43d410875e0976a1c77facee546,0.2837883951130928,0.2216316920322268,0.100196972489357,0.1258518133609106,0.04558338224887848,0.2891932725906372,0.11030904763590141,0.4990761460242525,0.21595821121134165,0.13194796442985535,0.20865167677402496,0.3298885437771576,0.03816635552789878,0.09609824419021606,0.17280195653438568,0.3706599997134284,0.15722879070732212,0.07095383107662201,0.14765754342079163,0.3961500250926032,0.25658577058701515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
