target_name,architecture,seed,real_pr_auc,frozen_ar_only_pr_auc,real_minus_frozen_ar_only_pr_auc,shuffled_pca_residual_pr_auc,real_minus_shuffled_pca_residual_pr_auc,random_pca_residual_pr_auc,real_minus_random_pca_residual_pr_auc,label_permutation_residual_pr_auc,real_minus_label_permutation_residual_pr_auc,train_only_video_mean_residual_pr_auc,real_minus_train_only_video_mean_residual_pr_auc,diagnostics_only_residual_pr_auc,real_minus_diagnostics_only_residual_pr_auc,best_control,best_control_pr_auc,real_minus_best_control_pr_auc,original_pr_auc,tuned_minus_original_pr_auc
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260625,0.2718557351911264,0.26369109067321667,0.008164644517909714,0.26133870146080207,0.01051703373032431,0.2606461078804916,0.011209627310634795,0.26369109067321667,0.008164644517909714,0.262550253280551,0.009305481910575397,0.26369109067321667,0.008164644517909714,label_permutation_residual,0.26369109067321667,0.008164644517909714,0.2697372518888213,0.002118483302305074
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260626,0.27714495694481234,0.26855679504491203,0.008588161899900304,0.264438914638854,0.012706042305958343,0.26866984032918384,0.008475116615628497,0.26855679504491203,0.008588161899900304,0.2667848618091492,0.010360095135663161,0.26855679504491203,0.008588161899900304,random_pca_residual,0.26866984032918384,0.008475116615628497,0.2748117839176692,0.002333173027143143
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260627,0.2591548993878124,0.2663955457004872,-0.007240646312674792,0.266530071931707,-0.007375172543894637,0.2665387552795469,-0.007383855891734514,0.25850196384289525,0.0006529355449171326,0.2661828389293642,-0.0070279395415517865,0.2663955457004872,-0.007240646312674792,random_pca_residual,0.2665387552795469,-0.007383855891734514,0.2770178562122585,-0.017862956824446108
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260628,0.27039031021293003,0.2609401547184769,0.009450155494453105,0.2588362147090645,0.011554095503865547,0.256597004078302,0.013793306134628036,0.2611208795526349,0.00926943066029512,0.2584011756442238,0.011989134568706206,0.2611220001412916,0.00926831007163842,label_permutation_residual,0.2611208795526349,0.00926943066029512,0.2686994051782653,0.0016909050346647359
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260629,0.2688705506005143,0.2602792590111217,0.008591291589392591,0.2604434885634404,0.008427062037073885,0.260420611315303,0.008449939285211316,0.2472501158753881,0.021620434725126203,0.25797430773706376,0.010896242863450534,0.26036484669197846,0.008505703908535833,shuffled_pca_residual,0.2604434885634404,0.008427062037073885,0.2676261263627085,0.0012444242378057968
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260630,0.2682582196411415,0.2609194250535771,0.007338794587564368,0.2592652508181244,0.008992968823017089,0.25817548653620015,0.010082733104941344,0.26074419938770355,0.0075140202534379474,0.2603694023796672,0.007888817261474279,0.25963051153662503,0.008627708104516463,label_permutation_residual,0.26074419938770355,0.0075140202534379474,0.2680293087331385,0.0002289109080029772
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260631,0.2679481500840399,0.2592937695681576,0.008654380515882298,0.2572963393486095,0.010651810735430367,0.25943456731849923,0.00851358276554065,0.2592937695681576,0.008654380515882298,0.24649958204196892,0.02144856804207096,0.2536489393685633,0.014299210715476574,random_pca_residual,0.25943456731849923,0.00851358276554065,0.2676803070186962,0.00026784306534366475
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260632,0.26649585207567017,0.2579526541089701,0.008543197966700056,0.2579526541089701,0.008543197966700056,0.2579526541089701,0.008543197966700056,0.25382981986609365,0.012666032209576517,0.2579526541089701,0.008543197966700056,0.2579526541089701,0.008543197966700056,shuffled_pca_residual,0.2579526541089701,0.008543197966700056,0.265907408508852,0.0005884435668181975
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260633,0.25679690040880093,0.2587597640235997,-0.001962863614798749,0.25887441860820415,-0.0020775181994032166,0.25888456093272716,-0.002087660523926227,0.2589087197757609,-0.002111819366959977,0.25293367045390525,0.003863229954895686,0.25888561954922157,-0.0020887191404206362,label_permutation_residual,0.2589087197757609,-0.002111819366959977,0.2580455144477861,-0.0012486140389851852
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260634,0.2527386997949954,0.24554777356533203,0.007190926229663386,0.24554777356533203,0.007190926229663386,0.2446981773035921,0.008040522491403301,0.24608883106705962,0.006649868727935798,0.2447383582368303,0.00800034155816512,0.2427577777532105,0.009980922041784912,label_permutation_residual,0.24608883106705962,0.006649868727935798,0.2531806678605329,-0.00044196806553747914
