schema_version,target_name,target_type,validation_protocol,fold,seed,architecture,control_type,feature_name,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,dropout_disabled,ar_baseline_reused,ar_baseline_newly_trained,frozen_ar_train_checksum,frozen_ar_test_checksum,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,best_inner_val_secondary_delta,early_stopping_reason,residual_suppressed,checkpoint_restored,checkpoint_path,checkpoint_checksum,label_policy,alpha_final,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,frozen_ar_only,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.2636910906732166,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.4935638566380615,0.6458044367780922,0.0745019912719726,0.0145930992439389,0.1208019008291629,0.353057325081977,0.296161136932833,0.2578571471571293,0.4624277456647399,0.0403836446239273,4.032587033465319,0.2476958185434341,0.1710570976138115,0.3732638888888889,0.1627965673902069,3.255036343527399,0.1881201416254043,0.1114814206957817,0.32064824193315,0.2796567390206966,2.7962032011386424,0.1624822169542312,0.0858434960246086,0.3638075694386801,0.6407496309416946,0.2901107562901737,1.9117012548450132,995,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-1.849888110160828,0.2697372518888213,0.7400767018272062,0.3201460742544126,0.2676390773405698,0.3982836951034831,0.6285597660505238,0.0755843520164489,0.0144747793674469,0.1203111772340662,0.3136151735006529,0.2628277948716933,0.2567367671356254,0.4942196531791907,0.0431600201918223,4.30982739201606,0.2464176267385482,0.1697789058089256,0.3822337962962963,0.1667087329631499,3.333258147131546,0.1923711895942688,0.1157324686646461,0.3219505136738533,0.2807925290257446,2.807559622081895,0.1637100428342819,0.0870713219046592,0.3688997368968591,0.6535584729584188,0.1984140212601416,2.0874257985239018,995,12.0,20.0,0.0149937164225602,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260625__best.npz,b9d978ab42ad87048c234d5cdb023b2b,true_train_and_true_inner_val_selection,0.0026102066040039,0.2296307533979416,2.761358155112248e-05,0.0188890732824802,0.9944283962249756,0.0060461612156046,-0.0001032713585673,0.002776375567895,0.0039121655729429,0.0011357900050479,-0.0011203800215039
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.120357394218445,0.2616537279609534,0.7375582627867301,0.3150033377837116,0.2352904512590376,0.4764008076728925,0.6379257908282896,0.0785572752356529,0.0147450426593422,0.1214291672512921,0.2446664930768965,0.2170485963619622,0.2535099114525135,0.4523121387283237,0.0395002523977789,3.9443741921082656,0.2431353330612182,0.1664966121315956,0.3752893518518518,0.1636799596163553,3.272699331438013,0.1885265260934829,0.1118878051638603,0.3193459701924468,0.2785209490156486,2.7848467801953896,0.1620314866304397,0.0853927657008171,0.3576651754273405,0.6404625074413883,0.195533023424633,1.932275683885078,995,9.0,17.0,8.752511560244924e-05,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260625__best.npz,37cb8416b3d23b433f1205651e9dde69,true_train_and_true_inner_val_selection,0.0024481655564159,0.1533618420362472,5.47982199350372e-05,0.0124970590695738,0.8417845368385315,-0.0020373627122632,-0.0026217103990434,-0.0008833922261484,0.0008833922261484,-0.0011357900050479,-0.0043472357046157
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,random_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.178808879852295,0.2612616751561923,0.7369522184934262,0.3133338302153984,0.222316234796404,0.5305401312468451,0.6450778365177129,0.0777621492743492,0.0146672753617167,0.1211085272048039,0.2617444046343148,0.2280310458909476,0.2529453414676154,0.4523121387283237,0.0395002523977789,3.9443741921082656,0.2436683923006057,0.1670296713709831,0.3738425925925926,0.1630489651691065,3.2600829115018604,0.1881741285324096,0.111535407602787,0.3202141513529156,0.2792781423523473,2.7924177274908915,0.162505954504013,0.0858672335743904,0.3576170167781495,0.6407164648061876,0.1963191856192361,1.9525591422637965,995,10.0,18.0,0.000342511326296,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260625__best.npz,1b846c89e7fa224375d3cce9ac7e37d5,true_train_and_true_inner_val_selection,0.0024939109571278,0.1597643345594406,7.524110696977004e-05,0.0148548474535346,0.8422605395317078,-0.0024294155170243,-0.0032277546923473,-0.0008833922261484,0.0002523977788995,-0.0003785966683492,-0.0049118056895138
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,label_permutation_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1523748874664306,0.2614046541905019,0.7372906422165086,0.3140489497012912,0.2260695854836024,0.5141342756183745,0.6430782204055878,0.0758112445473671,0.0145236644893884,0.1205141671729447,0.320677198584487,0.2609247988967255,0.2526687873267356,0.453757225433526,0.0396264512872286,3.956976026587845,0.2440032064914703,0.1673644855618477,0.3703703703703703,0.1615345784957092,3.2298035036550936,0.1864395439624786,0.1098008230328559,0.3197800607726812,0.278899545683998,2.7886322538431405,0.1620841175317764,0.0854453966021537,0.3578838243045662,0.6388103587058446,0.205887465729083,1.931110772042561,995,13.0,21.0,5.0104173859075174e-05,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260625__best.npz,783747855b0e06642459d8e25a316245,permuted_train_and_permuted_inner_val_selection,0.002494053216651,0.1844715476036071,1.5354224160546437e-05,0.0081104263663291,0.9419711828231812,-0.0022864364827147,-0.0028893309692649,-0.0007571933366986,-0.0012619888944977,-0.0007571933366986,-0.0051883598303937
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,train_only_video_mean_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.123576593399048,0.2615367106748402,0.7386432365791048,0.3186213004649789,0.2251486387816835,0.5448006057546694,0.6509739498361591,0.0786094442009925,0.0146172558888793,0.1209018440259672,0.2611510293822627,0.1964947338259681,0.2465788157503188,0.4436416184971098,0.0387430590610802,3.86876318523079,0.227770060300827,0.1511313393712043,0.3634259259259259,0.1585058051489146,3.169244687961561,0.1848214417695999,0.1081827208399772,0.3154391549703371,0.2751135790005048,2.750777517365632,0.1610752940177917,0.0844365730881691,0.3596803406906916,0.6415379208675621,0.2090669573271692,1.8983252090103144,995,8.0,16.0,0.0023607609420466,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260625__best.npz,1fca5670bf8b02121988814fcd9debc7,true_train_and_true_inner_val_selection,0.0024519260041415,0.2768694162368774,4.997205564905016e-07,0.0037634554319083,0.9999350905418396,-0.0021543799983764,-0.0015367366066687,-0.001640585562847,-0.0042907622412922,-0.0045431600201917,-0.0112783314068104
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,diagnostics_only_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.2636910906732166,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.4935638566380615,0.6458044367780922,0.0745019912719726,0.0145930992439389,0.1208019008291629,0.353057325081977,0.296161136932833,0.2578571471571293,0.4624277456647399,0.0403836446239273,4.032587033465319,0.2476958185434341,0.1710570976138115,0.3732638888888889,0.1627965673902069,3.255036343527399,0.1881201416254043,0.1114814206957817,0.32064824193315,0.2796567390206966,2.7962032011386424,0.1624822169542312,0.0858434960246086,0.3638075694386801,0.6407496309416946,0.2901107562901737,1.9117012548450132,995,0.0,8.0,0.0,0.0,patience_exhausted,True,False,,,true_train_and_true_inner_val_selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,frozen_ar_only,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.885422110557556,0.268556795044912,0.7475899203341895,0.3268123138033764,0.2694007858546169,0.4153205451792024,0.6347161922979884,0.0740935355424881,0.014682987704873,0.1211733786971094,0.3538723750166948,0.297225480301254,0.2501556196157572,0.453757225433526,0.0396264512872286,3.956976026587845,0.2423174679279327,0.1656787469983101,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.1123794242739677,0.3189118796122124,0.2781423523472993,2.7810613065476386,0.1628072708845138,0.0861685499548912,0.3582601654423565,0.6383881538621846,0.3018643121339288,1.8620416311014565,995,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.919621229171753,0.2748117839176692,0.7476775295146809,0.3267229879946643,0.2522312233969518,0.4636547198384654,0.6428069764417821,0.0752563700079917,0.0145260170102119,0.1205239271274046,0.3166388578448884,0.2669715249779238,0.2493799355611711,0.5101156069364162,0.0445482079757698,4.448447571291431,0.2536214888095855,0.1769827678799629,0.3822337962962963,0.1667087329631499,3.333258147131546,0.1919286847114563,0.1152899637818336,0.3189118796122124,0.2781423523472993,2.7810613065476386,0.1628591269254684,0.0862204059958458,0.3622611665699491,0.6480580029810679,0.2006271981851543,2.0188247661080836,995,12.0,20.0,0.0134625681931166,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260626__best.npz,09db0f2e8b6506a39681bb8f58b463a3,true_train_and_true_inner_val_selection,0.0026386633981019,0.2138913720846176,1.0333470527257305e-05,0.0120094660669565,0.99374121427536,0.0062549888727572,8.760918049144362e-05,0.0049217566885411,0.0026501766784452,0.0,-0.000775684054586
again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8583455801010136,0.2662154114980563,0.7445176683272295,0.3246307623452185,0.267870332375872,0.4119131751640585,0.633045199315197,0.0773406252264976,0.0147942109033465,0.1216314552381354,0.2620393204076691,0.2316579667307315,0.2447704817691143,0.4421965317919075,0.0386168601716304,3.8561613507512114,0.2354887574911117,0.1588500365614891,0.3764467592592592,0.1641847551741544,3.282792467386934,0.1891318708658218,0.1124931499361991,0.3155838518304152,0.2752397778899546,2.752039341914882,0.1615998297929763,0.0849611088633537,0.3523639482151479,0.6370631652592244,0.207373478246953,1.8698373993185573,995,11.0,19.0,0.0006816948363796,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260626__best.npz,c5e7acf2e64cfc61256a226ac31ba53a,true_train_and_true_inner_val_selection,0.0025654665660113,0.1316632479429245,1.4317596651380882e-05,0.0063808243721723,0.8186898827552795,-0.0023413835468557,-0.0030722520069599,-0.0010095911155981,0.0001261988894497,-0.0029025744573447,-0.0053851378466429
