schema_version,target_name,target_type,validation_protocol,fold,seed,architecture,control_type,feature_name,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,frozen_ar_train_checksum,frozen_ar_test_checksum,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,best_inner_val_secondary_delta,early_stopping_reason,residual_suppressed,checkpoint_restored,checkpoint_path,checkpoint_checksum,dropout_disabled,label_policy,alpha_final,hyperparameters,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,frozen_ar_only,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-1.890517616271973,0.2718557351911264,0.7420639944817315,0.3230521116822901,0.26892095989259945,0.40446744068652196,0.6310223173650176,0.07523585110902786,0.014423101209104061,0.1200962164645667,0.3227982293652187,0.28016563341902223,0.26028646214902734,0.48554913294797686,0.04240282685512368,4.234216385138585,0.24300256371498108,0.16636384278535843,0.3839699074074074,0.16746592629984855,3.348397851054929,0.19218610227108002,0.11554738134145737,0.32310808855447837,0.28180212014134276,2.817654218475897,0.16394472122192383,0.08730600029230118,0.3725473654733921,0.6532375613942295,0.20087496537384292,2.1160489568559764,995,13.0,21.0,0.017173144401521706,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260625__best.npz,1c64322f78f7948ea63fdbd712903c77,True,true_train_and_true_inner_val_selection,0.008272681385278702,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.08711956441402435,8.62947399582481e-06,0.002661973237991333,0.7130794525146484,0.008164644517909714,0.0018840212959579938,0.002019182231196369,0.004669358909641597,0.0021453811206461615,0.002429314991898024
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.120386838912964,0.26133870146080207,0.7370742535229555,0.31515352147645453,0.23445388498953332,0.48056537102473496,0.638659526482013,0.07859502732753754,0.014810657128691673,0.12169904325298402,0.24005718342452387,0.2164584945743501,0.25276293950499956,0.4523121387283237,0.0395002523977789,3.9443741921082656,0.24347138404846191,0.16683266311883926,0.37355324074074076,0.16292276627965674,3.2575596275146297,0.18822428584098816,0.11158556491136551,0.32021415135291564,0.2792781423523473,2.7924177274908915,0.16229529678821564,0.08565657585859299,0.35605386721541077,0.6387842889051732,0.19252298778975066,1.9241639195360138,995,9.0,17.0,0.0002355567197901698,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260625__best.npz,b199843c6d50db3572de7dcbe98bac1d,True,true_train_and_true_inner_val_selection,0.007945869117975235,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.11652767658233643,5.9528701967792585e-05,0.00719260610640049,0.7152564525604248,-0.002352389212414596,-0.0031057196628180295,-0.0008833922261484092,0.00012619888944978563,-0.00037859666834927364,-0.005094207652129756
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,random_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1734128475189207,0.2606461078804916,0.7363496655713959,0.3119886955228321,0.22116195698017713,0.529404341241797,0.6439623501001146,0.07728788256645203,0.01467697974294424,0.12114858539390479,0.27135425722067846,0.2330990110001985,0.2522991145761093,0.4508670520231214,0.03937405350832913,3.9317723576286863,0.24280722439289093,0.16616850346326828,0.37123842592592593,0.16191317516405856,3.237373355616785,0.18711023032665253,0.11047150939702988,0.3193459701924468,0.27852094901564867,2.7848467801953896,0.16218602657318115,0.0855473056435585,0.3579272269671963,0.6408228110611113,0.19626115150277723,1.9525627508683152,995,11.0,19.0,0.0004928911975854156,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260625__best.npz,366a77d0d45fb33c708a9bf7fe7fa459,True,true_train_and_true_inner_val_selection,0.008078058250248432,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.1043209433555603,3.550176916178316e-05,0.004970190115272999,0.6631604433059692,-0.0030449827927250817,-0.003830307614377637,-0.001009591115598181,-0.0008833922261483884,-0.001135790005047932,-0.00555803258102
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,label_permutation_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995,0.0,8.0,0.0,0.0,patience_exhausted,True,False,,,True,permuted_train_and_permuted_inner_val_selection,0.0,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,train_only_video_mean_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1601908206939697,0.262550253280551,0.7398232086756943,0.3176579581248842,0.22485703793085357,0.5408884401817264,0.649688053557689,0.0774921104311943,0.014614674262702465,0.12089116701687706,0.27734737802427034,0.22266558859581012,0.2510600807642892,0.4552023121387283,0.03975265017667844,3.9695778610674233,0.23555177450180054,0.1589130535721779,0.36516203703703703,0.15926299848561332,3.1843843918849437,0.1844654679298401,0.10782674700021744,0.3187671827521343,0.2780161534578496,2.7797994819983884,0.16205888986587524,0.0854201689362526,0.35915095225223,0.6397991712025246,0.20787225479396443,1.915723000344276,995,7.0,15.0,0.0020723018345437105,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260625__best.npz,def3028808023072be2be858e5f4915d,True,true_train_and_true_inner_val_selection,0.007902358658611774,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.1786586046218872,5.260073521640152e-06,0.002215498825535178,0.9925166964530945,-0.0011408373926656834,-0.000356764510079266,-0.0006309944472488657,-0.003533568904593637,-0.001640585562847019,-0.006797066392840112
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,short_temporal_conv_residual,diagnostics_only_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995,0.0,8.0,0.0,0.0,patience_exhausted,True,False,,,True,true_train_and_true_inner_val_selection,0.0,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,frozen_ar_only,temporal_mean_2s_then_pca256,159923,69101,True,True,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8854221105575562,0.26855679504491203,0.7475899203341895,0.3268123138033764,0.2694007858546169,0.4153205451792024,0.6347161922979884,0.0740935355424881,0.014682987704873085,0.1211733786971094,0.35387237501669483,0.297225480301254,0.2501556196157572,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24231746792793274,0.1656787469983101,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.11237942427396774,0.3189118796122124,0.27814235234729934,2.7810613065476386,0.16280727088451385,0.0861685499548912,0.35826016544235656,0.6383881538621846,0.3018643121339288,1.8620416311014565,995,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.9546239972114563,0.27714495694481234,0.7497075210725967,0.3307002751397888,0.25503080082135526,0.4702170620898536,0.6461535316170373,0.07466931641101837,0.01446711365133524,0.1202793151432749,0.330752006206414,0.2809656911869506,0.25264046870778545,0.4985549132947977,0.04353861686017163,4.347632895454797,0.25047019124031067,0.17383147031068802,0.38773148148148145,0.1691065118626956,3.381200542888926,0.19377727806568146,0.11713855713605881,0.32310808855447837,0.28180212014134276,2.817654218475897,0.1646546572446823,0.08801593631505966,0.3674815438011348,0.6501680382971333,0.2051377418616156,2.047536471128752,995,13.0,21.0,0.015771854105393113,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260626__best.npz,e06586aaeeab409c56ae709b5bf346ba,True,true_train_and_true_inner_val_selection,0.008289764635264874,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.0801929235458374,8.373600394406822e-06,0.002848159521818161,0.619979202747345,0.008588161899900304,0.002117600738407277,0.003912165572942959,0.005047955577990898,0.0036597677940434226,0.0024848490920282296
again_dense_2hz_phase6_optuna_locked_10seed_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,short_temporal_conv_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,159923,69101,True,True,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8542445182800293,0.264438914638854,0.7423324092486678,0.32275603005140374,0.2652746181345466,0.4120393740535083,0.6321111920041149,0.07737450301647186,0.01481737568974495,0.12172664330270899,0.260854884155567,0.22923867470169282,0.24219418002059123,0.4436416184971098,0.03874305906108026,3.8687631852307907,0.23488135635852814,0.1582426354289055,0.37471064814814814,0.16342756183745583,3.2676527634635515,0.18820878863334656,0.11157006770372391,0.31543915497033714,0.2751135790005048,2.750777517365632,0.16137607395648956,0.08473735302686691,0.35219188073655305,0.6366302222469531,0.20422208249665535,1.8830805588383128,995,13.0,21.0,0.0005246779065401774,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_optuna_locked_10seed_confirm_20260714_141457/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260626__best.npz,faaea6dc888b00c00720b05046205466,True,true_train_and_true_inner_val_selection,0.008236982859671116,"{'hidden': 64, 'learning_rate': 0.00010528366155183298, 'weight_decay': 0.00020452569809101856, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.16, 'gate_bias': 5.0, 'lambda_binary': 0.8}",0.11164075136184692,1.9113891539745964e-05,0.004577317740768194,0.7230809926986694,-0.004117880406058039,-0.005257511085521638,-0.0008833922261484092,-0.0006309944472488727,-0.003028773346794522,-0.007961439595165987
