schema_version,target_name,target_type,validation_protocol,fold,seed,feature_name,variant_name,control_type,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,ar_retrained,frozen_ar_train_checksum,frozen_ar_test_checksum,residual_suppressed,inner_val_selection_policy,training_label_policy,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,heldout_scoring_policy,early_stopping_reason,checkpoint_restored,checkpoint_path,checkpoint_checksum,alpha_final,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,continuous_bias,peak_underprediction,binary_pr_auc,binary_roc_auc,binary_pr_auc_from_continuous_prediction,top_1pct_continuous_lift,ndcg_at_1pct,top_1pct_spike_recall_from_continuous_prediction,top_5pct_continuous_lift,ndcg_at_5pct,top_5pct_spike_recall_from_continuous_prediction,top_10pct_continuous_lift,ndcg_at_10pct,top_10pct_spike_recall_from_continuous_prediction,delta_vs_frozen_ar_continuous_spearman,delta_vs_frozen_ar_continuous_pearson,delta_vs_frozen_ar_top_1pct_continuous_lift,delta_vs_frozen_ar_top_5pct_continuous_lift,delta_vs_frozen_ar_top_10pct_continuous_lift,delta_vs_frozen_ar_ndcg_at_1pct,delta_vs_frozen_ar_ndcg_at_5pct,delta_vs_frozen_ar_ndcg_at_10pct,delta_vs_frozen_ar_binary_pr_auc,delta_vs_frozen_ar_binary_pr_auc_from_continuous_prediction
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,frozen_ar_only,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True,not_applicable,not_applicable,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,real_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,False,true_inner_val_labels_targets,true_train_labels_targets,-2.1203842163085938,0.26379376372921326,0.7401750728888992,0.3204077298789552,0.24146981627296588,0.47602221100454317,0.6411691550960732,0.07658965140581131,0.014520755037665367,0.12050209557375077,0.28849736850817836,0.25305065557986434,0.2568311203875215,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3738425925925926,0.16304896516910652,3.2600829115018604,0.18837688863277435,0.1117381677031517,0.32050354507307194,0.27953054013124684,2.7949413765893922,0.16242434084415436,0.08578561991453171,0.3595048406281388,0.6406655791629549,0.1814104712269975,1.9467112088079346,995.0,40.0,40.0,6.193534296028425e-05,true_heldout_labels_targets,max_epochs_reached,True,outputs/again_dense_2hz_phase5_redesigned_target_blocked_20260630_010721/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__real_residual__monotonic_do_no_harm_residual__binary__20260625__best.npz,64bc699b0aada97eef6dbd255de20078,0.002269824268296361,0.11481568217277527,0.00010414796997793019,0.013563406653702259,0.6898614764213562,0.00010267305599659382,-4.90029687438831e-06,0.0,0.00025239777889957127,-0.00012619888944975788,-0.0010260267696078351,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,shuffled_pca_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True,true_inner_val_labels_targets,true_train_labels_targets,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,0.0,8.0,0.0,true_heldout_labels_targets,patience_exhausted,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,random_pca_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,False,true_inner_val_labels_targets,true_train_labels_targets,-2.12038516998291,0.26369804684206594,0.740049697076045,0.3195989214694978,0.23988110295977738,0.47867238768298837,0.6411048323821222,0.07574097067117691,0.01454585138708353,0.1206061830383647,0.3218519197805999,0.25851549708027816,0.25664313113764453,0.46098265895953755,0.04025744573447754,4.01998519898574,0.24657034873962402,0.16993162781000137,0.3732638888888889,0.16279656739020695,3.255036343527399,0.1881314516067505,0.11149273067712784,0.32050354507307194,0.27953054013124684,2.7949413765893922,0.16244329512119293,0.08580457419157028,0.3597991584976568,0.6413266600432278,0.19900015421684053,1.9375858312615044,995.0,4.0,12.0,1.5098443830685593e-05,true_heldout_labels_targets,patience_exhausted,True,outputs/again_dense_2hz_phase5_redesigned_target_blocked_20260630_010721/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__random_pca_residual__monotonic_do_no_harm_residual__binary__20260625__best.npz,dbaef03d21c2d9cff18e6b25e23d561e,0.0018874366069212556,0.1574792116880417,0.00011749918485293165,0.011001501232385635,0.8410372734069824,6.9561688492703055e-06,-0.00013027610972859982,-0.00012619888944977176,0.0,-0.00012619888944975788,-0.001214016019484787,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,label_permutation_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True,permuted_inner_val_labels_targets,permuted_train_labels_targets,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,0.0,8.0,0.0,true_heldout_labels_targets,patience_exhausted,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,train_only_video_mean_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,False,true_inner_val_labels_targets,true_train_labels_targets,-2.1203781366348267,0.2638068504124327,0.7401886185843005,0.32162150843837684,0.24067690379191475,0.4846037354871277,0.6432858976894585,0.07452211529016495,0.014584277756512165,0.12076538310506105,0.3532081883414264,0.2953722353609572,0.25685146383462376,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32050354507307194,0.27953054013124684,2.7949413765893922,0.16244907677173615,0.0858103558421135,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,3.0,11.0,1.3350843020759617e-05,true_heldout_labels_targets,patience_exhausted,True,outputs/again_dense_2hz_phase5_redesigned_target_blocked_20260630_010721/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__train_only_video_mean_residual__monotonic_do_no_harm_residual__binary__20260625__best.npz,fdb09bc7490ddcc0fc72326183b65e15,0.0018375233048573136,0.038510411977767944,0.003006321843713522,0.01652582921087742,0.14434218406677246,0.00011575973921601479,8.645398526963e-06,0.0,0.0,-0.00012619888944975788,-0.0010056833225055573,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,diagnostics_only_residual,159923,69101,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True,true_inner_val_labels_targets,true_train_labels_targets,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,0.0,8.0,0.0,true_heldout_labels_targets,patience_exhausted,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,frozen_ar_only,159923,69101,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True,not_applicable,not_applicable,-1.8854221105575562,0.26855679504491203,0.7475899203341895,0.3268123138033764,0.2694007858546169,0.4153205451792024,0.6347161922979884,0.0740935355424881,0.014682987704873085,0.1211733786971094,0.35387237501669483,0.297225480301254,0.2501556196157572,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24231746792793274,0.1656787469983101,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.11237942427396774,0.3189118796122124,0.27814235234729934,2.7810613065476386,0.16280727088451385,0.0861685499548912,0.35826016544235656,0.6383881538621846,0.3018643121339288,1.8620416311014565,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,real_residual,159923,69101,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,False,true_inner_val_labels_targets,true_train_labels_targets,-1.8850652217864992,0.2687248927736201,0.7475714609333977,0.3266299220418094,0.2692591076545231,0.4150681474003029,0.6345818204023435,0.07524850219488144,0.014491661451756954,0.12038131687166806,0.3210895757577591,0.2651849490552603,0.24910069298840545,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24205243587493896,0.16541371494531631,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.11237942427396774,0.3189118796122124,0.27814235234729934,2.7810613065476386,0.16280393302440643,0.08616521209478378,0.3548697456482442,0.6399913978765197,0.20893837853784444,1.9052085705449917,995.0,11.0,19.0,0.00013431084080364752,true_heldout_labels_targets,patience_exhausted,True,outputs/again_dense_2hz_phase5_redesigned_target_blocked_20260630_010721/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__real_residual__monotonic_do_no_harm_residual__binary__20260626__best.npz,11982c0e720e5bd8d72cbc5a515b0d02,0.002080746693536639,0.0981060117483139,0.00019202269322704524,0.011507156305015087,0.5979880094528198,0.00016809772870807205,-1.845940079181485e-05,0.0,0.0,0.0,-0.0010549266273517655,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_redesigned_target_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,shuffled_pca_residual,159923,69101,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,False,true_inner_val_labels_targets,true_train_labels_targets,-1.8846685171127329,0.2686381164422631,0.7474487534152212,0.3266299220418094,0.2692591076545231,0.4150681474003029,0.6345818204023435,0.0770549401640892,0.01460848469287157,0.12086556454537235,0.2817268890957039,0.22475138347134516,0.2489854036050437,0.4552023121387283,0.03975265017667844,3.9695778610674233,0.24220821261405945,0.1655694916844368,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.18902961909770966,0.112390898168087,0.3190565764722906,0.2782685512367491,2.7823231310968892,0.1628819704055786,0.08624324947595596,0.35443529738937324,0.6390657334899611,0.21958420627858324,1.8875008054968008,995.0,11.0,19.0,5.949625605769504e-05,true_heldout_labels_targets,patience_exhausted,True,outputs/again_dense_2hz_phase5_redesigned_target_blocked_20260630_010721/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__shuffled_pca_residual__monotonic_do_no_harm_residual__binary__20260626__best.npz,5efcb59412ac534d579aa7453c6e9f2f,0.0019717204850167036,0.26966267824172974,1.184081247629365e-05,0.01911451295018196,0.9960972666740417,8.132139735106403e-05,-0.00014116691896826072,0.00012619888944977176,0.0,0.00012619888944975788,-0.0011702160107135151,,,,,,,,,,,,,,,,,,,,,,,,
