ar_accuracy,ar_balanced_accuracy,ar_decision_threshold,ar_event_count,ar_f1,ar_fn,ar_fp,ar_positive_class_rate,ar_pr_auc,ar_precision,ar_predicted_positive_count,ar_predicted_positive_rate,ar_recall,ar_tn,ar_top_10pct_recall,ar_top_1pct_recall,ar_top_5pct_recall,ar_top_event_count_recall,ar_tp,event_count,feature_mode,horizon_seconds,label_variant,n,offset_seconds,random_accuracy,random_balanced_accuracy,random_decision_threshold,random_event_count,random_f1,random_fn,random_fp,random_positive_class_rate,random_pr_auc,random_precision,random_predicted_positive_count,random_predicted_positive_rate,random_recall,random_tn,random_top_10pct_recall,random_top_1pct_recall,random_top_5pct_recall,random_top_event_count_recall,random_tp,real_accuracy,real_balanced_accuracy,real_decision_threshold,real_event_count,real_f1,real_fn,real_fp,real_positive_class_rate,real_pr_auc,real_precision,real_predicted_positive_count,real_predicted_positive_rate,real_recall,real_tn,real_top_10pct_recall,real_top_1pct_recall,real_top_5pct_recall,real_top_event_count_recall,real_tp,real_vs_ar_f1_delta,real_vs_ar_pr_auc_delta,real_vs_random_f1_delta,real_vs_random_pr_auc_delta,real_vs_shuffled_f1_delta,real_vs_shuffled_pr_auc_delta,real_vs_timestamp_pr_auc_delta,real_vs_video_time_pr_auc_delta,shuffled_accuracy,shuffled_balanced_accuracy,shuffled_decision_threshold,shuffled_event_count,shuffled_f1,shuffled_fn,shuffled_fp,shuffled_positive_class_rate,shuffled_pr_auc,shuffled_precision,shuffled_predicted_positive_count,shuffled_predicted_positive_rate,shuffled_recall,shuffled_tn,shuffled_top_10pct_recall,shuffled_top_1pct_recall,shuffled_top_5pct_recall,shuffled_top_event_count_recall,shuffled_tp,split,success_all_controls,target,threshold,timestamp_accuracy,timestamp_balanced_accuracy,timestamp_decision_threshold,timestamp_event_count,timestamp_f1,timestamp_fn,timestamp_fp,timestamp_positive_class_rate,timestamp_pr_auc,timestamp_precision,timestamp_predicted_positive_count,timestamp_predicted_positive_rate,timestamp_recall,timestamp_tn,timestamp_top_10pct_recall,timestamp_top_1pct_recall,timestamp_top_5pct_recall,timestamp_top_event_count_recall,timestamp_tp,video_time_accuracy,video_time_balanced_accuracy,video_time_decision_threshold,video_time_event_count,video_time_f1,video_time_fn,video_time_fp,video_time_positive_class_rate,video_time_pr_auc,video_time_precision,video_time_predicted_positive_count,video_time_predicted_positive_rate,video_time_recall,video_time_tn,video_time_top_10pct_recall,video_time_top_1pct_recall,video_time_top_5pct_recall,video_time_top_event_count_recall,video_time_tp
0.13870094722598106,0.5002686331943074,0.19100423814519887,392.0,0.2340553549939832,3.0,2543.0,0.13261163734776726,0.19692347474408667,0.13267394270122784,2932.0,0.9918809201623816,0.9923469387755102,21.0,0.16071428571428573,0.03571428571428571,0.11479591836734694,0.18877551020408162,389.0,392,cortical_pca_64,,current,2956,0,0.15358592692828146,0.5034464643891878,0.21454703338609846,392.0,0.23486238532110087,8.0,2494.0,0.13261163734776726,0.19144878547602084,0.13342599027102153,2878.0,0.9736129905277402,0.9795918367346939,70.0,0.15306122448979592,0.03571428571428571,0.10459183673469388,0.17857142857142858,384.0,0.2428958051420839,0.5452040020376325,0.23239252669533234,392.0,0.25100401606425704,17.0,2221.0,0.13261163734776726,0.24550366205249566,0.14445300462249616,2596.0,0.878213802435724,0.9566326530612245,343.0,0.21683673469387754,0.04336734693877551,0.14795918367346939,0.25255102040816324,375.0,0.016948661070273846,0.04858018730840899,0.016141630743156166,0.054054876576474814,0.014590138262599056,0.044966542098027557,0.11738818189312347,0.10276038535245863,0.15866035182679297,0.5074520837976376,0.2166781530968952,392.0,0.23641387780165798,7.0,2480.0,0.13261163734776726,0.2005371199544681,0.1343804537521815,2865.0,0.9692151556156969,0.9821428571428571,84.0,0.1683673469387755,0.04081632653061224,0.1096938775510204,0.20153061224489796,385.0,blocked,True,arousal__future_spike_1_3s,0.05,0.8017591339648173,0.5053885828902545,0.1779151943863055,392.0,0.12012012012012012,352.0,234.0,0.13261163734776726,0.12811548015937219,0.145985401459854,274.0,0.09269282814614344,0.10204081632653061,2330.0,0.1096938775510204,0.002551020408163265,0.04336734693877551,0.14285714285714285,40.0,0.6525710419485792,0.5371649049635455,0.25135544917862906,392.0,0.22490566037735846,243.0,784.0,0.13261163734776726,0.14274327670003703,0.15969989281886388,933.0,0.31562922868741544,0.38010204081632654,1780.0,0.07908163265306123,0.0,0.04336734693877551,0.10204081632653061,149.0
0.08085250338294993,0.49799673303493336,0.1386223696085902,228.0,0.1426317450299779,2.0,2715.0,0.07713125845737483,0.11514677325127667,0.0768446106766406,2941.0,0.9949255751014885,0.9912280701754386,13.0,0.13596491228070176,0.039473684210526314,0.08771929824561403,0.11403508771929824,226.0,228,cortical_pca_64,,current,2956,0,0.10791610284167795,0.5066303956371868,0.17592729880317606,228.0,0.14466428803113848,5.0,2632.0,0.07713125845737483,0.11711802197297189,0.07810858143607706,2855.0,0.9658322056833559,0.9780701754385965,96.0,0.13157894736842105,0.03508771929824561,0.10087719298245613,0.11842105263157894,223.0,0.2510148849797023,0.5479851571744611,0.23944583590168605,228.0,0.15625000000000003,23.0,2191.0,0.07713125845737483,0.15752967860337994,0.08555926544240401,2396.0,0.8105548037889039,0.8991228070175439,537.0,0.2149122807017544,0.05701754385964912,0.13157894736842105,0.17543859649122806,205.0,0.013618254970022114,0.04238290535210326,0.011585711968861545,0.04041165663040805,0.013166745805634705,0.04150454903183193,0.08407151066717466,0.05480113327284812,0.08423545331529093,0.4998295776097134,0.1496046991650767,228.0,0.14308325419436532,2.0,2705.0,0.07713125845737483,0.11602512957154801,0.07710678949164108,2931.0,0.9915426251691475,0.9912280701754386,23.0,0.14035087719298245,0.039473684210526314,0.09649122807017543,0.11403508771929824,226.0,blocked,True,arousal__future_spike_1_3s,0.075,0.8893775372124493,0.49190332870298914,0.1145239259058014,228.0,0.02967359050445104,223.0,104.0,0.07713125845737483,0.07345816793620527,0.045871559633027525,109.0,0.03687415426251692,0.021929824561403508,2624.0,0.12719298245614036,0.0,0.043859649122807015,0.08771929824561403,5.0,0.7144790257104194,0.5840471780624582,0.175946024782087,228.0,0.18846153846153846,130.0,714.0,0.07713125845737483,0.10272854533053181,0.1206896551724138,812.0,0.2746955345060893,0.4298245614035088,2014.0,0.14035087719298245,0.021929824561403508,0.07894736842105263,0.10526315789473684,98.0
0.7596011816838996,0.5253096747681109,0.24293227028555497,668.0,0.11428571428571428,626.0,25.0,0.2466765140324963,0.3375655719523798,0.6268656716417911,67.0,0.024741506646971934,0.06287425149700598,2015.0,0.17365269461077845,0.02694610778443114,0.10329341317365269,0.31736526946107785,42.0,668,cortical_pca_64,3,current,2708,0,0.7596011816838996,0.5278266995420923,0.25858081092718893,668.0,0.12617449664429528,621.0,30.0,0.2466765140324963,0.33494057687595646,0.6103896103896104,77.0,0.02843426883308715,0.07035928143712575,2010.0,0.1631736526946108,0.02844311377245509,0.10029940119760479,0.3188622754491018,47.0,0.7573855243722304,0.5444786896794646,0.2633961838689926,668.0,0.20170109356014582,585.0,72.0,0.2466765140324963,0.38581406501614784,0.535483870967742,155.0,0.05723781388478582,0.12425149700598802,1968.0,0.18263473053892215,0.03143712574850299,0.1122754491017964,0.38323353293413176,83.0,0.08741537927443153,0.04824849306376805,0.07552659691585054,0.05087348814019138,0.10019217723641467,0.053656294792758075,0.11175760708315935,0.04527989970236562,0.7581240768094535,0.5218122578372667,0.22885196782833525,668.0,0.10150891632373114,631.0,24.0,0.2466765140324963,0.33215777022338977,0.6065573770491803,61.0,0.022525849335302807,0.05538922155688623,2016.0,0.1721556886227545,0.02844311377245509,0.10179640718562874,0.3023952095808383,37.0,blocked,True,arousal__future_change_p3s_movement,0.05,0.24741506646971936,0.4989799812140425,0.21794876539552183,668.0,0.3948931116389549,3.0,2035.0,0.2466765140324963,0.2740564579329885,0.2462962962962963,2700.0,0.9970457902511078,0.9955089820359282,5.0,0.1317365269461078,0.01347305389221557,0.06736526946107785,0.2634730538922156,665.0,0.46454948301329396,0.5816822237877186,0.26197777541834466,668.0,0.42823343848580436,125.0,1325.0,0.2466765140324963,0.3405341653137822,0.2906852248394004,1868.0,0.689807976366322,0.812874251497006,715.0,0.1601796407185629,0.017964071856287425,0.08832335329341318,0.33682634730538924,543.0
0.4911373707533235,0.5979136196232533,0.16910912965865874,363.0,0.28154327424400416,93.0,1285.0,0.13404726735598227,0.27288642023704773,0.17363344051446947,1555.0,0.5742245199409158,0.743801652892562,1060.0,0.26721763085399447,0.046831955922865015,0.15426997245179064,0.2975206611570248,270.0,363,cortical_pca_64,3,current,2708,0,0.6562038404726735,0.6105652375665944,0.1953663859365933,363.0,0.29947328818660646,164.0,767.0,0.13404726735598227,0.2710822287720038,0.20600414078674947,966.0,0.3567208271787297,0.5482093663911846,1578.0,0.25895316804407714,0.046831955922865015,0.1763085399449036,0.31129476584022037,199.0,0.6488183161004432,0.612121799503075,0.1860216878797707,363.0,0.30022075055187636,159.0,792.0,0.13404726735598227,0.2852639343855053,0.20481927710843373,996.0,0.36779911373707536,0.5619834710743802,1553.0,0.256198347107438,0.05234159779614325,0.17079889807162535,0.3002754820936639,204.0,0.0186774763078722,0.012377514148457558,0.000747462365269902,0.014181705613501516,0.003191047581579287,0.01605695126494716,0.11553655449102562,0.05966102138275359,0.5805022156573116,0.6145870411813423,0.19409471838868622,363.0,0.29702970297029707,123.0,1013.0,0.13404726735598227,0.26920698312055813,0.19154030327214686,1253.0,0.46270310192023634,0.6611570247933884,1332.0,0.2644628099173554,0.0440771349862259,0.15702479338842976,0.2892561983471074,240.0,blocked,True,arousal__future_change_p3s_movement,0.075,0.5406203840472673,0.5135585355395396,0.1416798783796075,363.0,0.2176100628930818,190.0,1054.0,0.13404726735598227,0.16972737989447967,0.14099429502852487,1227.0,0.4531019202363368,0.4765840220385675,1291.0,0.1349862258953168,0.03305785123966942,0.0881542699724518,0.1652892561983471,173.0,0.6432791728212703,0.5914606424782816,0.25744130812307675,363.0,0.28125000000000006,174.0,792.0,0.13404726735598227,0.2256029130027517,0.1926605504587156,981.0,0.36225997045790254,0.5206611570247934,1553.0,0.21212121212121213,0.030303030303030304,0.12947658402203857,0.2727272727272727,189.0
0.13870094722598106,0.5002686331943074,0.19100423814519887,392.0,0.2340553549939832,3.0,2543.0,0.13261163734776726,0.19692347474408667,0.13267394270122784,2932.0,0.9918809201623816,0.9923469387755102,21.0,0.16071428571428573,0.03571428571428571,0.11479591836734694,0.18877551020408162,389.0,392,cortical_pca_64,,causal_roll1,2956,0,0.15223274695534506,0.5059079403992486,0.2074622048870814,392.0,0.23597560975609752,5.0,2501.0,0.13261163734776726,0.19158286068850633,0.1340027700831025,2888.0,0.9769959404600812,0.9872448979591837,63.0,0.15051020408163265,0.030612244897959183,0.1096938775510204,0.17857142857142858,387.0,0.2428958051420839,0.5452040020376325,0.23239252669533234,392.0,0.25100401606425704,17.0,2221.0,0.13261163734776726,0.24550366205249566,0.14445300462249616,2596.0,0.878213802435724,0.9566326530612245,343.0,0.21683673469387754,0.04336734693877551,0.14795918367346939,0.25255102040816324,375.0,0.016948661070273846,0.04858018730840899,0.01502840630815952,0.05392080136398933,0.013852313277879363,0.04866113445635642,0.11738818189312347,0.10276038535245863,0.16644113667117727,0.5097762583972747,0.20625093222929586,392.0,0.23715170278637768,9.0,2455.0,0.13261163734776726,0.19684252759613924,0.13495419309372797,2838.0,0.9600811907983762,0.9770408163265306,109.0,0.16071428571428573,0.03316326530612245,0.11224489795918367,0.20408163265306123,383.0,blocked,True,arousal__future_spike_1_3s,0.05,0.8017591339648173,0.5053885828902545,0.1779151943863055,392.0,0.12012012012012012,352.0,234.0,0.13261163734776726,0.12811548015937219,0.145985401459854,274.0,0.09269282814614344,0.10204081632653061,2330.0,0.1096938775510204,0.002551020408163265,0.04336734693877551,0.14285714285714285,40.0,0.6525710419485792,0.5371649049635455,0.25135544917862906,392.0,0.22490566037735846,243.0,784.0,0.13261163734776726,0.14274327670003703,0.15969989281886388,933.0,0.31562922868741544,0.38010204081632654,1780.0,0.07908163265306123,0.0,0.04336734693877551,0.10204081632653061,149.0
0.08085250338294993,0.49799673303493336,0.1386223696085902,228.0,0.1426317450299779,2.0,2715.0,0.07713125845737483,0.11514677325127667,0.0768446106766406,2941.0,0.9949255751014885,0.9912280701754386,13.0,0.13596491228070176,0.039473684210526314,0.08771929824561403,0.11403508771929824,226.0,228,cortical_pca_64,,causal_roll1,2956,0,0.10250338294993235,0.5057075423162011,0.16278616156460804,228.0,0.14446952595936796,4.0,2649.0,0.07713125845737483,0.11416290859682245,0.07796728158719109,2873.0,0.9719215155615697,0.9824561403508771,79.0,0.13157894736842105,0.03070175438596491,0.09649122807017543,0.11842105263157894,224.0,0.2510148849797023,0.5479851571744611,0.23944583590168605,228.0,0.15625000000000003,23.0,2191.0,0.07713125845737483,0.15752967860337994,0.08555926544240401,2396.0,0.8105548037889039,0.8991228070175439,537.0,0.2149122807017544,0.05701754385964912,0.13157894736842105,0.17543859649122806,205.0,0.013618254970022114,0.04238290535210326,0.011780474040632066,0.04336677000655749,0.012518127618433822,0.042561577419915134,0.08407151066717466,0.05480113327284812,0.10115020297699594,0.5029647064876267,0.16877665534153893,228.0,0.1437318723815662,5.0,2652.0,0.07713125845737483,0.1149681011834648,0.07756521739130434,2875.0,0.9725981055480379,0.9780701754385965,76.0,0.14035087719298245,0.03508771929824561,0.08771929824561403,0.12280701754385964,223.0,blocked,True,arousal__future_spike_1_3s,0.075,0.8893775372124493,0.49190332870298914,0.1145239259058014,228.0,0.02967359050445104,223.0,104.0,0.07713125845737483,0.07345816793620527,0.045871559633027525,109.0,0.03687415426251692,0.021929824561403508,2624.0,0.12719298245614036,0.0,0.043859649122807015,0.08771929824561403,5.0,0.7144790257104194,0.5840471780624582,0.175946024782087,228.0,0.18846153846153846,130.0,714.0,0.07713125845737483,0.10272854533053181,0.1206896551724138,812.0,0.2746955345060893,0.4298245614035088,2014.0,0.14035087719298245,0.021929824561403508,0.07894736842105263,0.10526315789473684,98.0
0.7596011816838996,0.5253096747681109,0.24293227028555497,668.0,0.11428571428571428,626.0,25.0,0.2466765140324963,0.3375655719523798,0.6268656716417911,67.0,0.024741506646971934,0.06287425149700598,2015.0,0.17365269461077845,0.02694610778443114,0.10329341317365269,0.31736526946107785,42.0,668,cortical_pca_64,3,causal_roll1,2708,0,0.758493353028065,0.5275948103792415,0.23642901580265338,668.0,0.128,620.0,34.0,0.2466765140324963,0.33353246172391404,0.5853658536585366,82.0,0.030280649926144758,0.0718562874251497,2006.0,0.1631736526946108,0.02844311377245509,0.10179640718562874,0.30988023952095806,48.0,0.7573855243722304,0.5444786896794646,0.2633961838689926,668.0,0.20170109356014582,585.0,72.0,0.2466765140324963,0.38581406501614784,0.535483870967742,155.0,0.05723781388478582,0.12425149700598802,1968.0,0.18263473053892215,0.03143712574850299,0.1122754491017964,0.38323353293413176,83.0,0.08741537927443153,0.04824849306376805,0.07370109356014581,0.0522816032922338,0.1101615651274135,0.05137161039683735,0.11175760708315935,0.04527989970236562,0.7581240768094535,0.5197986380180815,0.2577135664620056,668.0,0.09153952843273232,635.0,20.0,0.2466765140324963,0.3344424546193105,0.6226415094339622,53.0,0.019571639586410634,0.04940119760479042,2020.0,0.1751497005988024,0.02694610778443114,0.10479041916167664,0.3158682634730539,33.0,blocked,True,arousal__future_change_p3s_movement,0.05,0.24741506646971936,0.4989799812140425,0.21794876539552183,668.0,0.3948931116389549,3.0,2035.0,0.2466765140324963,0.2740564579329885,0.2462962962962963,2700.0,0.9970457902511078,0.9955089820359282,5.0,0.1317365269461078,0.01347305389221557,0.06736526946107785,0.2634730538922156,665.0,0.46454948301329396,0.5816822237877186,0.26197777541834466,668.0,0.42823343848580436,125.0,1325.0,0.2466765140324963,0.3405341653137822,0.2906852248394004,1868.0,0.689807976366322,0.812874251497006,715.0,0.1601796407185629,0.017964071856287425,0.08832335329341318,0.33682634730538924,543.0
0.4911373707533235,0.5979136196232533,0.16910912965865874,363.0,0.28154327424400416,93.0,1285.0,0.13404726735598227,0.27288642023704773,0.17363344051446947,1555.0,0.5742245199409158,0.743801652892562,1060.0,0.26721763085399447,0.046831955922865015,0.15426997245179064,0.2975206611570248,270.0,363,cortical_pca_64,3,causal_roll1,2708,0,0.5982274741506647,0.6073587199774446,0.17541231800058732,363.0,0.29258777633289984,138.0,950.0,0.13404726735598227,0.27022868728328203,0.19148936170212766,1175.0,0.43389955686853765,0.6198347107438017,1395.0,0.2699724517906336,0.0440771349862259,0.15702479338842976,0.3085399449035813,225.0,0.6488183161004432,0.612121799503075,0.1860216878797707,363.0,0.30022075055187636,159.0,792.0,0.13404726735598227,0.2852639343855053,0.20481927710843373,996.0,0.36779911373707536,0.5619834710743802,1553.0,0.256198347107438,0.05234159779614325,0.17079889807162535,0.3002754820936639,204.0,0.0186774763078722,0.012377514148457558,0.007632974218976518,0.01503524710222326,0.0037605735607258994,0.017722057114937073,0.11553655449102562,0.05966102138275359,0.6477104874446086,0.6079895680981162,0.20023581361759116,363.0,0.29646017699115046,162.0,792.0,0.13404726735598227,0.2675418772705682,0.20241691842900303,993.0,0.36669128508124077,0.5537190082644629,1553.0,0.25068870523415976,0.046831955922865015,0.1487603305785124,0.2975206611570248,201.0,blocked,True,arousal__future_change_p3s_movement,0.075,0.5406203840472673,0.5135585355395396,0.1416798783796075,363.0,0.2176100628930818,190.0,1054.0,0.13404726735598227,0.16972737989447967,0.14099429502852487,1227.0,0.4531019202363368,0.4765840220385675,1291.0,0.1349862258953168,0.03305785123966942,0.0881542699724518,0.1652892561983471,173.0,0.6432791728212703,0.5914606424782816,0.25744130812307675,363.0,0.28125000000000006,174.0,792.0,0.13404726735598227,0.2256029130027517,0.1926605504587156,981.0,0.36225997045790254,0.5206611570247934,1553.0,0.21212121212121213,0.030303030303030304,0.12947658402203857,0.2727272727272727,189.0
0.19451962110960758,0.5369860760881483,0.2612569951575618,350.0,0.22468251383914034,5.0,2376.0,0.11840324763193505,0.3369202951186926,0.12679162072767364,2721.0,0.9205006765899865,0.9857142857142858,230.0,0.2885714285714286,0.07142857142857142,0.2257142857142857,0.32285714285714284,345.0,350,cortical_pca_64,,causal_roll3,2956,0,0.2121109607577808,0.5457263457954171,0.2651570574780196,350.0,0.22804110043089165,6.0,2323.0,0.11840324763193505,0.33879775794747174,0.1289838770153731,2667.0,0.902232746955345,0.9828571428571429,283.0,0.2885714285714286,0.07142857142857142,0.22,0.32,344.0,0.2797699594046008,0.5816259182107225,0.2946022930671557,350.0,0.24315677212939918,8.0,2121.0,0.11840324763193505,0.38524067150976915,0.13885505481120586,2463.0,0.8332205683355887,0.9771428571428571,485.0,0.34285714285714286,0.07428571428571429,0.24285714285714285,0.3742857142857143,342.0,0.018474258290258838,0.04832037639107656,0.015115671698507527,0.046442913562297405,0.0064417962839885545,0.04146328099662122,0.26100023878526757,0.2596319192373759,0.2516914749661705,0.5669378357636224,0.274397888279002,350.0,0.23671497584541062,7.0,2205.0,0.11840324763193505,0.34377739051314793,0.1346153846153846,2548.0,0.8619756427604871,0.98,401.0,0.3028571428571429,0.07142857142857142,0.23142857142857143,0.3314285714285714,343.0,blocked,True,arousal__future_spike_1_3s,0.05,0.8430311231393776,0.5090450608485911,0.1676110570225846,350.0,0.09727626459143968,325.0,139.0,0.11840324763193505,0.12424043272450161,0.1524390243902439,164.0,0.05548037889039242,0.07142857142857142,2467.0,0.11428571428571428,0.011428571428571429,0.06,0.13142857142857142,25.0,0.6129905277401895,0.5257449841026203,0.20805099581814235,350.0,0.20111731843575417,206.0,938.0,0.11840324763193505,0.12560875227239326,0.133086876155268,1082.0,0.36603518267929636,0.4114285714285714,1668.0,0.10571428571428572,0.0,0.04285714285714286,0.11428571428571428,144.0
0.38836265223274696,0.6316275811139619,0.2914567915055271,191.0,0.1614100185528757,17.0,1791.0,0.06461434370771313,0.37380584188876576,0.08854961832061069,1965.0,0.6647496617050067,0.9109947643979057,974.0,0.4293193717277487,0.14136125654450263,0.35602094240837695,0.38219895287958117,174.0,191,cortical_pca_64,,causal_roll3,2956,0,0.40967523680649526,0.6405830169565341,0.29162876526897064,191.0,0.16547106647537063,18.0,1727.0,0.06461434370771313,0.37654100396910806,0.09105263157894737,1900.0,0.6427604871447903,0.9057591623036649,1038.0,0.42408376963350786,0.14136125654450263,0.35602094240837695,0.36649214659685864,173.0,0.4786874154262517,0.6604139249973964,0.30468222440981235,191.0,0.17725573945541911,25.0,1516.0,0.06461434370771313,0.4281629289193718,0.09869203329369798,1682.0,0.5690121786197564,0.8691099476439791,1249.0,0.47643979057591623,0.14136125654450263,0.3717277486910995,0.4083769633507853,166.0,0.01584572090254341,0.054357087030606044,0.011784672980048483,0.05162192495026374,0.015144523621300365,0.05905629046977473,0.36230563919943565,0.3467310854687611,0.39851150202977,0.6321785974645674,0.2982161564756154,191.0,0.16211121583411875,19.0,1759.0,0.06461434370771313,0.36910663844959707,0.08907301916105645,1931.0,0.6532476319350473,0.900523560209424,1006.0,0.418848167539267,0.14136125654450263,0.34554973821989526,0.36649214659685864,172.0,blocked,True,arousal__future_spike_1_3s,0.075,0.878213802435724,0.5157418365318159,0.09437066608125702,191.0,0.09547738693467335,172.0,188.0,0.06461434370771313,0.06585728971993615,0.09178743961352658,207.0,0.07002706359945873,0.09947643979057591,2577.0,0.1256544502617801,0.005235602094240838,0.05235602094240838,0.09947643979057591,19.0,0.6938430311231394,0.5731545212690418,0.1745297978952275,191.0,0.1549953314659197,108.0,797.0,0.06461434370771313,0.08143184345061072,0.09431818181818181,880.0,0.2976995940460081,0.43455497382198954,1968.0,0.14136125654450263,0.0,0.06282722513089005,0.06282722513089005,83.0
