accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,feature_mode,mask,model,n_neg_mean,n_pos,negative_ratio,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,seed_count,split,target,task_type,threshold
0.5068901303538176,0.0038939522656101485,0.5068901303538176,0.003893952265610145,0.6107657252990724,0.001876076660247733,cortical_fast_default,balanced_event_vs_stable,ar,1074.0,1074.0,1:1,0.6036883847279249,0.004426691680427055,0.5045054662709911,0.0025590989393588738,0.7737430167597766,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.5432029795158286,0.003998307365658077,0.5432029795158286,0.00399830736565808,0.6010158007428628,0.002102548102494168,cortical_fast_default,balanced_event_vs_stable,real,1074.0,1074.0,1:1,0.6061733970090594,0.005200202056426335,0.5335175397147083,0.0033181312486853178,0.6880819366852885,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.5007448789571696,0.0037718117505640826,0.5007448789571696,0.0037718117505640826,0.6162376571095127,0.0017908415383131062,cortical_fast_default,balanced_event_vs_stable,shuffled,1074.0,1074.0,1:1,0.6017276181913773,0.004472953293669242,0.5004761495775695,0.0023658915127068854,0.8016759776536311,2.220446049250313e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.5145018621973929,0.0029746927618528444,0.5145018621973929,0.0029746927618528444,0.5731050093664017,0.0014980797265296607,cortical_fast_default,balanced_event_vs_stable,random,1074.0,1074.0,1:1,0.6010353777998212,0.004464773297786595,0.5113892942219143,0.002384437367827138,0.6517690875232774,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.5,0.0,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,1074.0,1074.0,1:1,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.45204460966542764,1.1102230246251565e-16,0.505992795508601,1.1102230246251565e-16,0.5299744897959184,0.0,cortical_fast_default,balanced_event_vs_stable,ar,1616.0,1074.0,1:2,0.5077971540498726,2.5102829935989993e-05,0.4030067895247333,0.0,0.7737430167597766,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.5144981412639406,0.0,0.5436078000258127,0.0,0.5308908045977013,1.1102230246251565e-16,cortical_fast_default,balanced_event_vs_stable,real,1616.0,1074.0,1:2,0.5095920554158159,1.6766298933537495e-05,0.4321637426900585,5.551115123125783e-17,0.6880819366852885,1.1102230246251565e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.43977695167286246,0.0,0.5004667016981029,1.1102230246251565e-16,0.5332920408795292,1.1102230246251565e-16,cortical_fast_default,balanced_event_vs_stable,shuffled,1616.0,1074.0,1:2,0.5058274751884114,1.8028932347300927e-05,0.3995359628770301,5.551115123125783e-17,0.8016759776536311,2.220446049250313e-16,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.4855018587360595,0.0,0.5133845437616387,0.0,0.5028735632183906,1.1102230246251565e-16,cortical_fast_default,balanced_event_vs_stable,random,1616.0,1074.0,1:2,0.5049404348679247,2.2642676220781564e-05,0.4093567251461988,0.0,0.6517690875232774,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.03
0.6007434944237919,1.1102230246251565e-16,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,1616.0,1074.0,1:2,,,,,0.0,0.0,20,blocked,arousal__future_spike_1_3s,classification,0.03
