best_lag_seconds,event_count,feature_mode,max_correlation,reliable,target,threshold,video_id
-10,12,cortical_pca_64,0.6792676183438615,True,arousal__future_spike_1_3s,0.05,73
-9,3,cortical_pca_64,-0.5151848916165481,True,arousal__future_spike_1_3s,0.05,74
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,75
8,5,cortical_pca_64,-0.7804198085737798,True,arousal__future_spike_1_3s,0.05,76
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,77
10,4,cortical_pca_64,-0.838474035189346,True,arousal__future_spike_1_3s,0.05,78
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,79
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,80
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,82
-10,5,cortical_pca_64,-0.43706398268825125,True,arousal__future_spike_1_3s,0.05,83
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,84
7,11,cortical_pca_64,-0.5520277046405346,True,arousal__future_spike_1_3s,0.05,85
1,3,cortical_pca_64,0.6918669533054286,True,arousal__future_spike_1_3s,0.05,86
0,3,cortical_pca_64,-0.47060182426663044,True,arousal__future_spike_1_3s,0.05,87
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,88
9,13,cortical_pca_64,0.8062103478394651,True,arousal__future_spike_1_3s,0.05,89
5,6,cortical_pca_64,-0.4967970462695659,True,arousal__future_spike_1_3s,0.05,90
9,9,cortical_pca_64,-0.5103814682434307,True,arousal__future_spike_1_3s,0.05,91
5,5,cortical_pca_64,0.9022714270370922,True,arousal__future_spike_1_3s,0.05,92
7,8,cortical_pca_64,-0.6281243347633433,True,arousal__future_spike_1_3s,0.05,93
-9,6,cortical_pca_64,-0.7618789728829244,True,arousal__future_spike_1_3s,0.05,94
3,3,cortical_pca_64,0.9039570100471476,False,arousal__future_spike_1_3s,0.05,95
-10,5,cortical_pca_64,-0.7643439456685037,True,arousal__future_spike_1_3s,0.05,96
-9,6,cortical_pca_64,-0.6498759311460801,True,arousal__future_spike_1_3s,0.05,97
-4,1,cortical_pca_64,-0.27777704341506854,False,arousal__future_spike_1_3s,0.05,98
-9,4,cortical_pca_64,-0.2926124289134998,True,arousal__future_spike_1_3s,0.05,99
-4,9,cortical_pca_64,-0.9188942479154859,True,arousal__future_spike_1_3s,0.05,100
-9,3,cortical_pca_64,-0.8795776689921163,True,arousal__future_spike_1_3s,0.05,101
10,5,cortical_pca_64,-0.4378277264417716,True,arousal__future_spike_1_3s,0.05,102
-10,5,cortical_pca_64,-0.6614186010710826,True,arousal__future_spike_1_3s,0.05,103
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,104
10,1,cortical_pca_64,-0.43797229038696966,False,arousal__future_spike_1_3s,0.05,105
-7,7,cortical_pca_64,-0.7925954620682119,True,arousal__future_spike_1_3s,0.05,106
-5,4,cortical_pca_64,-0.7052657140042662,True,arousal__future_spike_1_3s,0.05,107
5,1,cortical_pca_64,-0.3505094014173924,False,arousal__future_spike_1_3s,0.05,108
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,109
-5,9,cortical_pca_64,0.6115272332524824,True,arousal__future_spike_1_3s,0.05,110
2,16,cortical_pca_64,0.8915219410354652,True,arousal__future_spike_1_3s,0.05,111
3,9,cortical_pca_64,0.527736359246023,True,arousal__future_spike_1_3s,0.05,112
3,7,cortical_pca_64,0.7614269505707874,True,arousal__future_spike_1_3s,0.05,113
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,114
-10,5,cortical_pca_64,-0.6243247299532871,True,arousal__future_spike_1_3s,0.05,115
2,9,cortical_pca_64,0.835057882247843,True,arousal__future_spike_1_3s,0.05,116
3,8,cortical_pca_64,0.5966506220249232,True,arousal__future_spike_1_3s,0.05,117
3,10,cortical_pca_64,0.5394149960190897,True,arousal__future_spike_1_3s,0.05,118
10,5,cortical_pca_64,0.404437904697226,True,arousal__future_spike_1_3s,0.05,119
-4,7,cortical_pca_64,-0.40482419441018935,True,arousal__future_spike_1_3s,0.05,120
,0,cortical_pca_64,,False,arousal__future_spike_1_3s,0.05,121
3,3,cortical_pca_64,0.9049546207114578,True,arousal__future_spike_1_3s,0.05,122
-10,4,cortical_pca_64,0.9972286696124719,True,arousal__future_spike_1_3s,0.05,123
10,1,cortical_pca64_delta,-0.4210767432144081,False,arousal__future_spike_1_3s,0.05,0
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,1
-10,3,cortical_pca64_delta,0.900425742024957,True,arousal__future_spike_1_3s,0.05,2
-8,5,cortical_pca64_delta,0.4999685783645113,True,arousal__future_spike_1_3s,0.05,3
4,3,cortical_pca64_delta,0.8807902952521005,True,arousal__future_spike_1_3s,0.05,4
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,5
-3,5,cortical_pca64_delta,-0.9856767644272736,False,arousal__future_spike_1_3s,0.05,6
-8,5,cortical_pca64_delta,-0.8845413670227398,True,arousal__future_spike_1_3s,0.05,7
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,8
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,9
-5,4,cortical_pca64_delta,0.7343743637396098,True,arousal__future_spike_1_3s,0.05,10
-7,9,cortical_pca64_delta,0.563451366272473,True,arousal__future_spike_1_3s,0.05,11
-9,5,cortical_pca64_delta,-0.5542945081336577,True,arousal__future_spike_1_3s,0.05,13
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,14
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,15
5,1,cortical_pca64_delta,-0.4740589661097884,False,arousal__future_spike_1_3s,0.05,16
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,17
9,6,cortical_pca64_delta,-0.8556925937738951,True,arousal__future_spike_1_3s,0.05,18
,0,cortical_pca64_delta,,False,arousal__future_spike_1_3s,0.05,21
