lane,seed,epoch,inner_val_top_5pct_continuous_lift,inner_val_continuous_spearman,inner_val_top_10pct_continuous_lift,target_name,target_type,architecture,control_type,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,label_policy
frozen_ar_only,20260684,1,0.051575259771198034,0.1899470356501287,0.04486556863412261,,,,,,,,,,,,
frozen_ar_only,20260684,2,0.04453017329797149,0.047450182294779084,0.0374987400136888,,,,,,,,,,,,
frozen_ar_only,20260684,3,0.06612074887380004,0.1316627852873433,0.04982065549120307,,,,,,,,,,,,
frozen_ar_only,20260684,4,0.06098083173856139,0.08958662751226852,0.048544713761657476,,,,,,,,,,,,
frozen_ar_only,20260684,5,0.06640060758218169,0.10511390013590645,0.04893603315576911,,,,,,,,,,,,
frozen_ar_only,20260684,6,0.06075352942571044,0.08847259750849873,0.04718044539913535,,,,,,,,,,,,
frozen_ar_only,20260684,7,0.0596542633138597,0.106781157864948,0.04854206880554557,,,,,,,,,,,,
frozen_ar_only,20260684,8,0.06077296053990722,0.10671081157210714,0.0493480465374887,,,,,,,,,,,,
frozen_ar_only,20260684,9,0.058609781321138144,0.09459153259178281,0.046683480497449636,,,,,,,,,,,,
frozen_ar_only,20260684,10,0.06561714923009276,0.08797264035938183,0.050142431166023016,,,,,,,,,,,,
frozen_ar_only,20260684,11,0.06720371311530471,0.1100540844092945,0.05039028963074088,,,,,,,,,,,,
frozen_ar_only,20260684,12,0.06754576927050948,0.10477340525895439,0.049682730343192816,,,,,,,,,,,,
frozen_ar_only,20260684,13,0.06416206574067473,0.104956709338757,0.05036810925230384,,,,,,,,,,,,
frozen_ar_only,20260684,14,0.06319510703906417,0.09142429487627285,0.04947272455319762,,,,,,,,,,,,
frozen_ar_only,20260684,15,0.0588368228636682,0.09247647092382119,0.047800333704799414,,,,,,,,,,,,
frozen_ar_only,20260684,16,0.06576933478936553,0.10770865971672115,0.05016027158126235,,,,,,,,,,,,
frozen_ar_only,20260684,17,0.06072565680369735,0.10167331761428845,0.04870586236938834,,,,,,,,,,,,
frozen_ar_only,20260684,18,0.06530347978696227,0.11460666705533887,0.04876243835315108,,,,,,,,,,,,
frozen_ar_only,20260684,19,0.0629889047704637,0.10305256041479618,0.04992251982912421,,,,,,,,,,,,
frozen_ar_only,20260684,20,0.06901726638898253,0.11637367151047383,0.05130477761849761,,,,,,,,,,,,
frozen_ar_only,20260684,21,0.06311046844348311,0.09884384086073542,0.0487025729380548,,,,,,,,,,,,
frozen_ar_only,20260684,22,0.06378500675782561,0.10380652160244047,0.050291971769183874,,,,,,,,,,,,
frozen_ar_only,20260684,23,0.06409542774781585,0.10407432135122069,0.050645781215280294,,,,,,,,,,,,
frozen_ar_only,20260684,24,0.06284260516986251,0.09765987108044316,0.050233674701303244,,,,,,,,,,,,
frozen_ar_only,20260684,25,0.061880608554929495,0.10146381357474756,0.050334358122199774,,,,,,,,,,,,
frozen_ar_only,20260684,26,0.06738032912835479,0.1050719284577635,0.05195905780419707,,,,,,,,,,,,
frozen_ar_only,20260684,27,0.06511486088857055,0.09986748339359293,0.050899290945380926,,,,,,,,,,,,
