schema_version,target_name,validation_protocol,protocol,fold,feature_family,pca_width,train_rows,test_rows,train_idx_digest,test_idx_digest,transform_idx_digest,score_path,row_index_path,pca_manifest_path,leakage_audit_path,component_path,component_checksum,score_checksum_first_64mb,explained_variance_ratio_sum,leakage_audit_pass,no_test_fit,no_global_pca,original_pca_artifact_reused,target_window_overlap,future_leakage_suspected,cortical_memmap_source
again_dense_2hz_phase5_temporal_residual_grouped_compat_v1,future_arousal_max_delta_rows_4_10_train_q90,grouped_video,grouped_video,1,temporal_mean_2s,256,183216,45808,9fde37f0da57d7e17bf5e2923a753a72,05a4561f5022b7ef5ba32f49e45c9159,8cbb39b217de5460777a3562444b042b,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__temporal_mean_2s__scores_w256.npy,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__temporal_mean_2s__row_index.csv,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__temporal_mean_2s__pca_manifest.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__temporal_mean_2s__leakage_audit.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/pca_components/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold1__temporal_mean_2s__components_w256.npz,b1ca6bebc072a577ed7e365b1464bcf4,26ffa388ec4908c975d0a69d962f4322,0.9985730939113289,True,True,True,False,False,False,external_phase4_cache_read_only
again_dense_2hz_phase5_temporal_residual_grouped_compat_v1,future_arousal_max_delta_rows_4_10_train_q90,grouped_video,grouped_video,2,temporal_mean_2s,256,183227,45797,2707bb020eaadee9e0e8390160d3fd5b,fd0e2da0e40c08f65a4483a16618af93,5c6a1a71f423f02f62937eb68153c057,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__temporal_mean_2s__scores_w256.npy,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__temporal_mean_2s__row_index.csv,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__temporal_mean_2s__pca_manifest.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__temporal_mean_2s__leakage_audit.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/pca_components/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold2__temporal_mean_2s__components_w256.npz,0d42b72343256f2bbd94c846823ba26b,3229fc67e391205802a44320bf5e2b6b,0.9985761217020342,True,True,True,False,False,False,external_phase4_cache_read_only
again_dense_2hz_phase5_temporal_residual_grouped_compat_v1,future_arousal_max_delta_rows_4_10_train_q90,grouped_video,grouped_video,3,temporal_mean_2s,256,183234,45790,edf6f84ad9e30f73db7dbc9b5762d815,5959f9e8cf1eda1045cec7cebe31fb83,97e97a5c393e72dfd831cf55c274536e,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold3__temporal_mean_2s__scores_w256.npy,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold3__temporal_mean_2s__row_index.csv,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold3__temporal_mean_2s__pca_manifest.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold3__temporal_mean_2s__leakage_audit.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/pca_components/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold3__temporal_mean_2s__components_w256.npz,7bb9be147a828ed85ab4cf9b4c18a312,147c0c0327b5e42bd9f808248e375781,0.9985650986901068,True,True,True,False,False,False,external_phase4_cache_read_only
again_dense_2hz_phase5_temporal_residual_grouped_compat_v1,future_arousal_max_delta_rows_4_10_train_q90,grouped_video,grouped_video,4,temporal_mean_2s,256,183200,45824,6c66fcc61dc2f172820d5030a5e5281b,e3d781e28ee5de754d23a4dedfba0dcc,c589089dfda57bb63d775ab0e7075378,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold4__temporal_mean_2s__scores_w256.npy,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold4__temporal_mean_2s__row_index.csv,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold4__temporal_mean_2s__pca_manifest.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold4__temporal_mean_2s__leakage_audit.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/pca_components/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold4__temporal_mean_2s__components_w256.npz,da6b8d4a17724f9881e0ed3e8c8388cd,1fccaa3a1ba050fdcbc83749164185b3,0.9985792979430961,True,True,True,False,False,False,external_phase4_cache_read_only
again_dense_2hz_phase5_temporal_residual_grouped_compat_v1,future_arousal_max_delta_rows_4_10_train_q90,grouped_video,grouped_video,5,temporal_mean_2s,256,183219,45805,f9b1e98fc3196fbfca14f3e705218d6a,20b8710d7e6fb0bfa00b7fe90e2930c7,370badc11384896cc4e361997afd9f38,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold5__temporal_mean_2s__scores_w256.npy,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold5__temporal_mean_2s__row_index.csv,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold5__temporal_mean_2s__pca_manifest.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/features/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold5__temporal_mean_2s__leakage_audit.json,outputs/again_dense_2hz_phase5_temporal_residual_grouped_compat_20260630_033520/foldsafe_grouped_pca/pca_components/future_arousal_max_delta_rows_4_10_train_q90__grouped_video__fold5__temporal_mean_2s__components_w256.npz,01474dfe68331e10bccb7baa853fe228,93372e26aee6be92f49f8401ea0eaf75,0.9985858638641031,True,True,True,False,False,False,external_phase4_cache_read_only
