target_name,validation_protocol,model_lane,folds,rows_test_total,mean_pr_auc,mean_roc_auc,mean_f1,mean_balanced_accuracy,mean_precision,mean_recall,mean_top_1pct_recall,mean_top_5pct_recall,mean_top_10pct_recall,mean_delta_mae,mean_delta_mse,mean_delta_pearson
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,AR_only,1,71105,0.11376502093933469,0.45760779339619706,0.21342884933071898,0.5046499662979823,0.12320855614973263,0.7971398915926652,0.021104832199284974,0.050859185791719524,0.07980625072079345,0.12808817638106706,0.025342240628057056,-0.15040124205925634
arousal_abs_delta_p4rows_train_q90,grouped_video,AR_only,5,235217,0.11406283124784497,0.5413972848834299,0.19782337548662773,0.5473056594635926,0.11430978213724736,0.7354032959437508,0.020765053873527173,0.06231098133955434,0.09940102739285513,0.1150008906845154,0.020595007299302834,-0.19214397204956474
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,AR_only,1,71448,0.2508436636279985,0.6967285254304946,0.3222096102913356,0.6122000440373896,0.38270717238899876,0.27822791427077886,0.0352848928384736,0.1870099320439101,0.3391270256142185,0.10000046906781368,0.013697367900621217,0.24002787654975263
arousal_delta_p2rows_train_q90,grouped_video,AR_only,5,237231,0.19863785906931458,0.6454942024990101,0.28271773785518806,0.6015731198354347,0.28285297895822953,0.2827594151369624,0.03317665564944146,0.17017052757371293,0.2818982009178145,0.10467409249978421,0.014311408434392612,0.209949290386861
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,AR_only,1,70331,0.19657102472926036,0.6815117872442458,0.2733978299214282,0.6310687650835867,0.17283908900452793,0.6537576687116564,0.03949386503067485,0.11349693251533742,0.18456032719836402,0.0948471297639451,0.014609746854928036,0.23141318167995303
arousal_spike_rows_2_6_train_q90,grouped_video,AR_only,5,233089,0.14474514410474063,0.6061512956924947,0.21486326139449416,0.5834414281904107,0.12604860199552145,0.7297868316758029,0.03370064267540965,0.1092304755690265,0.1517900658055557,0.09808498238498983,0.014451937264333562,0.2006171830202403
