target_name,target_type,seed,control_type,epoch,train_loss,inner_val_selection_metric,inner_val_delta_vs_frozen_ar,selection_metric_name,alpha,gate_mean,gate_p95,inner_val_selection_policy,inner_val_spearman_delta_vs_frozen_ar
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,1,0.1578187607228756,0.22209401419836106,-6.878737801779833e-06,pr_auc_delta_vs_frozen_ar,0.001784181804396212,0.019940560683608055,0.04190776124596596,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,2,0.15781324170529842,0.22212076323197044,1.9870295807605798e-05,pr_auc_delta_vs_frozen_ar,0.0018024331657215953,0.03165557608008385,0.11755678057670593,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,3,0.1575826033949852,0.2221415972983183,4.0704362155474794e-05,pr_auc_delta_vs_frozen_ar,0.0018411026103422046,0.08059962093830109,0.42645734548568726,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,4,0.15792626608163118,0.22214247204817933,4.1579112016493225e-05,pr_auc_delta_vs_frozen_ar,0.001882363692857325,0.14790832996368408,0.7910290360450745,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,5,0.15760538633912802,0.22212937731540322,2.8484379240384383e-05,pr_auc_delta_vs_frozen_ar,0.0019170442828908563,0.17757821083068848,0.881497859954834,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,6,0.15769842080771923,0.2221328937942457,3.200085808285902e-05,pr_auc_delta_vs_frozen_ar,0.0019341273000463843,0.16788125038146973,0.8485795855522156,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,7,0.15757389552891254,0.22214161265530488,4.0719719142046085e-05,pr_auc_delta_vs_frozen_ar,0.0019503914518281817,0.14541111886501312,0.7672800421714783,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,8,0.15753386355936527,0.222143765588192,4.287265202915225e-05,pr_auc_delta_vs_frozen_ar,0.0019750173669308424,0.13203251361846924,0.7122319936752319,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,9,0.15744588524103165,0.22214777648894402,4.6883552781179505e-05,pr_auc_delta_vs_frozen_ar,0.001997843850404024,0.11826619505882263,0.6526878476142883,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,10,0.15748647414147854,0.22214800445107674,4.711151491390564e-05,pr_auc_delta_vs_frozen_ar,0.0020204600878059864,0.1092284694314003,0.6111466288566589,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,11,0.15759521536529064,0.22214900306018723,4.8110124024391965e-05,pr_auc_delta_vs_frozen_ar,0.0020388364791870117,0.10243534296751022,0.5740022659301758,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,12,0.15747708268463612,0.2221506261311325,4.973319496967554e-05,pr_auc_delta_vs_frozen_ar,0.0020569886546581984,0.10148902237415314,0.5676603317260742,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,13,0.15777052752673626,0.22215031320554424,4.942026938140054e-05,pr_auc_delta_vs_frozen_ar,0.002072253730148077,0.09672486037015915,0.5368531942367554,true_inner_val_labels_targets,
future_arousal_max_delta_rows_4_10_train_q90,binary,20260625,real_residual,14,0.1573827974498272,0.2221511942585066,5.030132234376539e-05,pr_auc_delta_vs_frozen_ar,0.0020863614045083523,0.09770374000072479,0.5433995127677917,true_inner_val_labels_targets,
