target_name,target_type,architecture,seed,best_epoch,label_policy,heldout_scoring_policy,best_inner_val_delta_vs_frozen_ar
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260625,0,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260626,38,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00046332497379325543
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260627,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.887786032654659e-05
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260625,18,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00014840294795939735
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260626,9,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,7.795599279679377e-05
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260627,2,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,1.9830931162118093e-05
future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,20260625,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,5.0104173859075174e-05
future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,20260626,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,4.8667242392719245e-06
future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,20260627,27,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0002976952841078767
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260625,13,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,9.621329113820853e-05
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260626,4,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,5.811660445304012e-06
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260627,26,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0006672218648708095
residual_future_max_delta_rows_4_10,continuous,current_row_mlp_residual,20260625,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0033621243201196194
residual_future_max_delta_rows_4_10,continuous,current_row_mlp_residual,20260626,10,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0037918114103376865
residual_future_max_delta_rows_4_10,continuous,current_row_mlp_residual,20260627,7,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0013920024211984128
residual_future_max_delta_rows_4_10,continuous,delta_feature_mlp_residual,20260625,24,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.005014165653847158
residual_future_max_delta_rows_4_10,continuous,delta_feature_mlp_residual,20260626,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0003175180754624307
residual_future_max_delta_rows_4_10,continuous,delta_feature_mlp_residual,20260627,14,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.001854948466643691
residual_future_max_delta_rows_4_10,continuous,short_temporal_conv_residual,20260625,10,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.00044880365021526814
residual_future_max_delta_rows_4_10,continuous,short_temporal_conv_residual,20260626,9,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0025450431276112795
residual_future_max_delta_rows_4_10,continuous,short_temporal_conv_residual,20260627,6,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,0.0028417834546417
residual_future_max_delta_rows_4_10,continuous,low_ar_confidence_temporal_residual,20260625,5,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,9.01506282389164e-05
residual_future_max_delta_rows_4_10,continuous,low_ar_confidence_temporal_residual,20260626,3,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,9.313225746154785e-10
residual_future_max_delta_rows_4_10,continuous,low_ar_confidence_temporal_residual,20260627,14,permuted_train_and_permuted_inner_val_selection,true_heldout_labels_targets,4.656612873077393e-10
