row_type,group,seed,lane,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,member_seeds
member,1,20260660,frozen_ar_member,-1.951991677284241,0.2596001710841504,0.7456469871761862,0.32090225563909774,0.2661732912023948,0.4039626451287229,0.6298545428922624,0.07783209532499313,0.013547430746257305,0.11639343085525619,0.34639576725080307,0.2742097388097382,0.23479575047980306,0.4407514450867052,0.03849066128218072,3.8435595162716325,0.23940333724021912,0.16276461631059647,0.35648148148148145,0.15547703180212014,3.1086858722680275,0.18347309529781342,0.10683437436819077,0.3118217334683837,0.2719586067642605,2.719231903634374,0.1578783541917801,0.08123963326215744,0.37916653700359926,0.6448085830792835,0.29346003756698036,1.9974959388046396,995,,,,,,,
member,1,20260660,real_residual_member,-1.9697126150131226,0.2671573477130545,0.7470844904504426,0.32231889284587295,0.2507188442387264,0.45116102978293793,0.6382601167026072,0.07841628044843674,0.013664711266756058,0.1168961559109454,0.3311634448665465,0.25845363889535655,0.23522050598086408,0.48988439306358383,0.04278142352347299,4.2720218885773225,0.25173264741897583,0.17509392648935318,0.3683449074074074,0.16065118626956082,3.21214051574448,0.18734566867351532,0.11070694774389267,0.31514976125018085,0.27486118122160524,2.748253868267131,0.1594354212284088,0.08279670029878616,0.3880773513234344,0.6550582086112242,0.19406718132569084,2.224035971802781,995,0.007557176628904094,0.001437503274256402,0.004290762241292274,0.005174154467440684,0.0029025744573447643,0.0004247555010610249,
member,1,20260660,shuffled_pca_residual_member,-1.9517496109008796,0.25975957273456424,0.7455436456807659,0.3208020050125313,0.2660901380342591,0.4038364462392731,0.6297832704413424,0.07790309935808182,0.013548843562602997,0.11639949983828538,0.34573286666877506,0.2720457632741333,0.23357498625245182,0.4393063583815029,0.03836446239273095,3.830957681792053,0.2384844720363617,0.16184575110673904,0.35648148148148145,0.15547703180212014,3.1086858722680275,0.18347309529781342,0.10683437436819077,0.3119664303284619,0.27208480565371024,2.720493728183625,0.15792527794837952,0.08128655701875687,0.37382184960229725,0.6447348451148706,0.19939326061237453,2.0132239280525184,995,0.00015940165041383736,-0.0001033414954202394,-0.00012619888944977176,0.0,0.00012619888944975788,-0.0012207642273512342,
member,1,20260660,random_pca_residual_member,-1.9518655300140384,0.2597436028326101,0.745539240467558,0.32088617111924217,0.26615115989024696,0.4039626451287229,0.6298463698860673,0.07788383215665817,0.013548674993216991,0.11639877573762102,0.34589715923786873,0.27226728439355624,0.23358454789701708,0.4407514450867052,0.03849066128218072,3.8435595162716325,0.23940333724021912,0.16276461631059647,0.35648148148148145,0.15547703180212014,3.1086858722680275,0.18347309529781342,0.10683437436819077,0.3119664303284619,0.27208480565371024,2.720493728183625,0.15792527794837952,0.08128655701875687,0.3749148121183143,0.6456601693492561,0.19989284717203998,2.055514675130499,995,0.0001434317484597103,-0.0001077467086281203,0.0,0.0,0.00012619888944975788,-0.0012112025827859807,
member,1,20260660,label_permutation_residual_member,-1.951595425605774,0.25971972140564753,0.7454827885524806,0.3208700882117081,0.2661290322580645,0.4039626451287229,0.6298381968798722,0.0779506117105484,0.013551674783229828,0.11641166085590321,0.34514313420526693,0.27110697723005345,0.23347681291049788,0.4393063583815029,0.03836446239273095,3.830957681792053,0.2384844720363617,0.16184575110673904,0.35619212962962965,0.15535083291267038,3.1061625882807973,0.18335473537445068,0.10671601444482803,0.3119664303284619,0.27208480565371024,2.720493728183625,0.15795011818408966,0.08131139725446701,0.37501554826028,0.6450799836206196,0.19772490350333713,2.0094732461103466,995,0.00011955032149713052,-0.00016419862370553595,-0.00012619888944977176,-0.00012619888944975788,0.00012619888944975788,-0.0013189375693051786,
member,1,20260660,train_only_video_mean_residual_member,-1.9572162866592409,0.2588934798224959,0.7443807642849152,0.3194964783455717,0.26440677966101694,0.40358404846037355,0.6290767881120378,0.07942213863134384,0.013741450384259224,0.11722393264286617,0.31878570085133984,0.23765656530604856,0.23132291576702094,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.23705507814884186,0.1604163572192192,0.35619212962962965,0.15535083291267038,3.1061625882807973,0.1835029423236847,0.10686422139406204,0.3119664303284619,0.27208480565371024,2.720493728183625,0.15797258913516998,0.08133386820554733,0.37567168834968145,0.6434219271667978,0.2060825784504452,2.01873526069151,995,-0.0007066912616545129,-0.001266222891270985,-0.0003785966683493222,-0.00012619888944975788,0.00012619888944975788,-0.003472834712782119,
member,1,20260660,diagnostics_only_residual_member,-1.987502634525299,0.2537418591122425,0.739137383712376,0.30957039557635047,0.2334787629924291,0.4592377587077234,0.6319759743405396,0.07870083302259445,0.013574372045695782,0.1165091071362912,0.33704741738576044,0.2601444688870719,0.2253662719439553,0.43352601156069365,0.03785966683493185,3.780550343873737,0.23644542694091797,0.15980670601129532,0.35127314814814814,0.15320545179202422,3.0632667604978776,0.1815517693758011,0.10491304844617844,0.3080596151063522,0.2686774356385664,2.686424465353867,0.1561034619808197,0.07946474105119705,0.37026360446360684,0.6449696473222284,0.18811650737341656,2.0027634482528556,995,-0.0058583119719078924,-0.006509603463810132,-0.0006309944472488657,-0.0022715800100959194,-0.0032811711256940934,-0.009429478535847746,
member,1,20260661,frozen_ar_member,-2.1797484874725344,0.25837576523176575,0.7472291126408335,0.3149939303755335,0.22835405666269232,0.5075719333669864,0.6427066394853631,0.0772872194647789,0.013671212829649448,0.11692396174287564,0.34649543293547747,0.2706409007413414,0.23221182846690422,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.2396191656589508,0.16298044472932816,0.3527199074074074,0.1538364462392731,3.0758831804340305,0.181821808218956,0.10518308728933334,0.3064679496454927,0.2672892478546189,2.6725443953121135,0.155018150806427,0.07837942987680435,0.3727788231918101,0.638990899490871,0.29374698875466615,1.916964080282538,995,,,,,,,
member,1,20260661,real_residual_member,-1.74034777879715,0.2651445413980439,0.7479105942764022,0.3031341821743389,0.2943414170233,0.31246845027763753,0.6077192603644754,0.07801356911659241,0.013644627295434475,0.11681021913957047,0.33884387441282277,0.26095557783206225,0.2317651002988618,0.4869942196531792,0.04252902574457345,4.246818219618164,0.2539137601852417,0.17727503925561905,0.36689814814814814,0.16002019182231197,3.199524095808327,0.18687541782855988,0.11023669689893723,0.31037476486760235,0.27069661786976273,2.706613658141871,0.15756163001060486,0.08092290908098221,0.38396567078797217,0.6504579048737089,0.19644469399845182,2.15932713134288,995,0.006768776166278134,0.0006814816355686926,0.004416961130742053,0.0061837455830388854,0.0034073700151438513,-0.00044672816804242066,
member,1,20260661,shuffled_pca_residual_member,-2.1797484874725344,0.25837576523176575,0.7472291126408335,0.3149939303755335,0.22835405666269232,0.5075719333669864,0.6427066394853631,0.0772872194647789,0.013671212829649448,0.11692396174287564,0.34649543293547747,0.2706409007413414,0.23221182846690422,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.2396191656589508,0.16298044472932816,0.3527199074074074,0.1538364462392731,3.0758831804340305,0.181821808218956,0.10518308728933334,0.3064679496454927,0.2672892478546189,2.6725443953121135,0.155018150806427,0.07837942987680435,0.3727788231918101,0.638990899490871,0.29374698875466615,1.916964080282538,995,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,20260661,random_pca_residual_member,-2.1797484874725344,0.25837576523176575,0.7472291126408335,0.3149939303755335,0.22835405666269232,0.5075719333669864,0.6427066394853631,0.0772872194647789,0.013671212829649448,0.11692396174287564,0.34649543293547747,0.2706409007413414,0.23221182846690422,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.2396191656589508,0.16298044472932816,0.3527199074074074,0.1538364462392731,3.0758831804340305,0.181821808218956,0.10518308728933334,0.3064679496454927,0.2672892478546189,2.6725443953121135,0.155018150806427,0.07837942987680435,0.3727788231918101,0.638990899490871,0.29374698875466615,1.916964080282538,995,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,20260661,label_permutation_residual_member,-1.9557478666305543,0.23753549799816615,0.7271451680283847,0.287378640776699,0.23000530664847244,0.3828874305906108,0.6084304913712817,0.0806656926870346,0.014707108028233051,0.12127286600156298,0.2649729840636539,0.20224681998338995,0.20797623214294933,0.42196531791907516,0.03685007571933367,3.679735668037104,0.22675061225891113,0.15011189132928848,0.3287037037037037,0.14336193841494194,2.8664506094938957,0.1698400378227234,0.09320131689310074,0.2798437273911156,0.24406865219586069,2.4403686782500604,0.14371584355831146,0.06707712262868881,0.3555338017765567,0.6258731912747999,0.16172745293642463,1.8372237687242656,995,-0.020840267233599608,-0.02008394461244878,-0.0012619888944977245,-0.010474507824331153,-0.023220595658758197,-0.02423559632395489,
member,1,20260661,train_only_video_mean_residual_member,-1.8743826150894167,0.24195150515427055,0.7374710311075343,0.294778399210415,0.23485359095334382,0.3957597173144876,0.6143762543615118,0.08023982495069504,0.013961376622319221,0.11815826937764119,0.3064927228086744,0.20663008954040285,0.19010606237795197,0.42196531791907516,0.03685007571933367,3.679735668037104,0.23031339049339294,0.1536746695637703,0.32609953703703703,0.142226148409894,2.8437410536088206,0.1683591604232788,0.09172043949365616,0.2833164520329909,0.24709742554265524,2.4706524674320676,0.14490514993667603,0.06826642900705338,0.3682947902000248,0.6369680253183129,0.20830247408317762,1.923256077468718,995,-0.0164242600774952,-0.009758081533299157,-0.0012619888944977245,-0.011610297829379085,-0.020191822311963648,-0.04210576608895225,
member,1,20260661,diagnostics_only_residual_member,-2.0333710670471192,0.25644841199908386,0.7452661956369151,0.310025193706327,0.24868451155342028,0.41153457849570924,0.6252468322133482,0.07774101197719574,0.013678638264536858,0.11695571069655751,0.3404810423177936,0.2634579616079862,0.22894739969879738,0.4436416184971098,0.03874305906108026,3.8687631852307907,0.24080349504947662,0.16416477411985397,0.3527199074074074,0.1538364462392731,3.0758831804340305,0.18149703741073608,0.10485831648111343,0.2989437129214296,0.2607269056032307,2.606929518751099,0.15209585428237915,0.0754571333527565,0.3609634254921259,0.6367928762771403,0.16465126103974045,1.9168010704660001,995,-0.0019273532326818943,-0.001962917003918374,0.0006309944472488657,0.0,-0.006562342251388187,-0.003264428768106842,
member,1,20260662,frozen_ar_member,-2.0834006786346437,0.257451730288743,0.7464421348644709,0.3150247021214763,0.2556201855054237,0.4103987884906613,0.6278010255773672,0.07770474255084991,0.013554724864661694,0.1164247605308325,0.3451185403561456,0.2721490428513034,0.23383794788178766,0.43786127167630057,0.03823826350328117,3.818355847312474,0.2383556067943573,0.16171688586473465,0.35561342592592593,0.15509843513377083,3.101116020306336,0.1823553889989853,0.10571666806936264,0.3029952250036174,0.2642604745078243,2.642260606130107,0.15415632724761963,0.07751760631799698,0.3734484611163753,0.6391851123111864,0.29455181978351996,1.89408992210471,995,,,,,,,
member,1,20260662,real_residual_member,-1.9286532163619996,0.2639302664149817,0.7469305782213338,0.31125,0.26498758424973395,0.3770822816759212,0.6208032654926511,0.07837621867656708,0.013671384193003178,0.11692469453884914,0.33013034730587804,0.2590902646296624,0.23379375349527876,0.48265895953757226,0.04215042907622413,4.209012716179427,0.25217488408088684,0.1755361631512642,0.37008101851851855,0.16140837960625948,3.2272802196678634,0.18700315058231354,0.11036442965269089,0.3080596151063522,0.2686774356385664,2.686424465353867,0.15669435262680054,0.08005563169717789,0.38375169672154624,0.6487698483122737,0.19649224567271117,2.1308477611433565,995,0.006478536126238665,0.0004884433568629332,0.003912165572942959,0.006309944472488643,0.004416961130742081,-4.4194386508905614e-05,
member,1,20260662,shuffled_pca_residual_member,-2.0834006786346437,0.257451730288743,0.7464421348644709,0.3150247021214763,0.2556201855054237,0.4103987884906613,0.6278010255773672,0.07770474255084991,0.013554724864661694,0.1164247605308325,0.3451185403561456,0.2721490428513034,0.23383794788178766,0.43786127167630057,0.03823826350328117,3.818355847312474,0.2383556067943573,0.16171688586473465,0.35561342592592593,0.15509843513377083,3.101116020306336,0.1823553889989853,0.10571666806936264,0.3029952250036174,0.2642604745078243,2.642260606130107,0.15415632724761963,0.07751760631799698,0.3734484611163753,0.6391851123111864,0.29455181978351996,1.89408992210471,995,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,20260662,random_pca_residual_member,-2.0834006786346437,0.257451730288743,0.7464421348644709,0.3150247021214763,0.2556201855054237,0.4103987884906613,0.6278010255773672,0.07770474255084991,0.013554724864661694,0.1164247605308325,0.3451185403561456,0.2721490428513034,0.23383794788178766,0.43786127167630057,0.03823826350328117,3.818355847312474,0.2383556067943573,0.16171688586473465,0.35561342592592593,0.15509843513377083,3.101116020306336,0.1823553889989853,0.10571666806936264,0.3029952250036174,0.2642604745078243,2.642260606130107,0.15415632724761963,0.07751760631799698,0.3734484611163753,0.6391851123111864,0.29455181978351996,1.89408992210471,995,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,20260662,label_permutation_residual_member,-2.083393669128418,0.257501891075147,0.7463626203019271,0.3150247021214763,0.2556201855054237,0.4103987884906613,0.6278010255773672,0.07770069688558578,0.013555134646594524,0.1164265203748464,0.34511766939212873,0.2709974420540289,0.23263523303648,0.43786127167630057,0.03823826350328117,3.818355847312474,0.2383556067943573,0.16171688586473465,0.35561342592592593,0.15509843513377083,3.101116020306336,0.1823553889989853,0.10571666806936264,0.3029952250036174,0.2642604745078243,2.642260606130107,0.15415631234645844,0.07751759141683578,0.3687104609442206,0.6373109362262159,0.18931432415493307,1.9401788804277111,995,5.0160786403963264e-05,-7.951456254373657e-05,0.0,0.0,0.0,-0.0012027148453076508,
member,1,20260662,train_only_video_mean_residual_member,-2.03018126487732,0.25099289082328813,0.7373319899540594,0.30088831884471046,0.241258474899063,0.3996718828874306,0.6184327997401339,0.07914814352989197,0.013748737052083015,0.11725500864390832,0.3202184030813623,0.23623979390679212,0.2192217147823552,0.434971098265896,0.037985865724381625,3.793152178353316,0.23912394046783447,0.16248521953821182,0.35300925925925924,0.15396264512872287,3.0784064644212608,0.1803668886423111,0.10372816771268845,0.30154825640283606,0.2629984856133266,2.629642360637604,0.1534048169851303,0.07676609605550766,0.3689137746235798,0.6392554800308977,0.21426717562037634,1.8936295700349326,995,-0.006458839465454891,-0.00911014491041151,-0.0002523977788995435,-0.0011357900050479597,-0.0012619888944976898,-0.014616233099432469,
member,1,20260662,diagnostics_only_residual_member,-2.0502694606781007,0.25548000617011446,0.7448767793276032,0.31110692238820037,0.24825148529743551,0.41658253407370016,0.6265938971102436,0.07806555926799774,0.013598702847957611,0.1166134762707879,0.338679287503927,0.2622215367929785,0.2305443700248566,0.44942196531791906,0.039247854618879356,3.919170523149107,0.24049139022827148,0.16385266929864883,0.3532986111111111,0.15408884401817263,3.0809297484084914,0.18088780343532562,0.10424908250570297,0.2969179568803357,0.25896012115093386,2.5892639750615944,0.15146107971668243,0.07482235878705978,0.36230735783196033,0.6370939895096893,0.16698322299455173,1.8799359118976462,995,-0.0019717241186285595,-0.001565355536867652,0.001009591115598188,-0.0010095911155982018,-0.0053003533568904415,-0.0032935778569310736,
member,2,20260663,frozen_ar_member,-1.7358505725860596,0.2616810531777134,0.7480536682989107,0.3132846382104542,0.2859375,0.34641595153962645,0.6171820183021375,0.07766343653202057,0.013525116257369518,0.11629753332452722,0.34894342113297455,0.27483938415905373,0.23308953513017797,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.23986029624938965,0.163221575319767,0.3628472222222222,0.15825340737001514,3.164198119987099,0.18581663072109222,0.10917790979146957,0.3137027926493995,0.2735991923271075,2.735635622774628,0.1592344045639038,0.08259568363428116,0.3763067597442716,0.641546608706048,0.293627572450878,2.0334480661437584,995,,,,,,,
member,2,20260663,real_residual_member,-1.7782517194747924,0.2708916506697226,0.7507946072219488,0.32357408474309957,0.27656907511863194,0.3898283695103483,0.6288762946984535,0.07842311263084412,0.013643937185406685,0.11680726512253715,0.33349925293169436,0.26688193593146964,0.23612593092521436,0.49277456647398843,0.04303382130237254,4.297225557536481,0.25028929114341736,0.1736505702137947,0.3715277777777778,0.16203937405350832,3.239896639604016,0.18809102475643158,0.11145230382680893,0.318477789031978,0.27776375567895,2.7772758328998877,0.16130389273166656,0.08466517180204391,0.38476296887799305,0.6514372297168358,0.20048893857778263,2.2505602701433025,995,0.009210597492009198,0.002740938923038061,0.00492175668854114,0.0037859666834931804,0.00416456335184251,0.003036395795036395,
member,2,20260663,shuffled_pca_residual_member,-1.8729585170745853,0.2592483145602567,0.7445640525096628,0.3171388667198723,0.26220719234576045,0.40118626956082787,0.6274855943648983,0.08013808727264404,0.013681219890713692,0.11696674694422211,0.31859184836371907,0.24292158463437707,0.22758012205563866,0.43786127167630057,0.03823826350328117,3.818355847312474,0.24022401869297028,0.16358529776334763,0.35908564814814814,0.1566128218071681,3.1313954281531022,0.1845402866601944,0.10790156573057175,0.3097959774272898,0.27019182231196365,2.7015663599448705,0.15793471038341522,0.08129598945379257,0.3701528077927719,0.6406743926100913,0.19551113868210482,2.0622717834130015,995,-0.0024327386174566867,-0.0034896157892478907,0.00012619888944977176,-0.0016405855628470467,-0.0034073700151438513,-0.00550941307453931,
member,2,20260663,random_pca_residual_member,-1.8554870367050174,0.25892616464527957,0.7449386266232216,0.31595959595959594,0.2633883462445268,0.39475012619888944,0.6258776049043714,0.0791734904050827,0.013603977859020233,0.11663609157983747,0.3308028887792153,0.25481992872844567,0.22822949768667386,0.4320809248554913,0.03773346794548208,3.7679485093941576,0.2376416176557541,0.16100289672613144,0.3567708333333333,0.15560323069156992,3.111209156255258,0.18369713425636292,0.10705841332674026,0.3093618868470554,0.2698132256436143,2.6977808862971195,0.15782304108142853,0.08118432015180588,0.3707675235314874,0.6444030414015671,0.20035144786338907,2.0445303474285765,995,-0.00275488853243383,-0.003115041675689101,-0.00037859666834931527,-0.0026501766784452208,-0.0037859666834931804,-0.004860037443504106,
member,2,20260663,label_permutation_residual_member,-1.890162205696106,0.2619063189608562,0.7479642881628871,0.31935239058942577,0.2665315429440081,0.3982836951034831,0.628159288746962,0.07766121625900269,0.013525412417948246,0.11629880660586439,0.34893773976173836,0.2736365206551414,0.23190185323242204,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.23986026644706726,0.1632215455174446,0.3628472222222222,0.15825340737001514,3.164198119987099,0.18581663072109222,0.10917790979146957,0.31355809578932137,0.27347299343765774,2.734373798225378,0.15916205942630768,0.08252333849668503,0.37309185761374414,0.6426070889448317,0.20520836545439486,2.0860444843988626,995,0.00022526578314280288,-8.938013602366457e-05,0.0,0.0,-0.00012619888944975788,-0.0011876818977559211,
member,2,20260663,train_only_video_mean_residual_member,-1.9490990400314332,0.24524757132726754,0.7280382236688493,0.306571528366848,0.25352810101510276,0.38768298838970217,0.6199166531598216,0.07910987734794617,0.014016658999025822,0.11839197185208895,0.31133728206097183,0.21939791371116513,0.19152782678115451,0.4046242774566474,0.0353356890459364,3.5285136542821545,0.2134145349264145,0.13677581399679184,0.34172453703703703,0.14904088844018173,2.97999838891927,0.17231504619121552,0.09567632526159286,0.2976414411807264,0.2595911155981827,2.595573097807846,0.15118536353111267,0.07454664260149002,0.36906173655933405,0.6439700974434277,0.2067953410121689,1.9452435307480498,995,-0.016433481850445852,-0.02001544463006144,-0.0027763755678949995,-0.009212518929833408,-0.01400807672892479,-0.04156170834902345,
member,2,20260663,diagnostics_only_residual_member,-1.7358505725860596,0.2616810531777134,0.7480536682989107,0.3132846382104542,0.2859375,0.34641595153962645,0.6171820183021375,0.07766343653202057,0.013525116257369518,0.11629753332452722,0.34894342113297455,0.27483938415905373,0.23308953513017797,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.23986029624938965,0.163221575319767,0.3628472222222222,0.15825340737001514,3.164198119987099,0.18581663072109222,0.10917790979146957,0.3137027926493995,0.2735991923271075,2.735635622774628,0.1592344045639038,0.08259568363428116,0.3763067597442716,0.641546608706048,0.293627572450878,2.0334480661437584,995,0.0,0.0,0.0,0.0,0.0,0.0,
member,2,20260664,frozen_ar_member,-2.1875021934509276,0.25718135660512903,0.7458129144670271,0.31368902320895814,0.2263349175286553,0.5108531044926805,0.6423366655242061,0.07760097086429596,0.013608928769826889,0.11665731340051891,0.34270357304592036,0.2670410735704816,0.23228700977811603,0.4407514450867052,0.03849066128218072,3.8435595162716325,0.24140200018882751,0.16476327925920486,0.3570601851851852,0.15572942958101968,3.1137324402424884,0.18357130885124207,0.10693258792161942,0.3044421936043988,0.26552246340232205,2.65487885162261,0.15438289940357208,0.07774417847394943,0.3721110420329129,0.638889348398346,0.29355397102122827,1.9260105667552303,995,,,,,,,
member,2,20260664,real_residual_member,-1.9125614881515502,0.2637276707832013,0.7457059743322059,0.3116883116883117,0.25992414664981034,0.3891973750630994,0.6228315201320368,0.07840512692928314,0.013553237542510033,0.11641837287348605,0.33821078656215053,0.25782634453806935,0.23171813884452405,0.47109826589595377,0.041140837960625946,4.108198040342794,0.24790683388710022,0.17126811295747757,0.3715277777777778,0.16203937405350832,3.239896639604016,0.1884058713912964,0.11176715046167374,0.3097959774272898,0.27019182231196365,2.7015663599448705,0.15710237622261047,0.08046365529298782,0.38604642401733363,0.6510885107324231,0.2000657452322043,2.197581737435765,995,0.006546314178072277,-0.00010694013482126508,0.0026501766784452277,0.006309944472488643,0.004669358909641597,-0.0005688709335919806,
member,2,20260664,shuffled_pca_residual_member,-2.0396126747131347,0.2526891165907655,0.7395457483176004,0.3064906081458062,0.24263839811542992,0.41595153962645126,0.6238918820776387,0.08052031695842743,0.013779263012111187,0.1173851055803554,0.3083813314108278,0.22971728566319777,0.2228545632700311,0.434971098265896,0.037985865724381625,3.793152178353316,0.23880404233932495,0.1621653214097023,0.35561342592592593,0.15509843513377083,3.101116020306336,0.18258284032344818,0.10594411939382553,0.302561134423383,0.26388187783947503,2.638475132482356,0.15346062183380127,0.07682190090417862,0.3663395049100198,0.635904128776837,0.19611906852174915,1.9796796714169518,995,-0.004492240014363547,-0.006267166149426684,-0.000504795557799094,-0.0006309944472488449,-0.001640585562847019,-0.009432446508084946,
