group,diagnostics_only_residual_ensemble,frozen_ar_ensemble,label_permutation_residual_ensemble,random_pca_residual_ensemble,real_residual_ensemble,shuffled_pca_residual_ensemble,train_only_video_mean_residual_ensemble,best_control,real_minus_ar,real_minus_best_control,member_real_mean,real_minus_member_mean
1,0.2560491292645061,0.2591174806117971,0.2534507811253784,0.2592015716852302,0.2660961999302448,0.259217542844234,0.25547673842011437,0.259217542844234,0.006978719318447679,0.00687865708601082,0.26541071850869336,0.0006854814215514482
2,0.25870482217789903,0.25962049273938237,0.2582451697700969,0.25865081468173867,0.2673111114877761,0.25729366239529544,0.25451871393465064,0.25865081468173867,0.007690618748393718,0.008660296806037415,0.26443435722758163,0.0028767542601944585
3,0.26004310664849806,0.25990782317641153,0.2595923323703977,0.2578622007461068,0.26738753008712995,0.2565830049393774,0.25911245109497033,0.2595923323703977,0.00747970691071842,0.007795197716732261,0.2528642329413149,0.014523297145815073
4,0.25831955573569515,0.25913752192280826,0.25741119358215575,0.25922464016748553,0.2645643399879059,0.2592226271162589,0.2579695037990496,0.25922464016748553,0.005426818065097649,0.005339699820420374,0.2598024281994313,0.0047619117884746265
5,0.2596750735057851,0.26083454549752716,0.26100984522301046,0.2597116376125565,0.2690935319415665,0.25959830937846246,0.25459022683804977,0.26100984522301046,0.008258986444039329,0.008083686718556027,0.263358635859477,0.005734896082089491
