protocol,fold,seed,real_pr_auc,frozen_ar_pr_auc,best_primary_control,best_primary_control_pr_auc,real_minus_frozen_ar_pr_auc,real_minus_best_control_pr_auc,real_minus_shuffled_pca_residual_pr_auc,real_minus_random_pca_residual_pr_auc,real_minus_label_permutation_residual_pr_auc,real_minus_train_only_video_mean_residual_pr_auc
blocked_temporal_70_30,1,20260625,0.2697372518888213,0.2636910906732166,shuffled_pca_residual,0.2616537279609534,0.006046161215604695,0.00808352392786793,0.00808352392786793,0.008475576732628998,0.0083325976983194,0.008200541213981116
blocked_temporal_70_30,1,20260626,0.2748117839176692,0.268556795044912,random_pca_residual,0.2686695182168087,0.006254988872757217,0.006142265700860516,0.008596372419612919,0.006142265700860516,0.00636439824590912,0.0062014024762283015
blocked_temporal_70_30,1,20260627,0.2770178562122585,0.2663955457004872,random_pca_residual,0.2665479974300896,0.010622310511771316,0.010469858782168884,0.010487521286473678,0.010469858782168884,0.01490899984783789,0.012612821761479709
blocked_temporal_70_30,1,20260628,0.2686994051782653,0.2609401547184769,label_permutation_residual,0.2611172191594508,0.007759250459788369,0.007582186018814496,0.010330572832652707,0.010892252074649,0.007582186018814496,0.011571964807127577
blocked_temporal_70_30,1,20260629,0.2676261263627085,0.2602792590111217,shuffled_pca_residual,0.2604461414125141,0.007346867351586794,0.007179984950194396,0.007179984950194396,0.007203743161677489,0.01453418605520529,0.009573563849884281
blocked_temporal_70_30,1,20260630,0.2680293087331385,0.2609194250535771,label_permutation_residual,0.2611794067486614,0.007109883679561391,0.0068499019844771025,0.008014280605096014,0.009545896965513612,0.0068499019844771025,0.0075505457903785045
blocked_temporal_70_30,1,20260631,0.2676803070186962,0.2592937695681576,random_pca_residual,0.2594382065102599,0.008386537450538634,0.008242100508436323,0.010628398065745226,0.008242100508436323,0.008386537450538634,0.02985816770246963
blocked_temporal_70_30,1,20260632,0.265907408508852,0.2579526541089701,shuffled_pca_residual,0.2579526541089701,0.007954754399881858,0.007954754399881858,0.007954754399881858,0.007954754399881858,0.013404370816480993,0.007954754399881858
blocked_temporal_70_30,1,20260633,0.2580455144477861,0.2587597640235997,label_permutation_residual,0.2589067374246279,-0.0007142495758135636,-0.000861222976841769,-0.000855839589344265,-0.0008174753490032827,-0.000861222976841769,0.0007634427096006036
blocked_temporal_70_30,1,20260634,0.2531806678605329,0.245547773565332,label_permutation_residual,0.2452151874882132,0.007632894295200893,0.0079654803723197,0.0094319540485856,0.0092576057499546,0.0079654803723197,0.009822715978716395
