seed,lane,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,best_inner_val_secondary_delta,early_stopping_reason,residual_suppressed,checkpoint_restored,checkpoint_path,checkpoint_checksum,eval_mode_scoring,dropout_disabled,label_policy,alpha_final,hyperparameters,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,blend_original_weight,blend_trial4_weight
20260640,frozen_ar_only,-2.017336368560791,0.2596735782194371,0.745085480815809,0.3215040912016181,0.25285610990600144,0.44131751640585565,0.6362070851885597,0.0772966742515564,0.013616963289678097,0.11669174473662693,0.3471552313277736,0.27338870156069783,0.23224633423954116,0.434971098265896,0.037985865724381625,3.793152178353316,0.2388947755098343,0.16225605458021164,0.3602430555555556,0.15711761736496718,3.141488564102025,0.1851998120546341,0.10856109112501144,0.3105194617276805,0.2708228167592125,2.707875482691122,0.15720762312412262,0.08056890219449997,0.37617527646415644,0.641707491503849,0.2947777645146277,1.930614166514633,995,,,,,,,,,,,,,,,,,,,,,,,,,,
20260640,original_real_residual,-1.6895877599716194,0.2668157817667033,0.746234474083389,0.30747635032041504,0.29771894575109326,0.3178950025239778,0.6103834984504748,0.0779271349310875,0.013575938530266285,0.11651582952657671,0.34163209913058445,0.26193644893275014,0.23239244006510248,0.47398843930635837,0.04139323573952549,4.133401709301952,0.24683040380477905,0.1701916828751564,0.37210648148148145,0.16229177183240787,3.2449432075784768,0.18889445066452026,0.11225572973489761,0.31616263927072785,0.27574457344775366,2.757086640111883,0.1599847376346588,0.08334601670503616,0.38852361479310854,0.6550921230122767,0.1989993641959483,2.1983732672420078,995,11.0,19.0,0.01620945845456495,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_fixed_blend_fresh5_20260714_153441/original/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260640__best.npz,7d361937cf35828d8ae3c017385279f9,True,True,true_train_and_true_inner_val_selection,0.0025661098770797253,"{'hidden': 64, 'learning_rate': 0.0002, 'weight_decay': 0.0001, 'alpha_initial_logit': -4.0, 'alpha_cap': 0.12, 'gate_bias': 4.0, 'lambda_binary': 0.5}",0.17923122644424438,1.0267967809340917e-05,0.008142003789544106,0.9752480387687683,0.0071422035472661904,0.0011489932675800008,0.003407370015143865,0.005174154467440684,0.004921756688541168,0.00014610582556132123,,
20260640,trial4_real_residual,-1.901883625984192,0.2678718702262677,0.7477368900462991,0.3167527222534635,0.26621981610380685,0.39096415951539626,0.6256927798574088,0.07769075036048889,0.0135111128911376,0.11623731281794844,0.3491735633688992,0.27092328884085803,0.2345871724447261,0.4638728323699422,0.04050984351337708,4.045188867944899,0.24462968111038208,0.16799096018075943,0.3744212962962963,0.16330136294800607,3.2651294794763213,0.18967950344085693,0.11304078251123428,0.3187671827521343,0.2780161534578496,2.7797994819983884,0.16030602157115936,0.08366730064153671,0.3900803748368058,0.655605240760626,0.2079725852928472,2.169106535544372,995,4.0,12.0,0.01590456689522765,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_fixed_blend_fresh5_20260714_153441/trial4/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260640__best.npz,64ca77337455d0d008dfa972962cec17,True,True,true_train_and_true_inner_val_selection,0.004124149680137634,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}",0.1152995377779007,2.6533120035310276e-05,0.006159144453704357,0.8063077926635742,0.008198292006830588,0.0026514092304900094,0.002523977788995456,0.0061837455830388854,0.007193336698637087,0.0023408382051849363,,
20260640,fixed_50_50_blend,-1.8881370782852174,0.2675374402682792,0.747005395677591,0.31544280347861886,0.2663133200104266,0.38679959616355375,0.6243869337700257,0.07776402682065964,0.013533866964280605,0.11633514930699408,0.346488886749898,0.266574101254943,0.23341667659918353,0.46965317919075145,0.041014639071176175,4.095596205863215,0.245438814163208,0.16880009323358536,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18927337229251862,0.11263465136289597,0.31789900159166545,0.2772589601211509,2.7722285347028865,0.1603051722049713,0.08366645127534866,0.38904677416629857,0.655111810755563,0.2020061234566453,2.1747604286540296,995,,,,,,,,,,True,,,,,,,,,0.007863862048842096,0.0019199148617820017,0.00302877334679455,0.005678950025239771,0.006436143361938429,0.0011703423596423623,0.5,0.5
20260641,frozen_ar_only,-1.711230754852295,0.26142954785920336,0.7480675894327593,0.31043731778425654,0.28853240841101235,0.33594144371529533,0.6143231091927572,0.07713475823402405,0.013598013669252396,0.11661052126310213,0.3484943440024693,0.27346272366267177,0.23383055693478888,0.43641618497109824,0.038112064613831396,3.8057540128328946,0.24010255932807922,0.16346383839845657,0.3660300925925926,0.15964159515396265,3.1919542438466357,0.18740470707416534,0.1107659861445427,0.3119664303284619,0.27208480565371024,2.720493728183625,0.15805059671401978,0.08141187578439713,0.3738767590919473,0.640661682554558,0.29274131177201157,1.9530283504415504,995,,,,,,,,,,,,,,,,,,,,,,,,,,
20260641,original_real_residual,-1.744235420227051,0.2689890578646626,0.7490418150717776,0.31929564018245465,0.2753888380603843,0.37985865724381623,0.6251991195564096,0.07761453837156296,0.013606913387775421,0.11664867503651905,0.3419678047887628,0.2620356194287667,0.2337294424747658,0.4869942196531792,0.04252902574457345,4.246818219618164,0.24508340656757355,0.1684446856379509,0.3666087962962963,0.1598939929328622,3.197000811821096,0.18706299364566803,0.11042427271604538,0.315294458110259,0.274987380111055,2.7495156928163818,0.16017666459083557,0.08353794366121292,0.38616171089273305,0.6528184345654622,0.1960047154906097,2.2179445885037694,995,13.0,21.0,0.01795706434558167,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_fixed_blend_fresh5_20260714_153441/original/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260641__best.npz,e249d48fe9d2f3044d930ee8fa893eb1,True,True,true_train_and_true_inner_val_selection,0.002655204851180315,"{'hidden': 64, 'learning_rate': 0.0002, 'weight_decay': 0.0001, 'alpha_initial_logit': -4.0, 'alpha_cap': 0.12, 'gate_bias': 4.0, 'lambda_binary': 0.5}",0.1565430611371994,2.7316496016283054e-06,0.0037599157076328993,0.975792407989502,0.007559510005459236,0.000974225639018278,0.004416961130742053,0.0002523977788995435,0.0029025744573447643,-0.00010111446002308844,,
20260641,trial4_real_residual,-1.768663907051087,0.26929576083093976,0.7501472719194312,0.3212328058744441,0.2721219554932539,0.39197375063099443,0.6280855398462849,0.0777726098895073,0.01352874655276537,0.11631314006923452,0.3445203208819911,0.26913991154457806,0.23545168397225055,0.476878612716763,0.04164563351842504,4.15860537826111,0.24006026983261108,0.16342154890298843,0.3689236111111111,0.16090358404846036,3.2171870837189407,0.1878826767206192,0.11124395579099655,0.31587324555057156,0.2754921756688541,2.754562991013383,0.16011302173137665,0.083474300801754,0.3867535807671602,0.6535752308819569,0.20386538168855386,2.204659106200667,995,5.0,13.0,0.017251411392131877,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_fixed_blend_fresh5_20260714_153441/trial4/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260641__best.npz,168f78b5b2fc151a53374fe3c7070a3c,True,True,true_train_and_true_inner_val_selection,0.004169335588812828,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}",0.11674343049526215,3.0015207812539302e-05,0.007206215988844633,0.8345475792884827,0.007866212971736397,0.0020796824866718966,0.003533568904593644,0.0012619888944977176,0.0034073700151438513,0.0016211270374616726,,
20260641,fixed_50_50_blend,-1.7575141429901127,0.26944257175420955,0.7497441438554048,0.319757093498063,0.273215244229737,0.38541140837960625,0.6263082018604964,0.07758405059576035,0.013542940840125084,0.11637414163002485,0.3459923441212115,0.2670546971789709,0.23470632141597886,0.4884393063583815,0.04265522463402322,4.259420054097744,0.24308736622333527,0.16644864529371262,0.3680555555555556,0.16052498738011106,3.2096172317572496,0.18743331730365753,0.11079459637403488,0.3164520329908841,0.27599697122665323,2.7596102892103835,0.16042934358119965,0.083790622651577,0.3865757534972733,0.6529000147074685,0.19952464139652631,2.2250994817914993,995,,,,,,,,,,True,,,,,,,,,0.008013023895006188,0.001676554422645471,0.004543160020191825,0.0008833922261484162,0.003912165572942994,0.0008757644811899779,0.5,0.5
20260642,frozen_ar_only,-1.7653733491897583,0.26110801393487976,0.746923801763648,0.31318558316543543,0.2813757039420756,0.3531044926804644,0.618147944069771,0.07728953659534454,0.013593079522252083,0.11658936281776346,0.3475648311711878,0.2731274995049501,0.23130985151083622,0.4479768786127168,0.039121655729429584,3.906568688669528,0.2441408634185791,0.16750214248895645,0.3660300925925926,0.15964159515396265,3.1919542438466357,0.1895832121372223,0.11294449120759964,0.31066415858775864,0.2709490156486623,2.709137307240372,0.1584235429763794,0.08178482204675674,0.37411117021963297,0.6404867685628707,0.29798723063662746,1.934160712763,995,,,,,,,,,,,,,,,,,,,,,,,,,,
20260642,original_real_residual,-1.8328856468200698,0.2634108573683648,0.7426532894757416,0.3097355352812103,0.2855013838620396,0.33846542150429076,0.6143754931703744,0.07752616703510284,0.013718110509216785,0.11712433781762348,0.3397974069274566,0.26381200588506215,0.22780572428690873,0.4407514450867052,0.03849066128218072,3.8435595162716325,0.2388232946395874,0.16218457370996475,0.3706597222222222,0.16166077738515902,3.232326787642324,0.18954846262931824,0.11290974169969559,0.31341339892924325,0.273346794548208,2.733111973676128,0.15949508547782898,0.08285636454820633,0.36880250659816766,0.6476776004858755,0.20106185814216807,1.9792102690462832,995,15.0,23.0,0.007668780010175541,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_fixed_blend_fresh5_20260714_153441/original/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260642__best.npz,6ad3c85812d260041954ae3af20141fc,True,True,true_train_and_true_inner_val_selection,0.002692259382456541,"{'hidden': 64, 'learning_rate': 0.0002, 'weight_decay': 0.0001, 'alpha_initial_logit': -4.0, 'alpha_cap': 0.12, 'gate_bias': 4.0, 'lambda_binary': 0.5}",0.20465460419654846,1.8487709496639582e-07,0.0032609906047582626,0.9962018728256226,0.0023028434334850245,-0.004270512287906425,-0.0006309944472488657,0.002019182231196376,0.0023977788995456772,-0.0035041272239274834,,
