target_name,target_type,architecture,control_type,seeds,rows_test_total,mean_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,min_roc_auc,max_roc_auc,mean_top_1pct_recall,min_top_1pct_recall,max_top_1pct_recall,mean_top_5pct_recall,min_top_5pct_recall,max_top_5pct_recall,mean_top_10pct_recall,min_top_10pct_recall,max_top_10pct_recall,mean_top_1pct_precision,min_top_1pct_precision,max_top_1pct_precision,mean_top_5pct_precision,min_top_5pct_precision,max_top_5pct_precision,mean_top_10pct_precision,min_top_10pct_precision,max_top_10pct_precision,mean_continuous_spearman,min_continuous_spearman,max_continuous_spearman,mean_continuous_pearson,min_continuous_pearson,max_continuous_pearson,mean_top_1pct_continuous_lift,min_top_1pct_continuous_lift,max_top_1pct_continuous_lift,mean_top_5pct_continuous_lift,min_top_5pct_continuous_lift,max_top_5pct_continuous_lift,mean_top_10pct_continuous_lift,min_top_10pct_continuous_lift,max_top_10pct_continuous_lift,mean_top_1pct_avg_true_movement,min_top_1pct_avg_true_movement,max_top_1pct_avg_true_movement,mean_top_5pct_avg_true_movement,min_top_5pct_avg_true_movement,max_top_5pct_avg_true_movement,mean_top_10pct_avg_true_movement,min_top_10pct_avg_true_movement,max_top_10pct_avg_true_movement,mean_ndcg_at_1pct,min_ndcg_at_1pct,max_ndcg_at_1pct,mean_ndcg_at_5pct,min_ndcg_at_5pct,max_ndcg_at_5pct,mean_ndcg_at_10pct,min_ndcg_at_10pct,max_ndcg_at_10pct,mean_delta_vs_frozen_ar_pr_auc,min_delta_vs_frozen_ar_pr_auc,max_delta_vs_frozen_ar_pr_auc,mean_delta_vs_frozen_ar_top_5pct_continuous_lift,min_delta_vs_frozen_ar_top_5pct_continuous_lift,max_delta_vs_frozen_ar_top_5pct_continuous_lift,mean_delta_vs_frozen_ar_continuous_spearman,min_delta_vs_frozen_ar_continuous_spearman,max_delta_vs_frozen_ar_continuous_spearman
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,diagnostics_only_residual,3,207303,0.2644205890803925,0.2581502161128414,0.2685802459845078,0.7420832308888333,0.7335096511238642,0.7473343880568262,0.03891132424701323,0.0373548712771327,0.0397526501766784,0.16325929665152275,0.161660777385159,0.1643109540636042,0.2766700319703853,0.2752397778899546,0.2782685512367491,0.44556840077071286,0.4277456647398844,0.4552023121387283,0.3743248456790123,0.3706597222222222,0.3767361111111111,0.3172237495779675,0.3155838518304152,0.3190565764722906,0.2668167313964061,0.2325831581278404,0.2913246910722709,0.32741149990898705,0.2884046473297627,0.3529323272723456,,,,,,,,,,0.23587866127490995,0.2258582860231399,0.242208182811737,0.1885915944973627,0.1863719373941421,0.1900248527526855,0.16204295059045148,0.161615565419197,0.1628365218639373,,,,,,,,,,-0.001793888059146058,-0.0055408745603752,0.0001357594433412,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,frozen_ar_only,3,207303,0.26621447713953855,0.2636910906732166,0.268556795044912,0.7444277772923665,0.7401799731857736,0.7475899203341895,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2776796230859835,0.2752397778899546,0.2796567390206966,0.45664739884393063,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3183813244585925,0.3155838518304152,0.32064824193315,0.29728152520738593,0.296161136932833,0.2984579583880707,0.3544453834388827,0.353057325081977,0.3564064502179761,,,,,,,,,,0.24317285418510434,0.2395052760839462,0.2476958185434341,0.18902172644933066,0.1881201416254043,0.1899268925189972,0.162326435248057,0.161689817905426,0.1628072708845138,,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,label_permutation_residual,3,207303,0.26549152663141234,0.2636910906732166,0.2665845652735688,0.7421333993670426,0.7401799731857736,0.7455314377426884,0.04050984351337703,0.0396264512872286,0.0415194346289752,0.16325929665152272,0.1627965673902069,0.1636799596163553,0.27620730270906946,0.273851590106007,0.2796567390206966,0.4638728323699422,0.453757225433526,0.4754335260115607,0.3743248456790123,0.3732638888888889,0.3752893518518518,0.3166931944243476,0.3139921863695558,0.32064824193315,0.2824572047706021,0.2552052693501503,0.296161136932833,0.3400005574184184,0.3107182296395765,0.3562261175337015,,,,,,,,,,0.24510627488295234,0.2395053058862686,0.2481177002191543,0.18927453955014542,0.1881201416254043,0.1899268925189972,0.16161637504895524,0.160759761929512,0.1624822169542312,,,,,,,,,,-0.0007229505081262333,-0.0023578710974603,0.0001890195730816,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,random_pca_residual,3,207303,0.2662682569059744,0.263735546068989,0.2686736789484469,0.744376381763042,0.7401213841595358,0.7474943227724533,0.039920915362611435,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2777216893824667,0.2752397778899546,0.2796567390206966,0.4571290944123314,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3184295567452853,0.3155838518304152,0.32064824193315,0.27324932865728235,0.2552070698550454,0.2984579583880707,0.3337416631425958,0.314179567704228,0.3564064502179761,,,,,,,,,,0.243261640270551,0.2395052760839462,0.2476958185434341,0.18899879356225333,0.1880901306867599,0.1899268925189972,0.16235134005546567,0.161689817905426,0.1628819704055786,,,,,,,,,,5.377976643571938e-05,0.0,0.0001168839035348,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,real_residual,3,207303,0.26993810573472393,0.2638575374617925,0.274920639008648,0.751225393960146,0.7467043012629659,0.7543818596987844,0.039794716473161636,0.037733467945482,0.0413932357395254,0.16346962813393906,0.1598939929328622,0.1654467440686522,0.2787733467945482,0.2747349823321555,0.2847046945986875,0.4556840077071291,0.4320809248554913,0.4739884393063583,0.3748070987654321,0.3666087962962963,0.3793402777777778,0.31963536391260305,0.3150050643901027,0.3264361163362755,0.2529652823271857,0.2440424657404823,0.260773532633579,0.2864285555354022,0.2742340977658917,0.3011343993857537,,,,,,,,,,0.23021332919597626,0.2187058925628662,0.237013578414917,0.18840637803077698,0.185123935341835,0.1900593787431717,0.16219568749268845,0.1598308235406875,0.1647488921880722,,,,,,,,,,0.0037236285951852337,0.0001664467885758,0.0063638439637359,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,shuffled_pca_residual,3,207303,0.2662611418977901,0.2637413654923455,0.2686465145005376,0.7443684043836568,0.7401250250873334,0.7474667497065001,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2776796230859835,0.2752397778899546,0.2795305401312468,0.45664739884393063,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3183813244585925,0.3155838518304152,0.3205035450730719,0.27416910629413344,0.2589075745306889,0.2984579583880707,0.33537134739374047,0.3194752777039384,0.3564064502179761,,,,,,,,,,0.24297886093457535,0.2395052760839462,0.2476958185434341,0.18903415401776633,0.1881962120532989,0.1899268925189972,0.16234797736008963,0.161689817905426,0.162886843085289,,,,,,,,,,4.6664758251509696e-05,0.0,8.971945562563644e-05,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,train_only_video_mean_residual,3,207303,0.2669905978512827,0.2642607442846491,0.2705873258550103,0.7473021746129231,0.744018614708538,0.7507180982298308,0.03958438499074537,0.0392478546188793,0.0398788490661282,0.16300689887262318,0.161660777385159,0.1641847551741544,0.2759128386336867,0.2732205956587582,0.27776375567895,0.4532755298651252,0.449421965317919,0.4566473988439306,0.3737461419753086,0.3706597222222222,0.3764467592592592,0.3163555684174986,0.3132687020691651,0.318477789031978,0.2498102440403154,0.2469779717915725,0.2545296045123794,0.3036484863627891,0.2993834992002292,0.3080809352944676,,,,,,,,,,0.24063785870869955,0.2364632487297058,0.245227575302124,0.18876942992210388,0.1866422295570373,0.1902352273464203,0.16140983502070105,0.1603655219078064,0.1621211171150207,,,,,,,,,,0.0007761207117440331,-0.0002718222862985,0.0020305308100982,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,diagnostics_only_residual,3,207303,0.265531287068141,0.2610967095130408,0.2689056334821074,0.7429532066914265,0.7356317344323025,0.747740609362344,0.039458186101295596,0.0389954568399798,0.0397526501766784,0.16359582702338885,0.1626703685007572,0.1643109540636042,0.27683829715631836,0.274987380111055,0.2780161534578496,0.45183044315992293,0.4465317919075144,0.4552023121387283,0.37509645061728397,0.372974537037037,0.3767361111111111,0.31741667872473833,0.315294458110259,0.3187671827521343,0.2677406851326873,0.2477708301026076,0.2851493619831538,0.32689573586911996,0.3012723607908011,0.347887910466555,,,,,,,,,,0.23727469146251676,0.2298317998647689,0.2424869686365127,0.18893170356750488,0.1872228384017944,0.1902472525835037,0.1622381707032521,0.1615767627954483,0.1626975834369659,,,,,,,,,,-0.0006831900713975999,-0.0025943811601758,0.0003488384371953,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,frozen_ar_only,3,207303,0.26621447713953855,0.2636910906732166,0.268556795044912,0.7444277772923665,0.7401799731857736,0.7475899203341895,0.03987884906612817,0.0396264512872286,0.0403836446239273,0.1635116944304223,0.1627965673902069,0.1640585562847047,0.2776796230859835,0.2752397778899546,0.2796567390206966,0.45664739884393063,0.453757225433526,0.4624277456647399,0.37490354938271603,0.3732638888888889,0.3761574074074074,0.3183813244585925,0.3155838518304152,0.32064824193315,0.29728152520738593,0.296161136932833,0.2984579583880707,0.3544453834388827,0.353057325081977,0.3564064502179761,,,,,,,,,,0.24317285418510434,0.2395052760839462,0.2476958185434341,0.18902172644933066,0.1881201416254043,0.1899268925189972,0.162326435248057,0.161689817905426,0.1628072708845138,,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,label_permutation_residual,3,207303,0.26459458703660804,0.2595994734065048,0.2675843295933444,0.7421721534162735,0.7350241316568733,0.7459937561533228,0.038995456839979764,0.0383644623927309,0.0396264512872286,0.16363789331987208,0.1622917718324078,0.1649419485108531,0.276291435302036,0.2752397778899546,0.2773851590106007,0.44653179190751446,0.4393063583815029,0.453757225433526,0.37519290123456783,0.3721064814814814,0.3781828703703703,0.31678965899773304,0.3155838518304152,0.3180436984517436,0.2622866038133161,0.2426400022641357,0.2972990067748831,0.3217442371069575,0.3014281914405658,0.3563966876925007,,,,,,,,,,0.23858302831649777,0.2355354875326156,0.2407083213329315,0.18873011569182077,0.1864192187786102,0.1899268925189972,0.161743625998497,0.1611449420452118,0.1623961180448532,,,,,,,,,,-0.0016198901029305665,-0.0040916172667118,0.0002044124094877,,,,,,
