target_name,target_type,architecture,seed,real_pr_auc,frozen_ar_only_pr_auc,real_minus_frozen_ar_only_pr_auc,shuffled_pca_residual_pr_auc,real_minus_shuffled_pca_residual_pr_auc,random_pca_residual_pr_auc,real_minus_random_pca_residual_pr_auc,label_permutation_residual_pr_auc,real_minus_label_permutation_residual_pr_auc,train_only_video_mean_residual_pr_auc,real_minus_train_only_video_mean_residual_pr_auc,real_top_5pct_lift,real_spearman,frozen_ar_only_top_5pct_lift,real_minus_frozen_ar_only_top_5pct_lift,real_minus_frozen_ar_only_spearman,shuffled_pca_residual_top_5pct_lift,real_minus_shuffled_pca_residual_top_5pct_lift,real_minus_shuffled_pca_residual_spearman,random_pca_residual_top_5pct_lift,real_minus_random_pca_residual_top_5pct_lift,real_minus_random_pca_residual_spearman,label_permutation_residual_top_5pct_lift,real_minus_label_permutation_residual_top_5pct_lift,real_minus_label_permutation_residual_spearman,train_only_video_mean_residual_top_5pct_lift,real_minus_train_only_video_mean_residual_top_5pct_lift,real_minus_train_only_video_mean_residual_spearman
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260625,0.2638575374617925,0.2636910906732166,0.00016644678857591355,0.2637413654923455,0.0001161719694470209,0.263735546068989,0.00012199139280349991,0.2636910906732166,0.00016644678857591355,0.2642607442846491,-0.00040320682285654996,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260626,0.274920639008648,0.268556795044912,0.006363843963736016,0.2686465145005376,0.006274124508110379,0.2686736789484469,0.00624696006020109,0.2661989239474516,0.0087217150611964,0.2705873258550103,0.004333313153637719,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,current_row_mlp_residual,20260627,0.2710361407337313,0.2663955457004872,0.004640595033244099,0.2663955457004872,0.004640595033244099,0.2663955457004872,0.004640595033244099,0.2665845652735688,0.004451575460162505,0.2661237234141886,0.004912417319542672,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260625,0.2664867211606335,0.2636910906732166,0.002795630487416878,0.2620366398995233,0.004450081261110184,0.2620119300497834,0.004474791110850085,0.2595994734065048,0.006887247754128689,0.2611910423083318,0.0052956788523016995,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260626,0.2712441067718227,0.268556795044912,0.002687311726910724,0.2654811322576904,0.005762974514132324,0.2670057525819236,0.004238354189899096,0.2675843295933444,0.0036597771784783184,0.2668480222159647,0.004396084555857993,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,delta_feature_mlp_residual,20260627,0.2636695873008366,0.2663955457004872,-0.002725958399650563,0.2652697580526674,-0.0016001707518307762,0.2646053981808313,-0.0009358108799946696,0.2665999581099749,-0.002930370809138272,0.2675133923508154,-0.003843805049978777,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260625,0.266263479384688,0.2636910906732166,0.002572388711471363,0.2614802147643074,0.0047832646203805895,0.2618135705602191,0.0044499088244688845,0.2588669940143505,0.007396485370337491,0.2484328375794414,0.017830641805246572,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260626,0.2704151650203189,0.268556795044912,0.0018583699754069483,0.2664708228120165,0.0039443422083024204,0.2673297766138667,0.0030853884064522274,0.2687549729753975,0.0016601920449214047,0.2664220696235891,0.003993095396729818,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,low_ar_confidence_temporal_residual,20260627,0.2697534707672098,0.2663955457004872,0.0033579250667226113,0.2663879681865747,0.0033655025806351158,0.2645025957730853,0.005250874994124466,0.2620368932288603,0.007716577538349478,0.2674847415562218,0.002268729210987974,,,,,,,,,,,,,,,,,
future_arousal_max_delta_rows_4_10_train_q90,binary,short_temporal_conv_residual,20260625,0.2697372518888213,0.2636910906732166,0.006046161215604695,0.2616537279609534,0.00808352392786793,0.2612616751561923,0.008475576732628998,0.2614046541905019,0.0083325976983194,0.2615367106748402,0.008200541213981116,,,,,,,,,,,,,,,,,
