target_name,validation_protocol,feature_family,feature_name,pca_width,model_lane,folds,rows_test_total,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,mean_f1,mean_balanced_accuracy,mean_precision,mean_recall,mean_top_1pct_recall,mean_top_5pct_recall,mean_top_10pct_recall,mean_delta_mae,mean_delta_mse,mean_delta_pearson,ar_only_mean_pr_auc,delta_vs_AR_only,phase3_raw_cortical_pr_auc,phase3_AR_plus_raw_cortical_pr_auc,delta_vs_phase3_raw_cortical,delta_vs_phase3_AR_plus_raw_cortical
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_only,5,235217,0.11818805812409112,0.008139760394207945,0.10658793327013878,0.1274165867044182,0.5398018095009438,0.1954522039043288,0.5424598296729227,0.11293510575357715,0.7267243744799001,0.02537556738787705,0.07200084311347082,0.11063616115702735,0.11522628672148214,0.020781110739166206,-0.19536449073954953,0.11818805812409112,0.0,0.1265,0.1273,-0.008311941875908876,-0.009111941875908872
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_PCA,5,235217,0.1231019879669168,0.005157523682327913,0.11407310545389926,0.126835623108661,0.5605334889588195,0.19040122383597113,0.5417586277376463,0.11969034813733903,0.47482949276374437,0.01582657576852464,0.07332570596554237,0.13735477462197257,0.11518475622237985,0.021289746806438664,-0.07222239016060841,0.11818805812409112,0.004913929842825682,0.1265,0.1273,-0.0033980120330831948,-0.00419801203308319
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_PCA_plus_temporal_diagnostics,5,235217,0.12373800542160529,0.004549583244497518,0.11637392252791545,0.12706570789228583,0.563766261724414,0.19427259453308116,0.5457689114904822,0.12121573379219128,0.4927623039999614,0.015866790294124355,0.074815315364788,0.13962861362175497,0.11523207974723833,0.021406878800406696,-0.06365564391166187,0.11818805812409112,0.005549947297514166,0.1265,0.1273,-0.002761994578394711,-0.003561994578394706
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_quality_motion_luma_control,5,235217,0.1139153469049374,0.006354614784483896,0.1054825875038038,0.12232577668805965,0.5370682498353629,0.19037491870374704,0.5313438437994404,0.10950695511811703,0.7285428639774043,0.016764609118985346,0.06472612410763182,0.11706626019494697,0.11529634396899258,0.020851527044264368,-0.16725607338790857,0.11818805812409112,-0.004272711219153721,0.1265,0.1273,-0.012584653095062598,-0.013384653095062593
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_random_matched_PCA_control,5,235217,0.11173446460895117,0.007000730506270905,0.10221644838992906,0.12107744377964882,0.5349666009522548,0.18918594661034477,0.5292555472078195,0.10913690938911838,0.7136087624923083,0.015240036832974879,0.05908261651489659,0.11052112672204881,0.11530226123021789,0.02084461685598432,-0.1664434416862433,0.11818805812409112,-0.006453593515139952,0.1265,0.1273,-0.014765535391048829,-0.015565535391048824
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_shuffled_PCA_control,5,235217,0.11632815368548506,0.01180505897960955,0.10123763248474744,0.13294817982461804,0.5316541482979372,0.1868173169307502,0.5264487651775152,0.10858879253288267,0.6774590544359814,0.019678991242443152,0.06841667225265571,0.12110963082348099,0.11528696747230546,0.020838431098638848,-0.15935106005475225,0.11818805812409112,-0.0018599044386060637,0.1265,0.1273,-0.01017184631451494,-0.010971846314514935
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,AR_plus_timestamp_video_time_control,5,235217,0.11375010249051534,0.009014028081155085,0.10229550176377128,0.12731149474518347,0.5431356310586676,0.19192652428607682,0.5341414952386029,0.11002292881683873,0.7521950142249175,0.014416286447072883,0.059674347477286074,0.1143201122627946,0.11521517911024519,0.02081609715969738,-0.1568337090968343,0.11818805812409112,-0.0044379556335757825,0.1265,0.1273,-0.012749897509484659,-0.013549897509484654
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,PCA_only,5,235217,0.12176847380827063,0.006739646073365855,0.11050830671359624,0.1279735933343724,0.5508691805439148,0.18772550966377083,0.5367449516361903,0.11715652495869222,0.47472287975892113,0.016729204794422116,0.07455369916048868,0.13954403678673405,0.1144655689774027,0.02074608336350515,-0.00041353958723671475,0.11818805812409112,0.003580415684179508,0.1265,0.1273,-0.004731526191729368,-0.0055315261917293634
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,PCA_plus_temporal_diagnostics,5,235217,0.12210739422866615,0.005638569621791902,0.11331077451752523,0.12625463622394945,0.5555792496944718,0.18658364447333345,0.5381777553369131,0.12031869059670046,0.42763930293049424,0.016249140256057743,0.07309708300508286,0.1401930901492677,0.11455843701947854,0.020894866494728433,-0.0011102285363173245,0.11818805812409112,0.003919336104575025,0.1265,0.1273,-0.004392605771333852,-0.005192605771333847
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,quality_motion_luma_only_control,5,235217,0.10670929017483921,0.003728387961444722,0.10169030274428514,0.11210407227851997,0.5117545468217475,0.18256019722404687,0.5053170607127754,0.10214365553831972,0.8589607497276119,0.012788364568568758,0.062370049603482317,0.11605423799408902,0.11463570847494893,0.020296240796923753,-0.029131019591720913,0.11818805812409112,-0.011478767949251914,0.1265,0.1273,-0.01979070982516079,-0.020590709825160786
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,random_matched_PCA_control,5,235217,0.10039111657021996,0.0017293706232057735,0.09845530852591715,0.10314333643578438,0.4980268561085774,0.1799698076326922,0.4984118304794286,0.10069001385898915,0.8485078110592316,0.008936295907880778,0.047980545345228505,0.097799125986892,0.11445346523639448,0.020155347103943646,-0.0007344094524783647,0.11818805812409112,-0.017796941553871168,0.1265,0.1273,-0.026108883429780044,-0.02690888342978004
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,residualized_AR_plus_PCA,5,235217,0.12295060028058483,0.004818559692622735,0.11439958156548968,0.1259975267526237,0.5611008486679241,0.1923428814170897,0.5438105579988417,0.11965332502233597,0.49872600170469755,0.01603998643233206,0.07284208664751136,0.13722068325959558,0.11528596880191862,0.02136957404405434,-0.07912016664121516,0.11818805812409112,0.0047625421564937015,0.1265,0.1273,-0.003549399719415175,-0.00434939971941517
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,5,235217,0.12361725922083197,0.004322250001116327,0.11656578429207434,0.126949305555304,0.5643637690987626,0.19497494510025823,0.5467885471025464,0.12167107661345256,0.4943744457561071,0.015530536477787122,0.07403663993656609,0.13934036047611464,0.11537071614173929,0.021513244626618223,-0.07253217176410634,0.11818805812409112,0.005429201096740846,0.1265,0.1273,-0.0028827407791680304,-0.0036827407791680256
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,shuffled_PCA_control,5,235217,0.10136499098098153,0.001700111199726224,0.09969414977211188,0.10353634208681683,0.5002193852113759,0.17925387776368,0.4981504159620159,0.10060887023457252,0.8270988756354816,0.009767614159504154,0.05075530633172428,0.10121487179475323,0.11446555320771239,0.020158876099734897,-0.001857651635002265,0.11818805812409112,-0.01682306714310959,0.1265,0.1273,-0.025135009019018467,-0.025935009019018462
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,shuffled_temporal_diagnostics_control,5,235217,0.10141823701667665,0.0030450207283973588,0.0974383635649761,0.10450064706678955,0.5012845551029146,0.18203514885424982,0.4994658481164934,0.10091668513311988,0.9296122991591472,0.009478457087403311,0.05081402678849055,0.10054105777761835,0.11443151149459282,0.02012195646360184,-0.001136751175175366,0.11818805812409112,-0.01676982110741447,0.1265,0.1273,-0.025081762983323347,-0.025881762983323342
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca128_current,128,timestamp_video_time_only_control,5,235217,0.11293509196850886,0.008637726366275838,0.10096587106168593,0.12443090868499425,0.5260326870593801,0.1826517695213044,0.5035125303769593,0.10171711115174116,0.8965852785862095,0.014903194396664123,0.06525284629061795,0.12355787156509516,0.11451771088156588,0.020290683152451562,-0.03350427261036528,0.11818805812409112,-0.005252966155582267,0.1265,0.1273,-0.013564908031491144,-0.014364908031491139
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_only,5,235217,0.11818805812409112,0.008139760394207945,0.10658793327013878,0.1274165867044182,0.5398018095009438,0.1954522039043288,0.5424598296729227,0.11293510575357715,0.7267243744799001,0.02537556738787705,0.07200084311347082,0.11063616115702735,0.11522628672148214,0.020781110739166206,-0.19536449073954953,0.11818805812409112,0.0,0.1265,0.1273,-0.008311941875908876,-0.009111941875908872
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_PCA,5,235217,0.12336465703115933,0.005667785592571939,0.11331478862295685,0.12649506513982128,0.5611584033722202,0.19400639586940718,0.5453107154161501,0.12046165890666298,0.5022243502467517,0.015434448082517427,0.07542352249943797,0.13968234560191817,0.11520392663591006,0.02135014995818619,-0.0656714526685877,0.11818805812409112,0.005176598907068203,0.1265,0.1273,-0.0031353429688406736,-0.003935342968840669
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_PCA_plus_temporal_diagnostics,5,235217,0.12402807145507284,0.00494921184474829,0.11595415351644449,0.12795027884543994,0.5656637724081668,0.19561690829315184,0.547683610715696,0.12255018033420133,0.4857128037301635,0.015003604027662293,0.07405504724826892,0.14326231095219616,0.11524621292590678,0.021489600049627144,-0.05841447897256082,0.11818805812409112,0.005840013330981719,0.1265,0.1273,-0.002471928544927157,-0.0032719285449271523
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_quality_motion_luma_control,5,235217,0.1139153469049374,0.006354614784483896,0.1054825875038038,0.12232577668805965,0.5370682498353629,0.19037491870374704,0.5313438437994404,0.10950695511811703,0.7285428639774043,0.016764609118985346,0.06472612410763182,0.11706626019494697,0.11529634396899258,0.020851527044264368,-0.16725607338790857,0.11818805812409112,-0.004272711219153721,0.1265,0.1273,-0.012584653095062598,-0.013384653095062593
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_random_matched_PCA_control,5,235217,0.11103825939278784,0.006601102376034838,0.10159654999409393,0.11756370489063972,0.5323687187519178,0.18728733369501308,0.5268918101668008,0.10899120537879683,0.6694209885289311,0.014029926631234077,0.05915666712012833,0.11381332905519052,0.11533404829312596,0.020877971171530004,-0.1571249866720378,0.11818805812409112,-0.007149798731303281,0.1265,0.1273,-0.015461740607212157,-0.016261740607212152
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_shuffled_PCA_control,5,235217,0.11080043442178404,0.006310415026980627,0.10122081470526254,0.11750611071683775,0.5321936103265951,0.1870483068655086,0.5254075754237297,0.10823541919732824,0.6888621111271821,0.014049032082681188,0.058092421743905276,0.11243615090414727,0.11541656790079446,0.02089798298406339,-0.15509376423195106,0.11818805812409112,-0.007387623702307083,0.1265,0.1273,-0.01569956557821596,-0.016499565578215955
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,AR_plus_timestamp_video_time_control,5,235217,0.11375010249051534,0.009014028081155085,0.10229550176377128,0.12731149474518347,0.5431356310586676,0.19192652428607682,0.5341414952386029,0.11002292881683873,0.7521950142249175,0.014416286447072883,0.059674347477286074,0.1143201122627946,0.11521517911024519,0.02081609715969738,-0.1568337090968343,0.11818805812409112,-0.0044379556335757825,0.1265,0.1273,-0.012749897509484659,-0.013549897509484654
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,PCA_only,5,235217,0.12223661838015454,0.007021201593964736,0.11014935531890782,0.1272037251430528,0.5529094214407574,0.18738320730419283,0.5379832441806945,0.11871111831664127,0.44771548735745564,0.016422162819293255,0.07450980237408539,0.14109529841465587,0.11453199154467945,0.02084523253310685,-0.0014345511834707382,0.11818805812409112,0.004048560256063413,0.1265,0.1273,-0.004263381619845463,-0.005063381619845458
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,PCA_plus_temporal_diagnostics,5,235217,0.12281783021037648,0.005556174167673078,0.11410579748196165,0.12672449637549482,0.5586212426142455,0.190087632005409,0.5412371167520276,0.12051747745807306,0.45334054478486596,0.016296916308309577,0.07438645071934688,0.1428560510548274,0.11459637198464878,0.02100226590176012,-0.000611515337836797,0.11818805812409112,0.004629772086285358,0.1265,0.1273,-0.0036821697896235184,-0.0044821697896235135
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,quality_motion_luma_only_control,5,235217,0.10670929017483921,0.003728387961444722,0.10169030274428514,0.11210407227851997,0.5117545468217475,0.18256019722404687,0.5053170607127754,0.10214365553831972,0.8589607497276119,0.012788364568568758,0.062370049603482317,0.11605423799408902,0.11463570847494893,0.020296240796923753,-0.029131019591720913,0.11818805812409112,-0.011478767949251914,0.1265,0.1273,-0.01979070982516079,-0.020590709825160786
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,random_matched_PCA_control,5,235217,0.1006601809033489,0.003450302064959717,0.09672052706028404,0.10408468528274221,0.49751572060061655,0.17923767515634423,0.4998048843122163,0.10096977905065155,0.7982240363318465,0.010508326295096067,0.04924115353175297,0.09836324938238947,0.1144605701818571,0.02017462675280542,-0.00020707131541922684,0.11818805812409112,-0.017527877220742227,0.1265,0.1273,-0.025839819096651104,-0.0266398190966511
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,residualized_AR_plus_PCA,5,235217,0.12327159273785919,0.0053690512791543625,0.11371767144235731,0.12637484465559942,0.5618501647337255,0.19367597939361492,0.5450987366499873,0.12082263302282459,0.4913874191062629,0.015604397257142199,0.0744536868228082,0.13857292915505662,0.11534735390289134,0.021462570005806376,-0.07534555674839193,0.11818805812409112,0.005083534613768065,0.1265,0.1273,-0.0032284072621408116,-0.004028407262140807
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,5,235217,0.12413990015566294,0.004389257490869899,0.117050322326044,0.12792690170404114,0.5665588285876404,0.19485932188665891,0.5472919925963204,0.12240148329467519,0.48442921998069305,0.01517782085777009,0.07498395425509632,0.1423104185029594,0.11540951919969702,0.021616681127997316,-0.06795018476211263,0.11818805812409112,0.0059518420315718135,0.1265,0.1273,-0.002360099844337063,-0.003160099844337058
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,shuffled_PCA_control,5,235217,0.10050847271142611,0.003250818908839341,0.09566783666899814,0.10384706202875167,0.4969891728368706,0.17853188383316612,0.4985336008218974,0.10066757318337216,0.791040047822416,0.009900885387410189,0.049238560314219026,0.09817979017864426,0.11455352719198464,0.020191483485452428,-0.0005953871778070231,0.11818805812409112,-0.01767958541266501,0.1265,0.1273,-0.025991527288573887,-0.026791527288573883
arousal_abs_delta_p4rows_train_q90,grouped_video,current,cortical_pca192_current,192,shuffled_temporal_diagnostics_control,5,235217,0.10141823701667665,0.0030450207283973588,0.0974383635649761,0.10450064706678955,0.5012845551029146,0.18203514885424982,0.4994658481164934,0.10091668513311988,0.9296122991591472,0.009478457087403311,0.05081402678849055,0.10054105777761835,0.11443151149459282,0.02012195646360184,-0.001136751175175366,0.11818805812409112,-0.01676982110741447,0.1265,0.1273,-0.025081762983323347,-0.025881762983323342
