target_name,validation_protocol,pca_width,model_lane,mean_pr_auc
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_only,0.11597058006154087
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_PCA,0.1324041847049665
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_PCA_plus_temporal_diagnostics,0.13430607731162925
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_quality_motion_luma_control,0.11311411051375377
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_random_matched_PCA_control,0.15908318532879495
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_shuffled_PCA_control,0.11704635916199618
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,AR_plus_timestamp_video_time_control,0.11317012630460474
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,PCA_only,0.14358917879580557
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,PCA_plus_temporal_diagnostics,0.14498783193568204
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,quality_motion_luma_only_control,0.12458243459653645
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,random_matched_PCA_control,0.12457661079143524
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,residualized_AR_plus_PCA,0.1327026618638253
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.134869694864175
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,shuffled_PCA_control,0.12432278047192577
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,shuffled_temporal_diagnostics_control,0.12018045948982192
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,256,timestamp_video_time_only_control,0.12528914750494685
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_PCA,0.12309838606431686
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_PCA_plus_temporal_diagnostics,0.1236727491412934
arousal_abs_delta_p4rows_train_q90,grouped_video,64,AR_plus_quality_motion_luma_control,0.1139153469049374
