target_name,validation_protocol,feature_family,model_lane,mean_pr_auc
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_random_matched_PCA_control,0.11209634889291745
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_shuffled_PCA_control,0.11227328945542628
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_timestamp_video_time_control,0.11317012630460474
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,PCA_only,0.14874172820756953
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,PCA_plus_temporal_diagnostics,0.15133663780507747
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,quality_motion_luma_only_control,0.12458243459653645
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,random_matched_PCA_control,0.12402105928620692
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,residualized_AR_plus_PCA,0.13403506703517443
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.13696650905070018
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,shuffled_PCA_control,0.12370330087745082
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,shuffled_temporal_diagnostics_control,0.12018045948982192
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,temporal_then_pca,timestamp_video_time_only_control,0.12528914750494685
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_PCA,0.12369639583688348
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_PCA_plus_temporal_diagnostics,0.12449967638890753
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_random_matched_PCA_control,0.11316674774671229
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_shuffled_PCA_control,0.11632815368548506
arousal_abs_delta_p4rows_train_q90,grouped_video,current,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,current,PCA_only,0.12271326670025476
arousal_abs_delta_p4rows_train_q90,grouped_video,current,PCA_plus_temporal_diagnostics,0.12358160014393116
arousal_abs_delta_p4rows_train_q90,grouped_video,current,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,current,random_matched_PCA_control,0.10160915963979278
arousal_abs_delta_p4rows_train_q90,grouped_video,current,residualized_AR_plus_PCA,0.12363778718149418
arousal_abs_delta_p4rows_train_q90,grouped_video,current,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12465138449273547
arousal_abs_delta_p4rows_train_q90,grouped_video,current,shuffled_PCA_control,0.10136499098098153
arousal_abs_delta_p4rows_train_q90,grouped_video,current,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,current,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_PCA,0.11523375640836267
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_PCA_plus_temporal_diagnostics,0.11723078856256457
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_random_matched_PCA_control,0.11284122451728174
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_shuffled_PCA_control,0.11364893849223193
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,PCA_only,0.10945558295177842
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,PCA_plus_temporal_diagnostics,0.11359998884535254
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,random_matched_PCA_control,0.10129376449081892
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,residualized_AR_plus_PCA,0.11516874882094452
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.11710492180685006
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,shuffled_PCA_control,0.10229235169967539
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,delta,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_PCA,0.12390880792231851
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_PCA_plus_temporal_diagnostics,0.12449967638890753
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_random_matched_PCA_control,0.11376952481529926
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_shuffled_PCA_control,0.11343436848422202
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,PCA_only,0.12313823914842811
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,PCA_plus_temporal_diagnostics,0.12361626615848102
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,random_matched_PCA_control,0.10300219225467137
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,residualized_AR_plus_PCA,0.12381582696777901
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12465138449273547
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,shuffled_PCA_control,0.10245205610604184
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,pca_then_temporal,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_PCA,0.12341216476263472
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_PCA_plus_temporal_diagnostics,0.12367865393431166
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_random_matched_PCA_control,0.11241864867715605
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_shuffled_PCA_control,0.11434805639115761
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,PCA_only,0.12270965950752517
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,PCA_plus_temporal_diagnostics,0.12285133445596934
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,random_matched_PCA_control,0.10113804465021932
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,residualized_AR_plus_PCA,0.1233235437474894
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12373548880278902
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,shuffled_PCA_control,0.10166729013256111
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,temporal_then_pca,timestamp_video_time_only_control,0.11293509196850886
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_only,0.26193773027780903
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_PCA,0.23429514723478506
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_PCA_plus_temporal_diagnostics,0.2298371259505306
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_quality_motion_luma_control,0.24884582991796253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,current,AR_plus_random_matched_PCA_control,0.257177635713412
