schema_version,target_name,target_value_column,target_mask_column,target_threshold_train_only,target_threshold_quantile,target_transform,validation_protocol,fold,model_lane,n_train,n_test,train_videos,test_videos,train_event_count,test_event_count,train_positive_rate,test_positive_rate,feature_width,decision_threshold_train_only,uses_future_features,uses_train_only_transform,vjepa_encoding_run,tribe_encoding_run,pca_run,pr_auc,roc_auc,f1,balanced_accuracy,precision,recall,accuracy,top_1pct_recall,top_5pct_recall,top_10pct_recall,predicted_positive_rate,predicted_positive_count,delta_mae,delta_mse,delta_pearson
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15704058010258418,0.9,positive_delta,grouped_video,1,AR_only,186467,46622,796,199,18647,4837,0.10000160886376679,0.10374930290420831,7,0.09608681499958038,False,True,False,False,False,0.16862829478665933,0.6203883332303799,0.22446890197082162,0.5884680552506878,0.13278322419470837,0.7252429191647716,0.48007378490841235,0.03638618978705809,0.11990903452553235,0.19206119495555096,0.5666638067864956,26419,0.09831827511426987,0.01477531033540217,0.21676563558041764
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15642857142856914,0.9,positive_delta,grouped_video,2,AR_only,186470,46619,796,199,18651,4926,0.10002145117177026,0.10566507218087046,7,0.0960838571190834,False,True,False,False,False,0.15943504166960562,0.6171151914815659,0.22817975080875053,0.5889272523005411,0.13546301578246814,0.7231019082419813,0.48310774576889254,0.02781161185546082,0.11226146975233454,0.17986195696305318,0.5640404127072652,26295,0.0996009526763979,0.014996103841432488,0.21362846067162503
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15625,0.9,positive_delta,grouped_video,3,AR_only,186480,46609,796,199,18656,4981,0.10004290004290005,0.10686777231865091,7,0.09622012078762054,False,True,False,False,False,0.1575410519369319,0.6027358463940624,0.22105031861129423,0.5729227608585151,0.13100907873195416,0.7068861674362578,0.4675920959471347,0.02911062035735796,0.11845011041959445,0.1806866091146356,0.5766268317277778,26876,0.09917031118633414,0.014728768436879735,0.20014309008086417
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16,0.9,positive_delta,grouped_video,4,AR_only,186452,46637,796,199,18646,4307,0.10000429064853153,0.09235156635289576,7,0.09610388427972794,False,True,False,False,False,0.15354447139116995,0.6155399977105598,0.1996700203810941,0.5804604780585898,0.11599759434671478,0.7165080102159276,0.46954135128760427,0.0410958904109589,0.137682841885303,0.1871372184815417,0.5704483564551751,26604,0.09702132798369878,0.014145436260644672,0.21422888741182855
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16000000000000003,0.9,positive_delta,grouped_video,5,AR_only,186487,46602,796,199,18667,4275,0.10009813016456912,0.09173426033217459,7,0.09559585154056549,False,True,False,False,False,0.1418723132993132,0.595528459361996,0.1962850568579718,0.5752450905419335,0.11446017423771002,0.6884210526315789,0.48283335479163986,0.04093567251461988,0.11415204678362573,0.16982456140350877,0.5517359769966954,25712,0.09630149722716584,0.014310531942879692,0.18358010076309852
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.153846154,0.9,positive_delta,blocked_temporal_70_30,1,AR_only,162758,70331,995,995,16361,7824,0.10052347657258015,0.11124539676671738,7,0.13348349332809448,False,True,False,False,False,0.20362280980175984,0.6704334441740889,0.19601837672281777,0.5507766279460954,0.2653283875190923,0.1554192229038855,0.8581706502111445,0.037321063394683024,0.13254089979550102,0.20679959100204498,0.06516329925637343,4583,0.0932461439259792,0.014415688367010729,0.2253318949190494
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05885150026254019,0.9,positive_delta,grouped_video,1,AR_only,189793,47438,796,199,18980,4395,0.10000368822875448,0.09264724482482398,7,0.13028155267238617,False,True,False,False,False,0.19704187172499632,0.6614966719657568,0.2924944812362031,0.6119410657866091,0.2840300107181136,0.3014789533560865,0.8648762595387663,0.03162684869169511,0.18748577929465302,0.3037542662116041,0.0983388844386357,4665,0.1049976506373036,0.014368315798219946,0.21979392626989214
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05833333309999999,0.9,positive_delta,grouped_video,2,AR_only,189800,47431,796,199,18980,4815,0.1,0.10151588623474099,7,0.13046950697898865,False,True,False,False,False,0.2170268034143511,0.6528168087454318,0.30905263157894736,0.6146962509607885,0.3133404482390608,0.30488058151609554,0.8616094958993064,0.037383177570093455,0.18359293873312565,0.3063343717549325,0.09877506272269192,4685,0.10488669798987742,0.014487458125390696,0.24734187170549232
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058110430492643694,0.9,positive_delta,grouped_video,3,AR_only,189781,47450,796,199,18979,4908,0.1000047423082395,0.10343519494204426,7,0.13120029866695404,False,True,False,False,False,0.21290711420838143,0.6456588090308338,0.30201066885514977,0.6103748395037348,0.30413223140495865,0.29991850040749796,0.8566069546891465,0.0356560717196414,0.1752241238793806,0.2968622656886716,0.10200210748155954,4840,0.10744912669419932,0.01560077365700131,0.21077893692934957
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058823529999999985,0.9,positive_delta,grouped_video,4,AR_only,189784,47447,796,199,18989,4467,0.10005585296969186,0.09414715366619597,7,0.1301160424947739,False,True,False,False,False,0.1978201102386155,0.6643940939934578,0.2907926694634577,0.6093268895117632,0.28686560662165106,0.29482874412357285,0.8646068244567623,0.031117080814864563,0.17931497649429148,0.29997761361092457,0.09676059603346893,4591,0.1039085843737184,0.01417976927331887,0.21732667392148422
