benchmark_mode,representation_name,feature_name,split,target,threshold,task_type,canonical_prediction_key,lane,is_control,train_rows,test_rows,train_videos,test_videos,computed_fresh,ridge_only,f1,balanced_accuracy,precision,recall,accuracy,tp,fp,fn,tn,decision_threshold,pr_auc,positive_class_rate,event_count,top_1pct_recall,top_5pct_recall,top_10pct_recall,top_event_count_recall
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,mean_train,mean_train,True,5989,2956,124,124,True,True,0.23416965352449226,0.5,0.13261163734776726,1.0,0.13261163734776726,392.0,2564.0,0.0,0.0,0.17398564034062447,0.1672412833758784,0.13261163734776726,392.0,0.015306122448979591,0.07397959183673469,0.14030612244897958,0.20153061224489796
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,time_ridge,time_ridge,True,5989,2956,124,124,True,True,0.17860300618921307,0.5044115540131809,0.13667117726657646,0.2576530612244898,0.685723951285521,101.0,638.0,291.0,1926.0,0.15519250593113548,0.12903577286525997,0.13261163734776726,392.0,0.00510204081632653,0.04336734693877551,0.11224489795918367,0.14285714285714285
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,shuffled_PCA128,shuffled_PCA128,True,5989,2956,124,124,True,True,0.222509702457956,0.5278900951956446,0.14904679376083188,0.4387755102040816,0.5933694181326117,172.0,982.0,220.0,1582.0,0.1750864872925551,0.14908805540728087,0.13261163734776726,392.0,0.017857142857142856,0.0663265306122449,0.12755102040816327,0.16581632653061223
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,random_gaussian_PCA128,random_gaussian_PCA128,True,5989,2956,124,124,True,True,0.22685571309424524,0.5087952497691745,0.13559322033898305,0.6938775510204082,0.37280108254397837,272.0,1734.0,120.0,830.0,0.1483481079144061,0.13315222867169005,0.13261163734776726,392.0,0.012755102040816327,0.05357142857142857,0.09438775510204081,0.13010204081632654
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,autoregressive_plus_shuffled_PCA128,AR_plus_shuffled_PCA128,True,5989,2956,124,124,True,True,0.3534057255676209,0.6421228787927027,0.2882447665056361,0.45663265306122447,0.7784167794316644,179.0,442.0,213.0,2122.0,0.21870433489992158,0.33444570591629025,0.13261163734776726,392.0,0.0663265306122449,0.1760204081632653,0.29846938775510207,0.35714285714285715
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,autoregressive_plus_random_gaussian_PCA128,AR_plus_random_PCA128,True,5989,2956,124,124,True,True,0.3272058823529412,0.6508186347862077,0.2153225806451613,0.6811224489795918,0.628552097428958,267.0,973.0,125.0,1591.0,0.2403742101526056,0.32938724849146495,0.13261163734776726,392.0,0.058673469387755105,0.1760204081632653,0.29846938775510207,0.35714285714285715
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,residualized_autoregressive_plus_shuffled_PCA128,residualized_AR_plus_shuffled_PCA128,True,5989,2956,124,124,True,True,0.3078730904817861,0.6298154987423987,0.2,0.6683673469387755,0.6014884979702301,262.0,1048.0,130.0,1516.0,0.22776572774703963,0.33171032454804084,0.13261163734776726,392.0,0.061224489795918366,0.18112244897959184,0.30612244897959184,0.35459183673469385
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.05,binary,residualized_autoregressive_plus_random_gaussian_PCA128,residualized_AR_plus_random_PCA128,True,5989,2956,124,124,True,True,0.2923387096774194,0.6159978031774332,0.18216080402010051,0.7397959183673469,0.5250338294993234,290.0,1302.0,102.0,1262.0,0.21739537101140563,0.3197489306549909,0.13261163734776726,392.0,0.058673469387755105,0.17346938775510204,0.29081632653061223,0.3469387755102041
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,mean_train,mean_train,True,5989,2956,124,124,True,True,0.14321608040201003,0.5,0.07713125845737483,1.0,0.07713125845737483,228.0,2728.0,0.0,0.0,0.10185339789614292,0.09341183029343447,0.07713125845737483,228.0,0.017543859649122806,0.06578947368421052,0.13596491228070176,0.08771929824561403
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,time_ridge,time_ridge,True,5989,2956,124,124,True,True,0.10693069306930693,0.513389411946288,0.09747292418772563,0.11842105263157894,0.8474289580514208,27.0,250.0,201.0,2478.0,0.10147343823964072,0.07371232192018495,0.07713125845737483,228.0,0.0,0.043859649122807015,0.12719298245614036,0.09210526315789473
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,shuffled_PCA128,shuffled_PCA128,True,5989,2956,124,124,True,True,0.11155378486055778,0.5035788701960179,0.08,0.18421052631578946,0.773680649526387,42.0,483.0,186.0,2245.0,0.13471484266536876,0.0778227288703029,0.07713125845737483,228.0,0.0,0.04824561403508772,0.10087719298245613,0.07894736842105263
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,random_gaussian_PCA128,random_gaussian_PCA128,True,5989,2956,124,124,True,True,0.12581344902386116,0.5106240675001286,0.08357348703170028,0.2543859649122807,0.7273342354533153,58.0,636.0,170.0,2092.0,0.1349965161367558,0.08657481738282302,0.07713125845737483,228.0,0.013157894736842105,0.043859649122807015,0.12719298245614036,0.08771929824561403
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,autoregressive_plus_shuffled_PCA128,AR_plus_shuffled_PCA128,True,5989,2956,124,124,True,True,0.1764389456697149,0.5907708236867829,0.10055180870631514,0.7192982456140351,0.4820703653585927,164.0,1467.0,64.0,1261.0,0.2416743994762877,0.19316812378767778,0.07713125845737483,228.0,0.07456140350877193,0.18859649122807018,0.2675438596491228,0.23684210526315788
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,autoregressive_plus_random_gaussian_PCA128,AR_plus_random_PCA128,True,5989,2956,124,124,True,True,0.16404040404040401,0.5705420075114472,0.09034267912772585,0.8903508771929824,0.30006765899864685,203.0,2044.0,25.0,684.0,0.17839480610148564,0.19433237603384615,0.07713125845737483,228.0,0.07894736842105263,0.17982456140350878,0.2631578947368421,0.23684210526315788
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,residualized_autoregressive_plus_shuffled_PCA128,residualized_AR_plus_shuffled_PCA128,True,5989,2956,124,124,True,True,0.18037974683544303,0.6006231671554252,0.10251798561151079,0.75,0.4742895805142084,171.0,1497.0,57.0,1231.0,0.21451342494143744,0.20163265234487251,0.07713125845737483,228.0,0.07456140350877193,0.19736842105263158,0.27631578947368424,0.2412280701754386
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_spike_1_3s,0.075,binary,residualized_autoregressive_plus_random_gaussian_PCA128,residualized_AR_plus_random_PCA128,True,5989,2956,124,124,True,True,0.17714884696016772,0.5936712198384524,0.1005952380952381,0.7412280701754386,0.4688768606224628,169.0,1511.0,59.0,1217.0,0.22535638565056845,0.19695124693340338,0.07713125845737483,228.0,0.07456140350877193,0.19298245614035087,0.2675438596491228,0.2149122807017544
existing_suite_with_frozen_tensor_adapter,pca_sequence_128_causal_past_2s_mean,PCA128,blocked,arousal__future_change_p3s_movement,0.05,binary,mean_train,mean_train,True,5989,2708,124,123,True,True,0.3957345971563981,0.5,0.2466765140324963,1.0,0.2466765140324963,668.0,2040.0,0.0,0.0,0.2603105693771915,0.3054153809034922,0.2466765140324963,668.0,0.020958083832335328,0.08982035928143713,0.1467065868263473,0.29191616766467066
