fold,group,spearman_real_minus_ar,spearman_real_minus_best_control,top5_real_minus_ar,top5_real_minus_best_control
1,1,0.022937463605765457,0.023413442261745215,0.0031710267066955566,0.0034277886152267456
1,2,0.035160746023459755,0.03484866836933581,0.006364762783050537,0.006309717893600464
1,3,0.024016959213932654,0.024394600321211407,0.008445098996162415,0.007915273308753967
2,1,0.011520814518957395,0.01235086416618078,0.0034128129482269287,0.0034128129482269287
2,2,0.0171459078404744,0.0171459078404744,0.010245025157928467,0.009381398558616638
2,3,0.000651114631563976,0.0016576089984407794,0.002792730927467346,0.0016945749521255493
3,1,0.018741947660907615,0.019078741787136005,0.005919128656387329,0.005919128656387329
3,2,0.028938665863802643,0.029197496720239663,0.009015470743179321,0.008561566472053528
3,3,0.021536737046618737,0.022149785388605736,0.003590881824493408,0.0037058740854263306
4,1,0.018007596012469318,0.018298362445344496,0.01750132441520691,0.01750132441520691
4,2,0.0150462915578507,0.01454695599384953,0.01682382822036743,0.016608670353889465
4,3,0.01332676890199258,0.01332676890199258,0.01631130278110504,0.016391322016716003
5,1,0.024917748608364487,0.025050313290037596,0.00557418167591095,0.005627185106277466
5,2,0.030384739945426564,0.030659892750530215,0.0071465373039245605,0.007720381021499634
5,3,0.014126158373148456,0.014612270077411005,0.004159614443778992,0.004159614443778992
