row_type,group,seed,lane,ar_test_checksum,continuous_pearson,continuous_spearman,continuous_mae,continuous_rmse,continuous_bias,peak_underprediction,binary_pr_auc,binary_roc_auc,binary_pr_auc_from_continuous_prediction,top_1pct_continuous_lift,top_1pct_avg_true_movement,ndcg_at_1pct,top_1pct_spike_recall_from_continuous_prediction,top_5pct_continuous_lift,top_5pct_avg_true_movement,ndcg_at_5pct,top_5pct_spike_recall_from_continuous_prediction,top_10pct_continuous_lift,top_10pct_avg_true_movement,ndcg_at_10pct,top_10pct_spike_recall_from_continuous_prediction,delta_vs_frozen_ar_continuous_spearman,delta_vs_frozen_ar_continuous_pearson,delta_vs_frozen_ar_top_1pct_continuous_lift,delta_vs_frozen_ar_top_5pct_continuous_lift,delta_vs_frozen_ar_top_10pct_continuous_lift,delta_vs_frozen_ar_ndcg_at_1pct,delta_vs_frozen_ar_ndcg_at_5pct,delta_vs_frozen_ar_ndcg_at_10pct,delta_vs_frozen_ar_binary_pr_auc,delta_vs_frozen_ar_binary_pr_auc_from_continuous_prediction,member_seeds
member,1,20260684,frozen_ar_only,b1efc6294c7f6be286efcb290f8a7930,0.2057217093316616,0.12724337901509158,0.11111756414175034,0.14774066716980724,0.03775651007890701,0.3106917440891266,0.122477143578642,0.4058023159331807,0.24037470322576387,0.11105158645659685,0.1234753280878067,0.7069403894536972,0.030756540183832195,0.07647616136819124,0.08889990299940109,0.770287730968765,0.1381098279519208,0.06374808121472597,0.07617182284593582,0.8113076903451939,0.24334197501767618,,,,,,,,,,,
member,1,20260684,real_residual,b1efc6294c7f6be286efcb290f8a7930,0.20853472598360598,0.12752082906783205,0.11177030950784683,0.1483114548138757,0.04010705649852753,0.30709588527679443,0.2428508382452017,0.6958945045683808,0.2428508382452017,0.11654190439730883,0.12896564602851868,0.7095895678008072,0.031463587084609945,0.0774906249716878,0.08991436660289764,0.7709878708027011,0.13787414565166156,0.06296441424638033,0.07538815587759018,0.8108313943686265,0.2426349281168984,0.0002774500527404633,0.002813016651944389,0.005490317940711975,0.0010144636034965515,-0.0007836669683456421,0.0026491783471099817,0.0007001398339361309,-0.00047629597656739797,0.1203736946665597,0.0024761350194378307,
member,1,20260684,shuffled_pca_residual,b1efc6294c7f6be286efcb290f8a7930,0.19974986923092963,0.11566527992502061,0.1120125874876976,0.14861376235529092,0.03990193083882332,0.3091866970062256,0.23542604303514392,0.684205852132239,0.23542604303514392,0.11131082940846682,0.12373457103967667,0.7071256069144312,0.03087438133396182,0.07423869986087084,0.08666244149208069,0.7688293269108626,0.13646005185010607,0.06204517651349306,0.07446891814470291,0.8100476047798473,0.24027810511430592,-0.011578099090070973,-0.005971840100731957,0.0002592429518699646,-0.002237461507320404,-0.0017029047012329102,0.00018521746073396628,-0.0014584040579024293,-0.0012600855653466247,0.11294889945650191,-0.004948660190619958,
member,1,20260684,random_pca_residual,b1efc6294c7f6be286efcb290f8a7930,0.20450585358679135,0.1244672269656688,0.1113012433052063,0.14792108425631365,0.038227345794439316,0.3103707730770111,0.23947751769505085,0.6895521959479164,0.23947751769505085,0.11026041675359011,0.12268415838479996,0.7065758132300479,0.030756540183832195,0.07586219627410173,0.08828593790531158,0.7698965344795213,0.1376384633514023,0.06376003939658403,0.07618378102779388,0.8112884251354778,0.24369549846806504,-0.0027761520494227893,-0.0012158557448702367,-0.0007911697030067444,-0.0006139650940895081,1.1958181858062744e-05,-0.0003645762236492711,-0.00039119648924368366,-1.9265209716068377e-05,0.11700037411640885,-0.0008971855307130239,
member,1,20260684,label_permutation_residual,b1efc6294c7f6be286efcb290f8a7930,0.20277138242480278,0.12255080881432343,0.11179113388061523,0.1484460138087834,0.039794690907001495,0.3083535432815552,0.23944729168231282,0.6917178542420949,0.23944729168231282,0.10961429495364428,0.12203803658485413,0.7060961055646808,0.030403016733443318,0.07424882519990206,0.08667256683111191,0.7687853946549758,0.13610652839971718,0.06113263685256243,0.07355637848377228,0.8093887875916315,0.24181004006599105,-0.004692570200768159,-0.0029503269068588134,-0.0014372915029525757,-0.0022273361682891846,-0.0026154443621635437,-0.0008442838890163618,-0.0015023363137892654,-0.0019189027535624348,0.11697014810367082,-0.000927411543451051,
member,1,20260684,train_only_video_mean_residual,b1efc6294c7f6be286efcb290f8a7930,0.20520257594497524,0.12465866619964328,0.11146795749664307,0.14805579674442967,0.038827378302812576,0.30926334857940674,0.24022428493024273,0.6914769056964248,0.24022428493024273,0.11292475182563066,0.12534849345684052,0.7077090681081647,0.03111006363422107,0.07608361262828112,0.08850735425949097,0.7700232025621657,0.13799198680179117,0.06443524081259966,0.07685898244380951,0.8117467093274279,0.24404902191845393,-0.002584712815448309,-0.0005191333866863546,0.0018731653690338135,-0.00039254873991012573,0.0006871595978736877,0.0007686786544675028,-0.0002645284065992959,0.00043901898223397406,0.11774714135160072,-0.0001504182955211486,
member,1,20260684,diagnostics_only_residual,b1efc6294c7f6be286efcb290f8a7930,0.20369390330202267,0.12104053966875566,0.11200189590454102,0.14842243494582177,0.03935098275542259,0.30820488929748535,0.2376778640600441,0.6889332557086121,0.2376778640600441,0.11196057219058275,0.1243843138217926,0.7076005678340223,0.030756540183832195,0.07635435927659273,0.08877810090780258,0.7704070377611387,0.1376384633514023,0.05901679862290621,0.07144054025411606,0.8082478143219517,0.23591798255950977,-0.00620283934633592,-0.0020278060296389233,0.0009089857339859009,-0.00012180209159851074,-0.004731282591819763,0.0006601783803250605,0.00011930679237370789,-0.003059876023242203,0.11520072048140209,-0.0026968391657197777,
member,1,20260685,frozen_ar_only,9361ecf3ff310088aa11ce0736ee45bd,0.2000687216461864,0.12350778862885364,0.11324518918991089,0.14947406960036866,0.04248863086104393,0.30495160818099976,0.08894353488811688,0.35403869706816554,0.24045711212104912,0.11036189366132021,0.12278563529253006,0.7064027105224542,0.03063869903370257,0.07522275019437075,0.0876464918255806,0.7693951480488824,0.13740278105114306,0.06433203537017107,0.07675577700138092,0.8115435001246031,0.2467593683714353,,,,,,,,,,,
member,1,20260685,real_residual,9361ecf3ff310088aa11ce0736ee45bd,0.2089653314187206,0.1285619936192631,0.1138315200805664,0.14996434771512457,0.044975362718105316,0.30055487155914307,0.2466571895496413,0.6954470499099025,0.2466571895496413,0.1267070146277547,0.13913075625896454,0.7154892122989465,0.03334904548668395,0.0816136347129941,0.09403737634420395,0.774267727969372,0.14105585670516144,0.06591298896819353,0.07833673059940338,0.8133630060775521,0.24829130332312044,0.0050542049904094555,0.008896609772534203,0.01634512096643448,0.006390884518623352,0.001580953598022461,0.009086501776492284,0.004872579920489617,0.0018195059529489965,0.15771365466152443,0.006200077428592188,
member,1,20260685,shuffled_pca_residual,9361ecf3ff310088aa11ce0736ee45bd,0.20004604012997174,0.12346144488558701,0.11325044929981232,0.14947920980906998,0.042502839118242264,0.3049405515193939,0.24048657515875244,0.6915038625375955,0.24048657515875244,0.1103619085624814,0.12278565019369125,0.7064119156673571,0.03063869903370257,0.07521044183522463,0.08763418346643448,0.7693903110058173,0.13740278105114306,0.06438146252185106,0.07680520415306091,0.8115768468097213,0.2467593683714353,-4.634374326663304e-05,-2.2681516214650976e-05,1.4901161193847656e-08,-1.2308359146118164e-05,4.9427151679992676e-05,9.205144902879603e-06,-4.83704306508681e-06,3.334668511822958e-05,0.15154304027063556,2.946303770332004e-05,
