schema_version,target_name,validation_protocol,actual_validation_protocol,fold,seed,feature_name,variant_name,control_type,loss_name,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,ar_retrained,frozen_ar_train_checksum,frozen_ar_test_checksum,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_top_1pct_lift,alpha_final,gate_mean,residual_suppressed,inner_val_selection_policy,training_label_policy,heldout_scoring_policy,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,frozen_ar_inner_val_pr_auc,true_frozen_ar_inner_val_pr_auc,fixed_epoch_requested,early_stopping_reason,checkpoint_restored,checkpoint_path,checkpoint_checksum,gate_p05,gate_p50,gate_p95,gate_saturation_low_rate,gate_saturation_high_rate,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_spearman_future_movement
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,frozen_ar_only,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.0,0.0,0.0,0.0,True,not_applicable,not_applicable,true_heldout_labels,-2.1042351722717285,0.2614953419145701,0.7343092369155677,0.3209425821440425,0.2375921375921376,0.4943762781186094,0.6479032589658751,0.057220663875341415,0.008257096633315086,0.0908685679061527,0.34735419222457,0.2691682540839851,0.22235288687938276,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.3292741232062661,0.6385414460949351,0.2589509957811179,1.908637328044458,995,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,real_residual,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00022023077727456597,0.0,0.0020761035848408937,0.056015193462371826,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.104233503341675,0.26171557269184464,0.7343084926226504,0.32127461753021724,0.2399924232857684,0.4858128834355828,0.6466212256619897,0.05791765823960304,0.008252160623669624,0.09084140368614757,0.3420823385976142,0.2625637046607155,0.2209588981365279,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368851482868195,0.09284760057926178,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.32963533052286825,0.6402346751933755,0.16740206793006837,1.961710334832692,995,11.0,19.0,0.00018216413640445572,0.23207686254330967,0.23207686254330967,,patience_exhausted,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__real_residual__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,d0bb5d9321725c8f14aaca2c89d89d1a,0.0002745221718214452,0.00839232187718153,0.3013872504234314,0.776812500888655,0.0009810752015469708,-7.442929172984947e-07,-0.0013939887428548736
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,shuffled_pca_residual,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00015275556956323433,0.0,0.0018501700833439827,0.12982600927352905,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.1042346954345703,0.2616480974841333,0.734215871094421,0.3207145540298009,0.23811589711806633,0.4910531697341513,0.6471935981615866,0.05754099413752556,0.008264480158686638,0.0909091863272719,0.3442595941460604,0.26312062222258276,0.22080413807787155,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19908981025218964,0.14824889600276947,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.32760943668634573,0.6377549399566608,0.16751470972734428,1.9435795393226871,995,4.0,12.0,0.00013659071970612002,0.23207686254330967,0.23207686254330967,,patience_exhausted,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__shuffled_pca_residual__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,be57259bafc9682ef8fa98060a503dec,0.0002570240176282823,0.014009145088493824,0.7106801271438599,0.6520311100368259,0.002004805846639462,-9.33658211467181e-05,-0.0015487488015112072
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,random_pca_residual,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00015345952095585647,0.0,0.0018531503155827522,0.12404772639274597,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.1042346954345703,0.26164880143552594,0.7342198604226675,0.3203838931775506,0.2378415215909795,0.49066973415132925,0.6469298884332726,0.05753278732299805,0.008264711126685143,0.090910456641055,0.34425229267163177,0.2630901583015429,0.22081993735388358,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19908981025218964,0.14824889600276947,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.3275385544195382,0.6371176484501464,0.16763145126542772,1.9435795393226871,995,4.0,12.0,0.00014883130265430644,0.23207686254330967,0.23207686254330967,,patience_exhausted,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__random_pca_residual__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,8534812c54f70fb6fcc6169c3e55897f,0.0002481125993654132,0.012471310794353485,0.693992555141449,0.6672022294578493,0.00031280658600048344,-8.9376492900195e-05,-0.0015329495254991776
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,label_permutation_residual_permuted_inner_val_selection,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00018993214518758794,0.0,0.0017865514382719994,0.02629225328564644,False,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-2.1042282581329346,0.26168527405975767,0.7342761629102448,0.3201668404588113,0.23763234474645534,0.49054192229038857,0.6467779923576985,0.0572216659784317,0.00825705099850893,0.09086831680244183,0.34735594512334317,0.26764843048620474,0.22085443426572343,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.33109100555592536,0.6408635469987617,0.18433401299102534,1.967070884483139,995,1.0,9.0,1.13033629799697e-05,0.10215162429347804,0.23207686254330967,,patience_exhausted,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__label_permutation_residual_permuted_inner_val_selection__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,d6eb31bd0403d9422a77eb2d0a3c0f1f,0.0057232133112847805,0.018580958247184753,0.07389180362224579,0.8816311441611807,0.0,-3.307400532293059e-05,-0.001498452613659329
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,label_permutation_fixed_epoch_audit,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00015079545490864765,0.0,0.0018883728189393878,0.20291264355182648,False,permuted_inner_val_labels,permuted_train_labels,true_heldout_labels,-2.1042349338531494,0.2616461373694787,0.734217108174682,0.31987979464919236,0.2374961264332197,0.4897750511247444,0.6464745478158798,0.05718543380498886,0.008256383240222931,0.09086464240959148,0.34767261931398885,0.2684658869414111,0.22083595408807236,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19908981025218964,0.14824889600276947,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.3296056213625643,0.6385420027612158,0.18052771962419084,1.9503067676824188,995,11.0,11.0,-1.848770011032841e-05,0.10013959140229325,0.23207686254330967,11.0,fixed_epoch_selected,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__label_permutation_fixed_epoch_audit__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,6b9a78775fa5118d065ddca0a47f6c78,3.0286129913292825e-05,0.011738226749002934,0.9591315388679504,0.6193286033185935,0.05940481437772817,-9.212874088571077e-05,-0.0015169327913104047
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,train_only_video_mean_pca_residual,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.00026207710374043236,0.012768659079290146,0.00246117589995265,0.18647462129592896,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.1042351722717285,0.2617574190183105,0.7344193564840166,0.3209456656988801,0.2375660076139015,0.4945040899795501,0.6479271693758438,0.057895150035619736,0.008363042958080769,0.09144967445584905,0.32326241877065093,0.2404908121019388,0.22083955603899952,0.4460227272727273,0.04013292433537832,4.009358950897007,0.20017275214195251,0.14933183789253235,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.323002558999147,0.2903885480572597,2.9035139285492084,0.12220190465450287,0.0713609904050827,0.3292741232062661,0.6385414460949351,0.2589509957811179,1.908637328044458,995,36.0,40.0,0.00019132319249146046,0.23207686254330967,0.23207686254330967,,max_epochs_reached,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__train_only_video_mean_pca_residual__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,c59dac72c95f2b8f0f505b6c848f23d0,8.241758769145235e-05,0.014834337867796421,0.9748152494430542,0.6371727972018029,0.06549032432355575,0.00011011956844886317,-0.0015133308403832424
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.0002619420880921042,0.0,0.0025415169075131416,0.23140215873718262,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.1042351722717285,0.2617572840026622,0.7344322129173066,0.32090573549537593,0.23752225428203083,0.4945040899795501,0.6479031720635429,0.05813264474272728,0.008317401632666588,0.09119978965253477,0.32991044604851444,0.2371143862191937,0.22096543275613598,0.4446022727272727,0.04000511247443763,3.996590291817717,0.199699267745018,0.14885835349559784,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12215812504291534,0.07131721079349518,0.3292741232062661,0.6385414460949351,0.2589509957811179,1.908637328044458,995,38.0,40.0,0.0002046457172804328,0.23207686254330967,0.23207686254330967,,max_epochs_reached,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__full_video_video_mean_pca_residual_oracle_warning__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,b9f8fb2486b639e6ba40b85e8d743c7c,4.4970343878958374e-05,0.008388707414269447,0.9945908784866333,0.6287838933045172,0.11339238742517524,0.0001229760017389392,-0.001387454123246784
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260625,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,diagnostics_only_residual,regression_plus_binary,162758,70331,True,True,False,26b1e204772266e20c344bcd7674f9f3,fa40aeff7baf6a11289df36b6efaaf4b,0.0002565595044796143,0.0,0.0017842311644926667,0.026700083166360855,False,true_inner_val_labels,true_train_labels,true_heldout_labels,-2.1042306423187256,0.2617519014190497,0.7343860003017086,0.32141070535267635,0.23849294729027468,0.4927147239263804,0.6478963895920957,0.05721813812851906,0.008257200010120869,0.09086913673036004,0.3473502188148689,0.2675774385200269,0.22082552397917543,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447,0.3315547420442989,0.6402205733233959,0.16042165781132023,1.9801739661257522,995,1.0,9.0,2.3052330230116658e-05,0.23207686254330967,0.23207686254330967,,patience_exhausted,True,outputs/again_dense_2hz_phase5_blocked_residual_clean_confirm_20260629_234349/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__diagnostics_only_residual__monotonic_do_no_harm_residual__regression_plus_binary__20260625__best.npz,9e3a94742ee00c9e106a6e79274565ed,0.0031063160859048367,0.018516695126891136,0.06772041320800781,0.8566634912058694,0.0,7.676338614093225e-05,-0.0015273629002073297
again_dense_2hz_phase5_blocked_residual_clean_confirm_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,blocked_temporal_70_30,1,20260626,temporal_mean_2s_then_pca256,monotonic_do_no_harm_residual,frozen_ar_only,regression_plus_binary,162758,70331,True,True,False,e4256a5d3664a875e1cf431b0dccf23f,8c7a555b24d19576e41d88cda28a8d24,0.0,0.0,0.0,0.0,True,not_applicable,not_applicable,true_heldout_labels,-1.770216703414917,0.2682127880208318,0.7419628480137832,0.3232516183805582,0.27635637815278535,0.38931492842535786,0.630856609908361,0.05631409212946892,0.008252859115600586,0.09084524817292638,0.3500040344379551,0.27119844424191425,0.21412693128971835,0.46875,0.04217791411042945,4.213657496165644,0.19728383421897888,0.14644291996955872,0.37731020756326417,0.16960633946830267,3.391692766888028,0.14604191482067108,0.09520100057125092,0.3251350582883139,0.29230572597137017,2.9226832546619894,0.1225748062133789,0.07173389196395874,0.32983837396739074,0.6418628480184664,0.26573366933343723,1.9682373722668092,995,,,,,,,,,,,,,,,,,
