row_type,fold,group,seed,lane,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,frozen_ar_train_checksum,frozen_ar_test_checksum,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,member_seeds
member,1,1,20260675,frozen_ar_member,-1.9826046228408813,0.22383111569303338,0.7029591956008817,0.28587319243604004,0.2149952943636934,0.42646753785521674,0.6216559515708855,0.07829862087965012,0.013133322820067406,0.1146007103820365,0.297969126326117,0.24938959643449624,0.20744437692904263,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.3282409428197294,0.15598423563576022,3.118867684855043,0.16904765367507935,0.09234394133090973,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14729714393615723,0.07059343159198761,0.25139993851358367,0.6513018604176544,0.17275201540238716,2.3264760130257947,199,,,,,,,,,
member,1,1,20260675,real_residual_member,-2.0873632431030273,0.2348503567246103,0.7135954167263774,0.2911383438407594,0.22106282271944921,0.42626011200995645,0.6247971699679421,0.07698404788970947,0.013102870434522629,0.11446777028719757,0.30638413268642156,0.26701456873226836,0.23307057425382244,0.420479302832244,0.04003318813524165,3.995294732242156,0.21794047951698303,0.14123676717281342,0.33522479266695765,0.15930304915992533,3.1852265717668526,0.17323118448257446,0.09652747213840485,0.2842174197773412,0.2700684505289359,2.700566597212289,0.1526515781879425,0.07594786584377289,0.2588373463335346,0.6653622599997597,0.18677264768412496,2.4189288189790488,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,0.01101924103157692,0.01063622112549567,0.001659406762082552,0.003318813524165104,0.008089607965152457,0.025626197324779804,
member,1,1,20260675,shuffled_pca_residual_member,-1.9826112985610962,0.22380305454287888,0.7029334767596489,0.28587319243604004,0.2149952943636934,0.42646753785521674,0.6216559515708855,0.07829894870519638,0.013133292086422443,0.11460057629184263,0.2979716750942903,0.24873152584310101,0.2067961940069903,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.3282409428197294,0.15598423563576022,3.118867684855043,0.16904765367507935,0.09234394133090973,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14729714393615723,0.07059343159198761,0.24776921621684786,0.6504809739773904,0.14420968983563598,2.32660581207185,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,-2.806115015449584e-05,-2.571884123281354e-05,0.0,0.0,0.0,-0.0006481829220523205,
member,1,1,20260675,random_pca_residual_member,-1.9826180934906006,0.2237996446509586,0.7029383730561647,0.28587319243604004,0.2149952943636934,0.42646753785521674,0.6216559515708855,0.07829894125461578,0.013133285567164421,0.114600547848448,0.2979724015386716,0.24871416322810766,0.20678110438477368,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.3282409428197294,0.15598423563576022,3.118867684855043,0.16904765367507935,0.09234394133090973,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14729714393615723,0.07059343159198761,0.24801761416126347,0.6510315696842368,0.14277410649095001,2.3264760130257947,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,-3.1471042074765476e-05,-2.082254471702516e-05,0.0,0.0,0.0,-0.0006632725442689558,
member,1,1,20260675,label_permutation_residual_member,-1.9826046228408813,0.22383111569303338,0.7029591956008817,0.28587319243604004,0.2149952943636934,0.42646753785521674,0.6216559515708855,0.07829862087965012,0.013133322820067406,0.1146007103820365,0.297969126326117,0.24938959643449624,0.20744437692904263,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.3282409428197294,0.15598423563576022,3.118867684855043,0.16904765367507935,0.09234394133090973,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14729714393615723,0.07059343159198761,0.25139993851358367,0.6513018604176544,0.17275201540238716,2.3264760130257947,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,0.0,0.0,0.0,0.0,0.0,0.0,
member,1,1,20260675,train_only_video_mean_residual_member,-2.000753164291382,0.22373305124313297,0.702813369467445,0.285831453762559,0.21314984709480123,0.4337274424393279,0.6226997179991306,0.07825387269258499,0.013135913759469986,0.11461201402763144,0.2977943587675525,0.24906185759009591,0.20670733453528273,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.32867743343518113,0.15619166148102054,3.123015115287031,0.16914747655391693,0.09244376420974731,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14735394716262817,0.07065023481845856,0.24872923707762595,0.6515088947518909,0.14569446452322307,2.329460278145932,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,-9.806444990040353e-05,-0.00014582613343672168,0.0,0.00020742584526031727,0.0,-0.0007370423937599069,
member,1,1,20260675,diagnostics_only_residual_member,-1.9825725555419922,0.2238235565448376,0.7029673434431457,0.28609161048168485,0.21513694334099936,0.4268823895457374,0.6218511784262222,0.07833350449800491,0.013133508153259754,0.11460151898321311,0.2978591053057049,0.24930881735722388,0.2068341130413973,0.40305010893246185,0.0383737813731591,3.8296866604393722,0.20601825416088104,0.12931454181671143,0.3282409428197294,0.15598423563576022,3.118867684855043,0.16904765367507935,0.09234394133090973,0.27570399476096924,0.26197884256378345,2.6196740493695247,0.14734433591365814,0.07064062356948853,0.24956159947690512,0.651492350925283,0.14710696697694206,2.383000369894979,199,2e75ed0a825a3aedc1f3ae2d23da27ab,f99a33765342c8603b09bf0be4ca4e80,-7.559148195779297e-06,8.147842263994676e-06,0.0,0.0,0.0,-0.0006102638876453459,
member,1,1,20260676,frozen_ar_member,-1.9604527950286865,0.22477777985256592,0.7011151870734209,0.2865480822679266,0.21544248249921638,0.4277120929267787,0.6222538311268192,0.07688586413860321,0.013207883574068546,0.11492555666199118,0.2971953247308095,0.24404665980881146,0.209597156851734,0.4117647058823529,0.03920348475420037,3.912490696340764,0.2138695865869522,0.1371658742427826,0.3295504146660847,0.15660651317154117,3.131309976151008,0.16883063316345215,0.09212692081928253,0.27548570181183146,0.2617714167185231,2.6175998814761203,0.1474136859178543,0.07070997357368469,0.2530303250834204,0.6485804928887934,0.17185994223999218,2.41840936845309,199,,,,,,,,,
member,1,1,20260676,real_residual_member,-1.6596972048282623,0.22823036079259285,0.7023691931359318,0.2889436559870825,0.244745177080334,0.352623936942543,0.6123160673318859,0.07799223065376282,0.013208848424255848,0.11492975430346943,0.29143193845818166,0.24626466223725804,0.2192085358575286,0.42919389978213507,0.04086289151628293,4.078098768143548,0.22384199500083923,0.14713828265666962,0.33347883020515057,0.15847334577888406,3.1686368500389004,0.17286494374275208,0.09616123139858246,0.2822527832351015,0.268201617921593,2.681899086171651,0.15262825787067413,0.07592454552650452,0.2745358010410748,0.6670422307024494,0.15396112233866405,2.7401745542248532,199,5371b23cc3d69743c7bd18acbe0cf776,16769ee745e73ee6757c1b2a069f741f,0.003452580940026928,0.001254006062510915,0.001659406762082559,0.0018668326073428831,0.0064302012030699185,0.009611379005794618,
member,1,1,20260676,shuffled_pca_residual_member,-1.9604467153549194,0.22475340084116183,0.7010682357649718,0.2865480822679266,0.21544248249921638,0.4277120929267787,0.6222538311268192,0.07688935101032257,0.013207719661295414,0.11492484353391748,0.2971887525991132,0.24338441274538114,0.20886321693046345,0.4117647058823529,0.03920348475420037,3.912490696340764,0.2138695865869522,0.1371658742427826,0.3295504146660847,0.15660651317154117,3.131309976151008,0.16883063316345215,0.09212692081928253,0.27548570181183146,0.2617714167185231,2.6175998814761203,0.1474136859178543,0.07070997357368469,0.24925404890344133,0.6478264961539303,0.141939411723569,2.436822066865788,199,5371b23cc3d69743c7bd18acbe0cf776,16769ee745e73ee6757c1b2a069f741f,-2.4379011404090933e-05,-4.695130844911688e-05,0.0,0.0,0.0,-0.0007339399212705489,
