seed,candidate_diagnostics_only_residual,candidate_label_permutation_residual,candidate_random_pca_residual,candidate_real_residual,candidate_shuffled_pca_residual,candidate_train_only_video_mean_residual,frozen_ar_only,original_real_residual,best_control_pr_auc,candidate_minus_original,candidate_minus_ar,candidate_minus_best_control
20260625,0.2574255294772966,0.2002075023700373,0.26037370151830386,0.26957848466086076,0.2617227471811546,0.261018383391656,0.26369109067321667,0.2697372518888213,0.2617227471811546,-0.00015876722796054343,0.005887393987644096,0.007855737479706137
20260626,0.26855679504491203,0.26832992640540226,0.2686731598030496,0.2750865142800801,0.2647304277921916,0.2678004117960909,0.26855679504491203,0.2748117839176692,0.2686731598030496,0.0002747303624108799,0.006529719235168041,0.006413354477030453
20260627,0.2663955457004872,0.2613080935061794,0.26653540362410527,0.27269129247086976,0.26652576055590965,0.26257314856909697,0.2663955457004872,0.2770178562122585,0.26653540362410527,-0.004326563741388734,0.006295746770382582,0.00615588884676449
20260628,0.26047440729330557,0.2610800039508935,0.2557846873528713,0.26942710772762307,0.2592089411687171,0.24139410241274675,0.2609401547184769,0.2686994051782653,0.2610800039508935,0.0007277025493577782,0.008486953009146148,0.008347103776729592
20260629,0.2524586292615027,0.25430269003991984,0.26041941756332354,0.26874110419360914,0.2604186761267529,0.25744985758440936,0.2602792590111217,0.2676261263627085,0.26041941756332354,0.001114977830900643,0.008461845182487437,0.008321686630285596
20260630,0.2609194250535771,0.2609194250535771,0.2583723364519123,0.26787271627424764,0.25933434131126876,0.26012900959446084,0.2609194250535771,0.2680293087331385,0.2609194250535771,-0.0001565924588908807,0.00695329122067051,0.00695329122067051
20260631,0.2592937695681576,0.2592937695681576,0.25943028639334825,0.2685689274037661,0.2568140956946751,0.24359535768711876,0.2592937695681576,0.2676803070186962,0.25943028639334825,0.0008886203850698715,0.009275157835608505,0.009138641010417836
20260632,0.24937303074054565,0.23543026597094754,0.2579526541089701,0.2659529068223017,0.2579526541089701,0.25128093797387796,0.2579526541089701,0.265907408508852,0.2579526541089701,4.549831344974331e-05,0.008000252713331601,0.008000252713331601
20260633,0.2587597640235997,0.2588707597419021,0.2588741334299753,0.26698809947197744,0.25889174830909045,0.2574181479494373,0.2587597640235997,0.2580455144477861,0.25889174830909045,0.008942585024191319,0.008228335448377755,0.008096351162886983
20260634,0.24173360977466168,0.24501015973785986,0.24554777356533203,0.2534760630806465,0.24554777356533203,0.24567978049445918,0.24554777356533203,0.2531806678605329,0.24567978049445918,0.0002953952201136256,0.00792828951531449,0.007796282586187336
20260635,0.2557996384277679,0.2045923270169066,0.2574796951216501,0.26601788746285326,0.2508167688794428,0.260254777297132,0.2574796951216501,0.26415263730201227,0.260254777297132,0.0018652501608409922,0.008538192341203177,0.005763110165721286
20260636,0.2599227511681254,0.26009401955898387,0.2575569209181349,0.26393036076560317,0.26006186021131716,0.2567704537055706,0.2599227511681254,0.2729796565524817,0.26009401955898387,-0.00904929578687852,0.004007609597477757,0.003836341206619298
20260637,0.25960089788321183,0.250045399396321,0.259699277905732,0.2648493841959747,0.2557001171509121,0.23580926430153565,0.25960089788321183,0.2658534064181425,0.259699277905732,-0.0010040222221677775,0.005248486312762868,0.005150106290242706
20260638,0.2526864543699793,0.26021278632820083,0.2583857137741862,0.2692405874857202,0.26030861728084137,0.2552777364068393,0.26021278632820083,0.2682561190100684,0.26030861728084137,0.0009844684756518118,0.009027801157519388,0.008931970204878847
20260639,0.2524984613962188,0.25025243518421525,0.2563656459637667,0.2676534799377531,0.25609688048838264,0.25320187078222145,0.25928201831200365,0.2673283556333698,0.2563656459637667,0.0003251243043833063,0.008371461625749477,0.011287833973986416
