seed,lane,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,schema_version,target_name,target_type,validation_protocol,fold,architecture,control_type,feature_name,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,dropout_disabled,ar_baseline_reused,ar_baseline_newly_trained,frozen_ar_train_checksum,frozen_ar_test_checksum,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,best_inner_val_secondary_delta,early_stopping_reason,residual_suppressed,checkpoint_restored,checkpoint_path,checkpoint_checksum,label_policy,alpha_final,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,hyperparameters
20260625,frozen_ar_only,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260625,original_real_residual,-1.849888110160828,0.2697372518888213,0.7400767018272062,0.3201460742544126,0.2676390773405698,0.3982836951034831,0.6285597660505238,0.0755843520164489,0.0144747793674469,0.1203111772340662,0.3136151735006529,0.2628277948716933,0.2567367671356254,0.4942196531791907,0.0431600201918223,4.30982739201606,0.2464176267385482,0.1697789058089256,0.3822337962962963,0.1667087329631499,3.333258147131546,0.1923711895942688,0.1157324686646461,0.3219505136738533,0.2807925290257446,2.807559622081895,0.1637100428342819,0.0870713219046592,0.3688997368968591,0.6535584729584188,0.1984140212601416,2.0874257985239018,995,again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1.0,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923.0,69101.0,True,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,12.0,20.0,0.0149937164225602,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260625__best.npz,b9d978ab42ad87048c234d5cdb023b2b,true_train_and_true_inner_val_selection,0.0026102066040039,0.2296307533979416,2.761358155112248e-05,0.0188890732824802,0.9944283962249756,0.0060461612156046,-0.0001032713585673,0.002776375567895,0.0039121655729429,0.0011357900050479,-0.0011203800215039,
20260625,candidate_real_residual,-1.8572875499725343,0.26957848466086076,0.7405068408309396,0.3201340237587572,0.2677934431798879,0.3979050984351338,0.6284930628092762,0.0753307044506073,0.014396017417311668,0.11998340475795671,0.3255517646026974,0.2751364437847179,0.2581655703663095,0.476878612716763,0.04164563351842504,4.15860537826111,0.23957061767578125,0.1629318967461586,0.38078703703703703,0.16607773851590105,3.320641727195393,0.1912214457988739,0.11458272486925125,0.3209376356533063,0.27990913679959617,2.7987268502371423,0.1631111204624176,0.08647239953279495,0.3704404574176881,0.6527095469866268,0.1984648262854739,2.09974103511788,995,,,,,,,,,,,,True,True,,,,,5.0,13.0,0.01675181980232901,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260625__best.npz,1d853ea7f14b4a37a3bc5c49b8b43c22,true_train_and_true_inner_val_selection,0.004226468037813902,0.14005529880523682,1.4007958270667586e-05,0.006266141775995493,0.9333144426345825,0.005887393987644096,0.0003268676451660957,0.0012619888944977314,0.0032811711256940934,0.00025239777889957127,0.0003084232091801753,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260625,candidate_shuffled_pca_residual,-2.1203882694244385,0.2617227471811546,0.7374661679419348,0.3163648502044563,0.23631716743548187,0.47841998990408885,0.6390824960554002,0.07794249057769775,0.01466426532715559,0.12109609955384851,0.2611298790135041,0.22044184744054143,0.2533561034770502,0.4523121387283237,0.0395002523977789,3.9443741921082656,0.24381659924983978,0.16717787832021713,0.37528935185185186,0.16367995961635537,3.272699331438013,0.18880528211593628,0.11216656118631363,0.3193459701924468,0.27852094901564867,2.7848467801953896,0.16203057765960693,0.08539185672998428,0.35668652470224765,0.6398023888047407,0.19225047310524648,1.9281282565879845,995,,,,,,,,,,,,True,True,,,,,4.0,12.0,0.00011780060251290192,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__shuffled_pca_residual__seed20260625__best.npz,a83e2a2ae65051f2cfd73c6a8057e4f6,true_train_and_true_inner_val_selection,0.004054164048284292,0.15447072684764862,0.00011855033517349511,0.015159639529883862,0.8269673585891724,-0.0019683434920620413,-0.002713805243838796,-0.0008833922261484092,0.0008833922261484162,-0.001135790005047932,-0.004501043680079142,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260625,candidate_random_pca_residual,-2.1684901237487795,0.26037370151830386,0.7360211435216442,0.3115040303109097,0.2207190609043533,0.5291519434628975,0.6435827880186156,0.07755576074123383,0.014656060375273228,0.12106221696001288,0.2673043755204595,0.22837022509424554,0.2517919146735054,0.4523121387283237,0.0395002523977789,3.9443741921082656,0.2427917867898941,0.16615306586027145,0.37037037037037035,0.16153457849570924,3.2298035036550936,0.18663689494132996,0.1099981740117073,0.3190565764722906,0.2782685512367491,2.7823231310968892,0.16207757592201233,0.08543885499238968,0.35724473764710596,0.6403390328607529,0.19317422995959044,1.9361534979361195,995,,,,,,,,,,,,True,True,,,,,5.0,13.0,0.0004888456809101493,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__random_pca_residual__seed20260625__best.npz,8981bad6141d37d0f1ff702438c75b18,true_train_and_true_inner_val_selection,0.004157654941082001,0.1403505802154541,0.00012998470629099756,0.014263941906392574,0.7714120149612427,-0.0033173891549128087,-0.004158829664129393,-0.0008833922261484092,-0.0012619888944977176,-0.0013881877839475032,-0.006065232483623895,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260625,candidate_label_permutation_residual,-2.17602481842041,0.2002075023700373,0.7037553207982494,0.2935373220411013,0.1932531276230065,0.6101716304896517,0.6401218582021464,0.08276843279600143,0.015449863858520985,0.12429748130401108,0.19008557275157043,0.18565453797998863,0.22170110804287682,0.24132947976878613,0.021075214538112064,2.1045063580897136,0.1234024241566658,0.04676370322704315,0.22164351851851852,0.096668349318526,1.932835534218595,0.11944042891263962,0.04280170798301697,0.2319490667052525,0.20229681978798586,2.0227047524482145,0.12590205669403076,0.04926333576440811,0.338432662012019,0.630385479702749,0.21577142091087909,1.7432299696558518,995,,,,,,,,,,,,True,True,,,,,31.0,39.0,0.001577807564003511,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__label_permutation_residual__seed20260625__best.npz,06d329b49f0ead8f6e673aa03679cce5,permuted_train_and_permuted_inner_val_selection,0.006227496545761824,0.3319929242134094,9.560740220349029e-12,0.006644942797720432,0.999991238117218,-0.06348358830317938,-0.036424652387524126,-0.019308430085815245,-0.06612821807168096,-0.07735991923271074,-0.0361560391142525,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260625,candidate_train_only_video_mean_residual,-2.1670382976531983,0.261018383391656,0.7374267211193789,0.31123537635199766,0.21964897704849934,0.5338213023725391,0.6440867140857252,0.07904650270938873,0.014729481190443039,0.12136507401407969,0.24269408447077626,0.1965015859695458,0.2513723711375143,0.45809248554913296,0.040005047955577994,3.994781530026582,0.24324335157871246,0.1666046306490898,0.37094907407407407,0.16178697627460878,3.2348500716295545,0.18621963262557983,0.10958091169595718,0.31833309217189987,0.27763755678950025,2.7760140083506375,0.16181708872318268,0.08517836779356003,0.3594960662299153,0.6400634048540115,0.2079626849799755,1.9044862942425942,995,,,,,,,,,,,,True,True,,,,,3.0,11.0,0.0008486372600368386,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__train_only_video_mean_residual__seed20260625__best.npz,b7ea482a0ad1683e5b133f6abb036739,true_train_and_true_inner_val_selection,0.003991452977061272,0.25799450278282166,1.8359689875069307e-06,0.005276516545563936,0.9995145201683044,-0.00267270728156066,-0.0027532520663946514,-0.00037859666834931527,-0.001009591115598174,-0.002019182231196348,-0.006484776019615002,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260625,candidate_diagnostics_only_residual,-1.9629066467285157,0.2574255294772966,0.7328246904941138,0.31577411352692253,0.25690542144835776,0.40964159515396265,0.6280844424108241,0.07684891670942307,0.014346023090183735,0.11977488505602389,0.3037163914769785,0.24476949480819107,0.244866602407222,0.4407514450867052,0.03849066128218072,3.8435595162716325,0.22545357048511505,0.1488148495554924,0.37355324074074076,0.16292276627965674,3.2575596275146297,0.1866578906774521,0.11001916974782944,0.3132687020691651,0.2732205956587582,2.731850149126877,0.15946869552135468,0.08282997459173203,0.36493864686513233,0.6458776841757189,0.21471842637636138,1.969626346649293,995,,,,,,,,,,,,True,True,,,,,40.0,48.0,0.005975686368043881,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase6_trial4_blocked_15seed_20260714_145637/candidate/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__diagnostics_only_residual__seed20260625__best.npz,713ab509705681053f5bf4abacfe60ee,true_train_and_true_inner_val_selection,0.004865335300564766,0.36099010705947876,3.926651781505086e-10,0.02330358885228634,0.9999974370002747,-0.0062655611959200885,-0.007355282691659748,-0.0018929833417465902,0.00012619888944978563,-0.0064361433619383734,-0.012990544749907323,"{'hidden': 96, 'learning_rate': 0.0002796515604869101, 'weight_decay': 0.00015731894101489417, 'alpha_initial_logit': -3.0, 'alpha_cap': 0.08, 'gate_bias': 4.0, 'lambda_binary': 0.8}"
20260626,frozen_ar_only,-1.8854221105575562,0.26855679504491203,0.7475899203341895,0.3268123138033764,0.2694007858546169,0.4153205451792024,0.6347161922979884,0.0740935355424881,0.014682987704873085,0.1211733786971094,0.35387237501669483,0.297225480301254,0.2501556196157572,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24231746792793274,0.1656787469983101,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.11237942427396774,0.3189118796122124,0.27814235234729934,2.7810613065476386,0.16280727088451385,0.0861685499548912,0.35826016544235656,0.6383881538621846,0.3018643121339288,1.8620416311014565,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260626,original_real_residual,-1.919621229171753,0.2748117839176692,0.7476775295146809,0.3267229879946643,0.2522312233969518,0.4636547198384654,0.6428069764417821,0.0752563700079917,0.0145260170102119,0.1205239271274046,0.3166388578448884,0.2669715249779238,0.2493799355611711,0.5101156069364162,0.0445482079757698,4.448447571291431,0.2536214888095855,0.1769827678799629,0.3822337962962963,0.1667087329631499,3.333258147131546,0.1919286847114563,0.1152899637818336,0.3189118796122124,0.2781423523472993,2.7810613065476386,0.1628591269254684,0.0862204059958458,0.3622611665699491,0.6480580029810679,0.2006271981851543,2.0188247661080836,995,again_dense_2hz_phase5_temporal_residual_binary_big_confirm_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1.0,short_temporal_conv_residual,real_residual,temporal_mean_2s_then_pca256,159923.0,69101.0,True,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,12.0,20.0,0.0134625681931166,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__short_temporal_conv_residual__real_residual__seed20260626__best.npz,09db0f2e8b6506a39681bb8f58b463a3,true_train_and_true_inner_val_selection,0.0026386633981019,0.2138913720846176,1.0333470527257305e-05,0.0120094660669565,0.99374121427536,0.0062549888727572,8.760918049144362e-05,0.0049217566885411,0.0026501766784452,0.0,-0.000775684054586,
