control,control_gain,feature_mode,fold,offset_seconds,offset_specific_gain,real_gain,target,threshold
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,-1.0,0.051377000254766436,0.029302625530125248,arousal__future_spike_1_3s,0.05
ar,0.019055726382918192,cortical_pca_64,grouped_0,-0.5,0.006578358247846583,0.025634084630764775,arousal__future_spike_1_3s,0.05
shuffled,0.022154530839720243,cortical_pca_64,grouped_0,-0.5,0.0034795537910445318,0.025634084630764775,arousal__future_spike_1_3s,0.05
random,0.01819266382579976,cortical_pca_64,grouped_0,-0.5,0.0074414208049650155,0.025634084630764775,arousal__future_spike_1_3s,0.05
timestamp,-0.030909564253528643,cortical_pca_64,grouped_0,-0.5,0.05654364888429342,0.025634084630764775,arousal__future_spike_1_3s,0.05
video_time,-0.022074374724641188,cortical_pca_64,grouped_0,-0.5,0.04770845935540596,0.025634084630764775,arousal__future_spike_1_3s,0.05
ar,0.0,cortical_pca_64,grouped_0,0.5,-0.0024584932773688006,-0.0024584932773688006,arousal__future_spike_1_3s,0.05
shuffled,0.006158560386291367,cortical_pca_64,grouped_0,0.5,-0.008617053663660168,-0.0024584932773688006,arousal__future_spike_1_3s,0.05
random,-0.006281805324105605,cortical_pca_64,grouped_0,0.5,0.0038233120467368042,-0.0024584932773688006,arousal__future_spike_1_3s,0.05
timestamp,0.0,cortical_pca_64,grouped_0,0.5,-0.0024584932773688006,-0.0024584932773688006,arousal__future_spike_1_3s,0.05
video_time,0.0,cortical_pca_64,grouped_0,0.5,-0.0024584932773688006,-0.0024584932773688006,arousal__future_spike_1_3s,0.05
ar,0.0,cortical_pca_64,grouped_0,1.0,-0.004569290054745712,-0.004569290054745712,arousal__future_spike_1_3s,0.05
shuffled,0.004404178891683486,cortical_pca_64,grouped_0,1.0,-0.008973468946429197,-0.004569290054745712,arousal__future_spike_1_3s,0.05
random,-0.00871770146076739,cortical_pca_64,grouped_0,1.0,0.004148411406021679,-0.004569290054745712,arousal__future_spike_1_3s,0.05
timestamp,0.0,cortical_pca_64,grouped_0,1.0,-0.004569290054745712,-0.004569290054745712,arousal__future_spike_1_3s,0.05
video_time,0.0,cortical_pca_64,grouped_0,1.0,-0.004569290054745712,-0.004569290054745712,arousal__future_spike_1_3s,0.05
ar,-0.004679979067344298,cortical_pca_64,grouped_0,1.5,-0.002262331449296384,-0.006942310516640682,arousal__future_spike_1_3s,0.05
shuffled,-0.005995322622116661,cortical_pca_64,grouped_0,1.5,-0.0009469878945240207,-0.006942310516640682,arousal__future_spike_1_3s,0.05
random,-0.0036024086338287686,cortical_pca_64,grouped_0,1.5,-0.003339901882811913,-0.006942310516640682,arousal__future_spike_1_3s,0.05
timestamp,0.0018420156278368405,cortical_pca_64,grouped_0,1.5,-0.008784326144477522,-0.006942310516640682,arousal__future_spike_1_3s,0.05
video_time,-0.0005225807393248183,cortical_pca_64,grouped_0,1.5,-0.0064197297773158635,-0.006942310516640682,arousal__future_spike_1_3s,0.05
ar,-0.004679979067344298,cortical_pca_64,grouped_0,2.0,-0.003401951534504899,-0.008081930601849197,arousal__future_spike_1_3s,0.05
