context_specific_gain,control,control_gain,feature_mode,fold,real_gain,target,threshold,window_name
-0.00500057358077971,random,-0.03598785571432661,cortical_pca_64,grouped_0,-0.04098842929510632,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.00620871720287039,timestamp,-0.04719714649797671,cortical_pca_64,grouped_0,-0.04098842929510632,arousal__future_change_p3s_movement,0.075,causal_past_5s
0.010217754958708358,video_time,-0.05120618425381468,cortical_pca_64,grouped_0,-0.04098842929510632,arousal__future_change_p3s_movement,0.075,causal_past_5s
-0.06164254040528794,ar,0.04268493926901962,cortical_pca_64,grouped_1,-0.01895760113626832,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.028880431773292803,shuffled,0.009922830637024482,cortical_pca_64,grouped_1,-0.01895760113626832,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.030620649020859925,random,0.011663047884591604,cortical_pca_64,grouped_1,-0.01895760113626832,arousal__future_spike_1_3s,0.05,causal_past_3s
0.006057059210952981,timestamp,-0.0250146603472213,cortical_pca_64,grouped_1,-0.01895760113626832,arousal__future_spike_1_3s,0.05,causal_past_3s
0.013876396917394257,video_time,-0.03283399805366258,cortical_pca_64,grouped_1,-0.01895760113626832,arousal__future_spike_1_3s,0.05,causal_past_3s
-0.0886594918556467,ar,0.03949020431976058,cortical_pca_64,grouped_1,-0.04916928753588612,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.04029004062326397,shuffled,-0.008879246912622152,cortical_pca_64,grouped_1,-0.04916928753588612,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.058730443648277786,random,0.009561156112391667,cortical_pca_64,grouped_1,-0.04916928753588612,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.010356906808477034,timestamp,-0.038812380727409085,cortical_pca_64,grouped_1,-0.04916928753588612,arousal__future_spike_1_3s,0.05,causal_past_5s
0.0024159106584934475,video_time,-0.05158519819437957,cortical_pca_64,grouped_1,-0.04916928753588612,arousal__future_spike_1_3s,0.05,causal_past_5s
-0.04370834625044279,ar,0.037581000591514646,cortical_pca_64,grouped_1,-0.0061273456589281405,arousal__future_spike_1_3s,0.075,causal_past_3s
