target_name,validation_protocol,feature_family,feature_name,pca_width,model_lane,folds,rows_test_total,mean_pr_auc,std_pr_auc,min_pr_auc,max_pr_auc,mean_roc_auc,mean_f1,mean_balanced_accuracy,mean_precision,mean_recall,mean_top_1pct_recall,mean_top_5pct_recall,mean_top_10pct_recall,mean_delta_mae,mean_delta_mse,mean_delta_pearson,ar_only_mean_pr_auc,delta_vs_AR_only,phase3_raw_cortical_pr_auc,phase3_AR_plus_raw_cortical_pr_auc,delta_vs_phase3_raw_cortical,delta_vs_phase3_AR_plus_raw_cortical
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,AR_plus_quality_motion_luma_control,1,71105,0.11311411051375377,,0.11311411051375377,0.11311411051375377,0.46195121894182134,0.20509929614895228,0.49035346127725155,0.11919649543208027,0.7342867028024449,0.0156844654595779,0.049821243224541574,0.0844193287971399,0.13028764203749496,0.026217225284832103,-0.145915034481603,0.11597058006154087,-0.0028564695477871077,0.1265,0.1273,-0.013385889486246236,-0.014185889486246231
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,AR_plus_random_matched_PCA_control,1,71105,0.11118086695835383,,0.11118086695835383,0.11118086695835383,0.46355112317948083,0.19688319149700167,0.4834655039361284,0.11659259574287112,0.6323376773151885,0.010725406527505478,0.044400876484834505,0.08245877061469266,0.13061022259831,0.026306236696313177,-0.1385039718904455,0.11597058006154087,-0.004789713103187043,0.1265,0.1273,-0.015319133041646171,-0.016119133041646166
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,AR_plus_shuffled_PCA_control,1,71105,0.11171625956324176,,0.11171625956324176,0.11171625956324176,0.45997312823280145,0.20275155653745733,0.4887269428434314,0.11858566478062534,0.69853534771076,0.013723907277130666,0.049821243224541574,0.08511129050859186,0.12860325045475804,0.025735223602940577,-0.14356926401293396,0.11597058006154087,-0.004254320498299116,0.1265,0.1273,-0.014783740436758244,-0.01558374043675824
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,AR_plus_timestamp_video_time_control,1,71105,0.11317012630460474,,0.11317012630460474,0.11317012630460474,0.4582837215691513,0.18517225325884543,0.4700414940218157,0.11130803852522096,0.5504555414600392,0.014531195940491293,0.058816745473417135,0.08672586783531311,0.1215520811420508,0.024004651132868645,-0.14032092606965665,0.11597058006154087,-0.002800453756936133,0.1265,0.1273,-0.013329873695395261,-0.014129873695395256
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,quality_motion_luma_only_control,1,71105,0.12458243459653645,,0.12458243459653645,0.12458243459653645,0.507171229143659,0.21955232772560923,0.5130962219526723,0.1251718504860336,0.8925152808211279,0.01107138738323146,0.056279552531426594,0.10621612270787684,0.11967536285163392,0.022795874403948913,-0.026640734187685818,0.11597058006154087,0.008611854534995578,0.1265,0.1273,-0.0019175654034635503,-0.0027175654034635455
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,random_matched_PCA_control,1,71105,0.1234793861793042,,0.1234793861793042,0.1234793861793042,0.5039302691509839,0.21279775520785676,0.502487851020291,0.12261216456074372,0.8046361434667282,0.00991811786414485,0.05132049359935417,0.10229500634298236,0.1188293619094116,0.022523783396160183,-0.0007685998710159588,0.11597058006154087,0.007508806117763334,0.1265,0.1273,-0.0030206138206957944,-0.0038206138206957896
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,shuffled_PCA_control,1,71105,0.12262624440235384,,0.12262624440235384,0.12262624440235384,0.502065327566466,0.21214726108608015,0.4991087476854396,0.12171561708134215,0.8253949948102872,0.010725406527505478,0.050397877984084884,0.10044977511244378,0.11645168000354783,0.021910913139147933,0.0004817321825023563,0.11597058006154087,0.006655664340812967,0.1265,0.1273,-0.0038737555976461613,-0.0046737555976461564
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,shuffled_temporal_diagnostics_control,1,71105,0.12018045948982192,,0.12018045948982192,0.12018045948982192,0.49269452137351405,0.2154940905435064,0.5010359125143198,0.12219027301116162,0.9115442278860569,0.010725406527505478,0.05016722408026756,0.09687463960327529,0.11816701736302321,0.02232427917008565,0.00267721457118663,0.11597058006154087,0.004209879428281049,0.1265,0.1273,-0.006319540510178079,-0.007119540510178074
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca128_current,128,timestamp_video_time_only_control,1,71105,0.12528914750494685,,0.12528914750494685,0.12528914750494685,0.49543297124369723,0.21140686459399752,0.49025317869795754,0.11968275756882484,0.9049705916272633,0.014761849844308615,0.05132049359935417,0.10171837158343905,0.12166741499385045,0.023349456158550417,0.003879435274078254,0.11597058006154087,0.009318567443405978,0.1265,0.1273,-0.0012108524950531496,-0.002010852495053145
arousal_abs_delta_p4rows_train_q90,blocked_temporal_70_30,current,cortical_pca192_current,192,AR_plus_quality_motion_luma_control,1,71105,0.11311411051375377,,0.11311411051375377,0.11311411051375377,0.46195121894182134,0.20509929614895228,0.49035346127725155,0.11919649543208027,0.7342867028024449,0.0156844654595779,0.049821243224541574,0.0844193287971399,0.13028764203749496,0.026217225284832103,-0.145915034481603,0.11597058006154087,-0.0028564695477871077,0.1265,0.1273,-0.013385889486246236,-0.014185889486246231
