actual_protocol,reported_protocol,fold,seed,variant_name,control_type,frozen_ar_train_checksum,frozen_ar_test_checksum,same_ar_as_reference
blocked_temporal_70_30,blocked_temporal_70_30,1,20260628,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260628,monotonic_do_no_harm_residual,diagnostics_only_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,real_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,shuffled_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,random_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,label_permutation_residual_permuted_inner_val_selection,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,label_permutation_fixed_epoch_audit,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,train_only_video_mean_pca_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,full_video_video_mean_pca_residual_oracle_warning,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
blocked_temporal_70_30,blocked_temporal_70_30,1,20260629,monotonic_do_no_harm_residual,diagnostics_only_residual,b5b309c5555a7dc64417d640c6f01114,695629cbd47953323ea7a413bc945deb,True
