variant_name,real_pr_auc,frozen_ar_pr_auc,shuffled_pca_pr_auc,random_pca_pr_auc,label_permutation_pr_auc,video_mean_pca_pr_auc,diagnostics_only_pr_auc,real_minus_frozen_ar,real_minus_shuffled,real_minus_random,real_minus_label_permutation,real_minus_video_mean,real_minus_diagnostics_only,real_rank_within_variant,best_control_within_variant,best_control_pr_auc_within_variant
blocked_delta_selected_gated_residual,0.2592608847,0.2654721820,0.2645239193,0.2649599350,0.2661663455,0.2621980953,0.2645059332,-0.0062112973,-0.0052630346,-0.0056990503,-0.0069054608,-0.0029372106,-0.0052450485,7,label_permutation_residual,0.2661663455
monotonic_do_no_harm_residual,0.2657861164,0.2654721820,0.2657134334,0.2657093746,0.2657192159,0.2658151313,0.2657460655,0.0003139344,0.0000726830,0.0000767418,0.0000669005,-0.0000290149,0.0000400509,2,video_mean_pca_residual,0.2658151313
low_ar_confidence_residual,0.2642409531,0.2654721820,0.2650081025,0.2637569029,0.2660939183,0.2624267176,0.2653747976,-0.0012312289,-0.0007671494,0.0004840501,-0.0018529653,0.0018142354,-0.0011338445,5,label_permutation_residual,0.2660939183
rank_lift_residual,0.2618293541,0.2654721820,0.2640645549,0.2648119114,0.2659142637,0.2622074801,0.2646957073,-0.0036428278,-0.0022352007,-0.0029825572,-0.0040849095,-0.0003781259,-0.0028663532,7,label_permutation_residual,0.2659142637
