feature_mode,prior_best_causal_window,prior_best_offset_seconds,prior_causal_window_gain,prior_offset_gain,prior_taxonomy,prior_zero_real_pr_auc,target,threshold,v2_best_real_pr_auc_mean,v2_best_real_window_gain_mean,v2_best_representation,v2_best_window,v2_best_window_specific_gain_vs_ar_mean
cortical_pca64_delta,causal_past_3s,-2.0,-0.02789536245427643,0.025667165067281894,Unstable/video-specific,0.3858856592939198,arousal__future_spike_1_3s,0.05,0.41883877749746884,0.03295311820354897,last,causal_past_2s,-0.005129751375005764
cortical_pca64_delta,causal_past_3s,4.0,-0.01648194001394543,0.029862483447656518,Unstable/video-specific,0.27765986825869066,arousal__future_spike_1_3s,0.075,0.3118854515868156,0.03422558332812496,last,causal_past_2s,-0.0019743576660209983
cortical_pca_64,causal_past_3s,-1.5,0.011426311630787,0.03683880278658769,Context-starved,0.399965754770512,arousal__future_spike_1_3s,0.05,0.4365353456569646,0.03656959088645254,mean,causal_past_2s,-0.0015132786921021935
cortical_pca_64,causal_past_3s,-1.5,0.013682503796386414,0.03550740665334673,Context-starved,0.29745958778483994,arousal__future_spike_1_3s,0.075,0.3339358086436864,0.03647622085884648,mean,causal_past_2s,0.0002762798647005127
