group,spearman_real_minus_ar,spearman_real_minus_best_control,top5_real_minus_ar,top5_real_minus_best_control
1,-0.0027643943179409824,0.0109587189671361,0.005375191569328308,0.00649290531873703
2,0.009791489711826182,0.009831469614631994,0.01238984614610672,0.01230793446302414
3,0.012799153615441539,0.013063190835279348,0.009493783116340637,0.009468980133533478
4,0.010018333989517625,0.011268329723316553,0.006113514304161072,0.005961380898952484
5,0.006889756722707321,0.006992675028672735,0.007122337818145752,0.007387220859527588
