stage,split_digest,panel,lane,row_type,seed_or_group,cold_start_policy,prediction_sha256,score_mask_digest,compatibility_mask_digest,pooled_continuous_spearman,top_1pct_true_future_movement_lift,top_5pct_true_future_movement_lift,top_10pct_true_future_movement_lift,training_q90_future_event_pr_auc,event_threshold,event_prevalence,first30_pooled_continuous_spearman,first30_top_5pct_true_future_movement_lift,first30_training_q90_future_event_pr_auc,prediction_rows,prediction_finite_fraction,prediction_digest,compat_pooled_continuous_spearman,compat_top_1pct_true_future_movement_lift,compat_top_5pct_true_future_movement_lift,compat_top_10pct_true_future_movement_lift,compat_training_q90_future_event_pr_auc,compat_event_threshold,compat_event_prevalence,compat_first30_pooled_continuous_spearman,compat_first30_top_5pct_true_future_movement_lift,compat_first30_training_q90_future_event_pr_auc,compat_prediction_rows,compat_prediction_finite_fraction,compat_prediction_digest
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_temporal,member,20260721,row0_zero_history_no_label_burnin,daba59056004115bca6e8b847ef535efc60046a83743c969462b710878277a09,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.18684469092130057,0.057028267637334845,0.06611943457593034,0.0513499179596698,0.12998060776715445,0.21721835577240778,0.08915251829224977,0.24285920181048176,0.0648983606996359,0.10556199755085954,14077,1.0,fb29a0529d0c6423389ce06eee52897f,0.18283668768077632,0.05872689211003004,0.06341354459814406,0.049230136380766135,0.1293747028111916,0.21721835577240778,0.08849685489118647,0.23106934277686358,0.06415110760893392,0.10005720313540936,13831,1.0,6c04dc6a5b02c7ac6492204b867f564f
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_temporal,member,20260722,row0_zero_history_no_label_burnin,113fc83b02e2c1095a0378156515a69ae89df161062b5a560b696ba11fd845ca,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.1730887654780794,0.08989125763930472,0.07177805643574492,0.053538196124908205,0.13648150099082237,0.21721835577240778,0.08915251829224977,0.2069037614291784,0.046795248322993366,0.09088463635517491,14077,1.0,e7d78aee6a56208e5789d23eef5c5e43,0.171101993375921,0.09095769181885419,0.07277519204199862,0.05381774261735646,0.13661804246732617,0.21721835577240778,0.08849685489118647,0.2038274683359314,0.048734182386430326,0.08577302869614775,13831,1.0,a96210ccd6f35c89ac3794fc3691802d
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_temporal,member,20260723,row0_zero_history_no_label_burnin,5b2de66ce6df43a233883cca07aa211a8dba8abe25c9e4dfaa43a43c38a146ab,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.1810604631231566,0.0396101769419058,0.06033091332539496,0.04750077403422108,0.11926985314294884,0.21721835577240778,0.08915251829224977,0.21868583673598843,0.042532215376295465,0.08684341736901079,14077,1.0,0dd1eecb85383b9d44fe8e6f7e931717,0.17838749372195012,0.04556802459811894,0.0593051374043249,0.04560641834486878,0.11912971033401984,0.21721835577240778,0.08849685489118647,0.2103352493456939,0.03850388225852731,0.08146082778238807,13831,1.0,5b7fc3ccafaa6c61c6b00fca4cfc51a1
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_temporal,ensemble,20260721_20260722_20260723,row0_zero_history_no_label_burnin,af3703842bcac002830f7411c92aec41036cf700edcbcb032605b7e94b42bc5b,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.20501042235854525,0.071344444625558,0.07225701322551967,0.058644279257235116,0.1330943164030337,0.21721835577240778,0.08915251829224977,0.24852754833623636,0.05714421744242103,0.09624464168288713,14077,1.0,9a00ea944dda64de1f2efd256cc48ebd,0.20158856488534482,0.07629811350145699,0.07214059972984474,0.05853522483439966,0.13298357890117696,0.21721835577240778,0.08849685489118647,0.23879599922893952,0.056034297287058894,0.09039495353672036,13831,1.0,8394bf4c041ec4ba51e1eec66cc08130
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_current_row,member,20260721,row0_zero_history_no_label_burnin,d24a7fbd1f55fda8edd75622eedfd36c78fa26f7c7f2d79943cb2a54dd6c0109,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.15260852091681948,0.06647551683135347,0.05008115030237058,0.042551268923001026,0.12074640643694239,0.21721835577240778,0.08915251829224977,0.17259516888289317,0.04685452130185139,0.1064856274851848,14077,1.0,dd82306698f8ff8576a16905c8f344bc,0.15037469566195666,0.06295663241848073,0.05277878950602183,0.04003722171151593,0.11923406885815649,0.21721835577240778,0.08849685489118647,0.16380563948523572,0.052060883868657114,0.09644453664199387,13831,1.0,9951cd4a359760b0f9a0e58b0b73ba1d
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_current_row,member,20260722,row0_zero_history_no_label_burnin,d4d22357dfa5435429010f0caef07f48fd99bd5a040167f6a144002b7a49662e,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.18462851591675716,0.0911633220118398,0.06702631316620461,0.055390987556000124,0.1328854376991897,0.21721835577240778,0.08915251829224977,0.23109587499498388,0.04311127857637406,0.10049823662908197,14077,1.0,ccfd33e0c2917513ebe1f1b4ca93aa1e,0.18098311266820738,0.08913880066471408,0.06268971196454583,0.05388159959035757,0.13183238531051167,0.21721835577240778,0.08849685489118647,0.21918456062400296,0.037896461088395304,0.09067255342136069,13831,1.0,393056775104279b06d0b721981d7292
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_current_row,member,20260723,row0_zero_history_no_label_burnin,79476433242e88082e23ea84ce549d58aa16d710ced61231831059b84e74174c,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.1903200081096281,0.09663733629641588,0.06717705299175802,0.0570021190588427,0.13960394453995112,0.21721835577240778,0.08915251829224977,0.24976633004161716,0.0690524763074264,0.11680252748676045,14077,1.0,50e2b5f7a469b74222ad90d9009e6859,0.18672136625769803,0.10091702310657441,0.06663762361700393,0.05722231819201294,0.13932707556527246,0.21721835577240778,0.08849685489118647,0.23933888487738422,0.05640939188313648,0.11046901852704274,13831,1.0,d80e31ba37ddfa7167d944fce5ca6179
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,video_supervised_current_row,ensemble,20260721_20260722_20260723,row0_zero_history_no_label_burnin,a552535843647f09fb81166ea0b236f716bed443baa491a1d0c9433acab205d2,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.1988030526286524,0.09638882939579874,0.06937500718470241,0.058353395213551276,0.1382654209098023,0.21721835577240778,0.08915251829224977,0.24543361243233752,0.062141875620434675,0.11109213903193998,14077,1.0,478e0e99f0680800cce3f2e7c2af9605,0.19550262744365443,0.09753218996820928,0.0681084637748337,0.05804880246576044,0.13743847758300304,0.21721835577240778,0.08849685489118647,0.23425788202644715,0.0521176757397206,0.1023127030752251,13831,1.0,6c57cf565e13980d4faed50d999f6652
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,diagnostics_only_supervised_temporal,member,20260721,row0_zero_history_no_label_burnin,af91105b031ebadb08c6165c7d269c4ec3e7cbdcde9a13b2ee525d2fd33a1707,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.06894262037119467,0.05764711861407458,0.025715579781855152,0.01962014330845338,0.09495178726258091,0.21721835577240778,0.08915251829224977,0.10625440849820472,0.05243022424198257,0.09860873514902445,14077,1.0,77ac93e7c0dfa00d18431080a3c2d9d6,0.06616523801187076,0.049296036428043616,0.023700946751944327,0.016377136740894804,0.0915186610322165,0.21721835577240778,0.08849685489118647,0.09743093153790493,0.04178509505126669,0.08412165761668183,13831,1.0,c3f73cb461dbe69eacbb6d3b0794ff83
locked_confirmation,f33cc32c0f30a03c8af41b5499d1cb6f,1,diagnostics_only_supervised_temporal,member,20260722,row0_zero_history_no_label_burnin,7a5097bd7f4c86be71ef234a0e0f6f8c214d6aacf9a047b304f31d8fdf1195a6,f9ae70ecfbe625fce23a8dc7339006c2,665c47cf1b804cff58ed01280fb1f6ac,0.0950939846710118,0.05560516740065537,0.02740169019572529,0.01932984517634946,0.10118766168931807,0.21721835577240778,0.08915251829224977,0.11285906113889665,0.05698231613588976,0.11199928245943616,14077,1.0,5719a3dbba6564b80925df8fdbc99fc9,0.09137670459936471,0.04981464110369983,0.021610685286412898,0.01838735912867738,0.0980734187808967,0.21721835577240778,0.08849685489118647,0.09733735707277927,0.05058792103767031,0.09567465230484674,13831,1.0,b97a779c3c67d163518031f4bdf47b63
