target_name,architecture,seed,real_pr_auc,frozen_ar_only_pr_auc,real_minus_frozen_ar_only_pr_auc,shuffled_pca_residual_pr_auc,real_minus_shuffled_pca_residual_pr_auc,random_pca_residual_pr_auc,real_minus_random_pca_residual_pr_auc,label_permutation_residual_pr_auc,real_minus_label_permutation_residual_pr_auc,train_only_video_mean_residual_pr_auc,real_minus_train_only_video_mean_residual_pr_auc,diagnostics_only_residual_pr_auc,real_minus_diagnostics_only_residual_pr_auc,best_control,best_control_pr_auc,real_minus_best_control_pr_auc
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260625,0.2697372518888213,0.2636910906732166,0.006046161215604695,0.2616537279609534,0.00808352392786793,0.2612616751561923,0.008475576732628998,0.2614046541905019,0.0083325976983194,0.2615367106748402,0.008200541213981116,0.2636910906732166,0.006046161215604695,shuffled_pca_residual,0.2616537279609534,0.00808352392786793
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260626,0.2748117839176692,0.268556795044912,0.006254988872757217,0.2662154114980563,0.008596372419612919,0.2686695182168087,0.006142265700860516,0.2684473856717601,0.00636439824590912,0.2686103814414409,0.0062014024762283015,0.268556795044912,0.006254988872757217,random_pca_residual,0.2686695182168087,0.006142265700860516
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260627,0.2770178562122585,0.2663955457004872,0.010622310511771316,0.2665303349257848,0.010487521286473678,0.2665479974300896,0.010469858782168884,0.2621088563644206,0.01490899984783789,0.2644050344507788,0.012612821761479709,0.2663955457004872,0.010622310511771316,random_pca_residual,0.2665479974300896,0.010469858782168884
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260628,0.2686994051782653,0.2609401547184769,0.007759250459788369,0.2583688323456126,0.010330572832652707,0.2578071531036163,0.010892252074649,0.2611172191594508,0.007582186018814496,0.2571274403711377,0.011571964807127577,0.2611179432617337,0.007581461916531584,label_permutation_residual,0.2611172191594508,0.007582186018814496
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260629,0.2676261263627085,0.2602792590111217,0.007346867351586794,0.2604461414125141,0.007179984950194396,0.260422383201031,0.007203743161677489,0.2530919403075032,0.01453418605520529,0.2580525625128242,0.009573563849884281,0.2603668804942879,0.007259245868420583,shuffled_pca_residual,0.2604461414125141,0.007179984950194396
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260630,0.2680293087331385,0.2609194250535771,0.007109883679561391,0.2600150281280425,0.008014280605096014,0.2584834117676249,0.009545896965513612,0.2611794067486614,0.0068499019844771025,0.26047876294276,0.0075505457903785045,0.2610852295226012,0.006944079210537302,label_permutation_residual,0.2611794067486614,0.0068499019844771025
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260631,0.2676803070186962,0.2592937695681576,0.008386537450538634,0.257051908952951,0.010628398065745226,0.2594382065102599,0.008242100508436323,0.2592937695681576,0.008386537450538634,0.2378221393162266,0.02985816770246963,0.2534809032161241,0.01419940380257212,random_pca_residual,0.2594382065102599,0.008242100508436323
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260632,0.265907408508852,0.2579526541089701,0.007954754399881858,0.2579526541089701,0.007954754399881858,0.2579526541089701,0.007954754399881858,0.252503037692371,0.013404370816480993,0.2579526541089701,0.007954754399881858,0.2579526541089701,0.007954754399881858,shuffled_pca_residual,0.2579526541089701,0.007954754399881858
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260633,0.2580455144477861,0.2587597640235997,-0.0007142495758135636,0.2589013540371304,-0.000855839589344265,0.2588629897967894,-0.0008174753490032827,0.2589067374246279,-0.000861222976841769,0.2572820717381855,0.0007634427096006036,0.2518539626898967,0.006191551757889435,label_permutation_residual,0.2589067374246279,-0.000861222976841769
future_arousal_max_delta_rows_4_10_train_q90,short_temporal_conv_residual,20260634,0.2531806678605329,0.245547773565332,0.007632894295200893,0.2437487138119473,0.0094319540485856,0.2439230621105783,0.0092576057499546,0.2452151874882132,0.0079654803723197,0.2433579518818165,0.009822715978716395,0.242744960021355,0.010435707839177882,label_permutation_residual,0.2452151874882132,0.0079654803723197
