target_name,feature_name,pca_width,model_lane,gate_name,status,candidate_grouped_pr_auc,ar_only_grouped_pr_auc,delta_vs_AR_only,beats_required_controls,positive_mean_fold_delta_vs_AR,not_driven_by_one_fold_only,positive_fold_count_vs_AR,fold_count,blocked_temporal_support,blocked_temporal_status
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_mean,128,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12227425751173215,0.11818805812409112,0.004086199387641029,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_mean,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12263995411054789,0.11818805812409112,0.004451895986456761,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_mean,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12264170925775845,0.11818805812409112,0.00445365113366733,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_slope,128,PCA_only,strict_grouped_pass,fail,0.10958102336415423,0.11818805812409112,-0.00860703475993689,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_slope,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11374972889361616,0.11818805812409112,-0.004438329230474963,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_slope,128,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11390193146332594,0.11818805812409112,-0.00428612666076518,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_slope,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11776898638783553,0.11818805812409112,-0.00041907173625559124,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_slope,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.1175181324856163,0.11818805812409112,-0.0006699256384748303,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_std,128,PCA_only,strict_grouped_pass,fail,0.11124818202062674,0.11818805812409112,-0.0069398761034643874,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_2s_std,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11298906882007194,0.11818805812409112,-0.005198989304019186,false,false,false,0,5,false,mixed_or_fail
