schema_version,target_name,target_type,validation_protocol,fold,seed,architecture,control_type,feature_name,loss_objective,n_train,n_test,checkpoint_restore_pass,eval_mode_scoring,dropout_disabled,ar_retrained,frozen_ar_train_checksum,frozen_ar_test_checksum,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift,within_video_macro_pr_auc,within_video_macro_roc_auc,within_video_macro_spearman_future_movement,within_video_macro_top_5pct_lift,within_video_video_count,best_epoch,epochs_run,best_inner_val_delta_vs_frozen_ar,best_inner_val_secondary_delta,early_stopping_reason,residual_suppressed,checkpoint_restored,checkpoint_path,checkpoint_checksum,label_policy,alpha_final,gate_mean,gate_p05,gate_p50,gate_p95,delta_vs_frozen_ar_pr_auc,delta_vs_frozen_ar_roc_auc,delta_vs_frozen_ar_top_1pct_recall,delta_vs_frozen_ar_top_5pct_recall,delta_vs_frozen_ar_top_10pct_recall,delta_vs_frozen_ar_spearman_future_movement,continuous_bias,peak_underprediction,binary_pr_auc,binary_roc_auc,binary_pr_auc_from_continuous_prediction,top_1pct_continuous_lift,ndcg_at_1pct,top_1pct_spike_recall_from_continuous_prediction,top_5pct_continuous_lift,ndcg_at_5pct,top_5pct_spike_recall_from_continuous_prediction,top_10pct_continuous_lift,ndcg_at_10pct,top_10pct_spike_recall_from_continuous_prediction,delta_vs_frozen_ar_continuous_spearman,delta_vs_frozen_ar_continuous_pearson,delta_vs_frozen_ar_top_1pct_continuous_lift,delta_vs_frozen_ar_top_5pct_continuous_lift,delta_vs_frozen_ar_top_10pct_continuous_lift,delta_vs_frozen_ar_ndcg_at_1pct,delta_vs_frozen_ar_ndcg_at_5pct,delta_vs_frozen_ar_ndcg_at_10pct,delta_vs_frozen_ar_binary_pr_auc,delta_vs_frozen_ar_binary_pr_auc_from_continuous_prediction
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,frozen_ar_only,temporal_mean_2s_then_pca256,frozen_ar_only_eval_mode,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,real_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-1.8847649097442634,0.2638575374617925,0.7467043012629659,0.32983777000985925,0.25573314801945796,0.46441191317516406,0.6446730602376466,0.07759483903646469,0.014491474255919456,0.12038053935715463,0.27423409776589175,0.2540798486074957,0.25352894596180486,0.4320809248554913,0.03773346794548208,3.7679485093941576,0.2187058925628662,0.14206717163324356,0.3666087962962963,0.1598939929328622,3.197000811821096,0.18512393534183502,0.10848521441221237,0.31500506439010273,0.2747349823321555,2.746992043717881,0.15983082354068756,0.08319210261106491,0.36224111404874787,0.6521019833382204,0.21385384504560367,1.9607674180872239,995.0,17.0,25.0,0.007205726905259696,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__real_residual__seed20260625__best.npz,7c8b11a857928af7fe6815389b2eabae,true_train_and_true_inner_val_selection,0.00272359955124557,0.1496870517730713,0.00020959752146154642,0.025958826765418053,0.7927068471908569,0.00016644678857585804,0.006524328077192387,-0.0026501766784452277,-0.0029025744573447643,-0.004921756688541112,-0.004328201195324455,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1208380460739136,0.26374136549234556,0.7401250250873334,0.32042194092827003,0.24068204868154158,0.4791771832407875,0.6416841504088273,0.07590869814157486,0.014351471327245235,0.11979762655096818,0.330232314259307,0.26514178596364085,0.2568535442392297,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18819621205329895,0.1115574911236763,0.32050354507307194,0.27953054013124684,2.7949413765893922,0.16246727108955383,0.08582855015993118,0.3606253250353972,0.6418262731372291,0.21752750479666427,1.9420249500623255,995.0,7.0,15.0,3.3742587208174246e-05,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__shuffled_pca_residual__seed20260625__best.npz,24909f307a25a9e08a81c7537dbb5018,true_train_and_true_inner_val_selection,0.0022810883820056915,0.24152545630931854,3.0873559353494784e-06,0.026017526164650917,0.9543315768241882,5.0274819128892645e-05,-5.4948098440199544e-05,0.0,0.0,-0.00012619888944975788,-0.0010036029178996375,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,random_pca_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.120552897453308,0.263735546068989,0.7401213841595358,0.3193099657519767,0.24009664907483944,0.47652700656234226,0.6405879062430686,0.07597096264362335,0.014320580288767815,0.11966862700293597,0.33063897150558313,0.26608295772873114,0.256808755750813,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18809013068675995,0.1114514097571373,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248223185539246,0.0858435109257698,0.36074516143510754,0.6420309754509863,0.21736850947218564,1.9483377861623956,995.0,7.0,15.0,2.1407666873890507e-05,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__random_pca_residual__seed20260625__best.npz,7336f8e2c92f0035207a4571d7088282,true_train_and_true_inner_val_selection,0.002279162872582674,0.27341410517692566,5.189658168092137e-06,0.03988252207636833,0.9666074514389038,4.445539577235813e-05,-5.85890262377875e-05,0.0,0.0,0.0,-0.0010483914063162958,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,label_permutation_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.1203863620758057,0.26369109067321667,0.7401799731857736,0.3233567589913187,0.2404401819746711,0.49356385663806157,0.6458044367780922,0.07450199127197266,0.014593099243938923,0.12080190082916296,0.35305732508197707,0.296161136932833,0.2578571471571293,0.4624277456647399,0.04038364462392731,4.032587033465319,0.24769581854343414,0.1710570976138115,0.3732638888888889,0.16279656739020695,3.255036343527399,0.18812014162540436,0.11148142069578171,0.32064824193315006,0.2796567390206966,2.7962032011386424,0.16248221695423126,0.08584349602460861,0.3638075694386801,0.6407496309416946,0.29011075629017374,1.9117012548450132,995.0,0.0,8.0,0.0,0.0,patience_exhausted,True,False,,,permuted_train_and_permuted_inner_val_selection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,train_only_video_mean_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-2.150592041015625,0.26426074428464913,0.744018614708538,0.3202020941641649,0.2255286230015472,0.5518677435638566,0.6531998377495305,0.07685283571481705,0.01440313458442688,0.12001306005775739,0.2993834992002292,0.24697797179157252,0.25239154002270264,0.44942196531791906,0.039247854618879356,3.919170523149107,0.2402227520942688,0.16358403116464615,0.3706597222222222,0.16166077738515902,3.232326787642324,0.18664222955703735,0.1100035086274147,0.318477789031978,0.27776375567895,2.7772758328998877,0.16174286603927612,0.08510414510965347,0.3586973868790303,0.6405059765248736,0.19711212135828002,1.919279976103198,995.0,10.0,18.0,0.0020279449747071243,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__train_only_video_mean_residual__seed20260625__best.npz,9b5ba50c0d33c28f07d7ee10650c3dd2,true_train_and_true_inner_val_selection,0.002500727539882064,0.1512448787689209,0.00011552341311471537,0.018871407955884933,0.8502492308616638,0.0005696536114324635,0.0038386415227644743,-0.0011357900050479527,-0.001135790005047932,-0.0018929833417465902,-0.0054656071344266755,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260625,current_row_mlp_residual,diagnostics_only_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,-1.9463062763214112,0.25815021611284145,0.7335096511238642,0.31568247821878026,0.2560458542713568,0.41153457849570924,0.6283280555489155,0.07713146507740021,0.014475652016699314,0.12031480381357613,0.28840464732976273,0.23258315812784047,0.24958771342971703,0.4277456647398844,0.03735487127713276,3.73014300595542,0.22585828602313995,0.1492195650935173,0.3706597222222222,0.16166077738515902,3.232326787642324,0.18637193739414215,0.1097332164645195,0.3170308204311966,0.2765017667844523,2.7646575874073847,0.16161556541919708,0.08497684448957443,0.3639446397009583,0.6429298931835142,0.2218162799190643,2.018789114930009,995.0,40.0,40.0,0.0014728990601295677,0.0,max_epochs_reached,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__diagnostics_only_residual__seed20260625__best.npz,5d3e829e7a389e6bcd0ca6efea625f0c,true_train_and_true_inner_val_selection,0.002624131040647626,0.32628220319747925,2.1076042244771998e-08,0.03068131022155285,0.9999645352363586,-0.00554087456037522,-0.006670322061909317,-0.00302877334679455,-0.001135790005047932,-0.00315497223624428,-0.00826943372741229,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,current_row_mlp_residual,frozen_ar_only,temporal_mean_2s_then_pca256,frozen_ar_only_eval_mode,159923,69101,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8854221105575562,0.26855679504491203,0.7475899203341895,0.3268123138033764,0.2694007858546169,0.4153205451792024,0.6347161922979884,0.0740935355424881,0.014682987704873085,0.1211733786971094,0.35387237501669483,0.297225480301254,0.2501556196157572,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24231746792793274,0.1656787469983101,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1890181452035904,0.11237942427396774,0.3189118796122124,0.27814235234729934,2.7810613065476386,0.16280727088451385,0.0861685499548912,0.35826016544235656,0.6383881538621846,0.3018643121339288,1.8620416311014565,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,current_row_mlp_residual,real_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8261532068252566,0.274920639008648,0.7543818596987844,0.33818895839992696,0.2649731663685152,0.4673144876325088,0.6497041241797897,0.07783771306276321,0.014326048083603382,0.11969147038784085,0.28391716945456125,0.24404246574048236,0.2508247006279635,0.47398843930635837,0.04139323573952549,4.133401709301952,0.237013578414917,0.16037485748529434,0.3793402777777778,0.1654467440686522,3.3080253072592405,0.19003582000732422,0.11339709907770157,0.3264361163362755,0.2847046945986875,2.846676183108654,0.1647488921880722,0.08811017125844955,0.3647886733128307,0.6602996282532729,0.25908799207035316,1.92058712737289,995.0,19.0,27.0,0.008207335681310407,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__real_residual__seed20260626__best.npz,007a4cb9c4d4385dc4b0bada280d4df4,true_train_and_true_inner_val_selection,0.002867999253794551,0.37105756998062134,7.53818198973022e-08,0.059056006371974945,0.9995246529579163,0.00636384396373596,0.006791939364594879,0.0017667844522968185,0.0013881877839475032,0.006562342251388187,0.0006690810122063073,,,,,,,,,,,,,,,,,,,,,,,,
again_dense_2hz_phase5_temporal_residual_blocked_v1,future_arousal_max_delta_rows_4_10_train_q90,binary,blocked_temporal_70_30,1,20260626,current_row_mlp_residual,shuffled_pca_residual,temporal_mean_2s_then_pca256,binary_regression_plus_binary,159923,69101,True,True,True,False,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,-1.8860452175140383,0.26864651450053767,0.7474667497065001,0.32667858561779894,0.26932525384867345,0.4150681474003029,0.6346063394209288,0.07577848434448242,0.014429246075451374,0.12012179683742404,0.3194752777039384,0.2589075745306889,0.24908483465805703,0.45375722543352603,0.03962645128722867,3.9569760265878444,0.24173548817634583,0.16509676724672318,0.3761574074074074,0.1640585562847047,3.2802691833997044,0.1889793574810028,0.11234063655138016,0.3190565764722906,0.2782685512367491,2.7823231310968892,0.162886843085289,0.08624812215566635,0.3544484191242028,0.6396465970681221,0.22735985839779058,1.8853754190629037,995.0,6.0,14.0,3.616260703342977e-05,0.0,patience_exhausted,False,True,outputs/again_dense_2hz_phase5_temporal_residual_blocked_20260630_020557/checkpoints/future_arousal_max_delta_rows_4_10_train_q90__current_row_mlp_residual__shuffled_pca_residual__seed20260626__best.npz,63c4e02ea2d5e158cd81fae4b541f3ed,true_train_and_true_inner_val_selection,0.0023733556736260653,0.19388329982757568,1.0086168913403526e-05,0.022411726415157318,0.8782104253768921,8.971945562563644e-05,-0.00012317062768940623,0.0,0.0,0.00012619888944975788,-0.0010707849577001882,,,,,,,,,,,,,,,,,,,,,,,,
