candidate,f1,feature_width,head,pr_auc,real_minus_ar_pr_auc,real_minus_random_pr_auc,real_minus_shuffled_pr_auc,real_minus_timestamp_pr_auc,real_minus_video_time_pr_auc,scope,split,target,threshold
roi_parcel_features,0.49529780564263326,75,ridge_score,0.4966956253276664,-0.0010964951520402444,0.0012275483333566983,0.005685065428715386,0.14719508115508156,0.15121851482149118,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.495890410958904,512,ridge_score,0.491903366687537,-0.005924845907538112,0.028285918432869872,-0.0024897489089228952,0.14586222313129893,0.14642625618136174,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.5083333333333333,75,ridge_score,0.4889533549787609,0.00951719933416062,0.02675621253531596,0.02150332580762304,0.16314487792611998,0.13704293768760745,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.47910863509749313,64,ridge_score,0.4843291944418754,-0.013838441842351279,-0.003109125061841689,-0.010583641581169534,0.1363300063102827,0.140907016516031,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
pca_current_128,0.47639484978540775,128,ridge_score,0.47526184662127086,-0.02290578966295581,-0.004441967284826542,-0.0017557155735438146,0.12726265848967816,0.1330861475368853,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
cortical_pca64_delta,0.4577039274924471,384,ridge_score,0.4726883952047929,-0.02547924107943378,0.007561000098537107,0.005110799059418802,0.12468920707320019,0.1292662172789485,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
topk_vertices_512,0.49721115537848604,512,ridge_score,0.47225262976995863,-0.010473403168962059,0.042377108952244,-0.006442605223772935,0.12955971184096204,0.11172440502180164,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.48920863309352525,64,ridge_score,0.4683138270236734,-0.011806505689554658,-0.0035267387240445203,-0.008808216774060296,0.14123758329504055,0.10912219742838686,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.4628450106157113,128,ridge_score,0.4633373379643446,-0.03235401065542409,-0.021491688635471462,-0.015986687881198836,0.13277728707146919,0.14504166483572972,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
roi_parcel_features,0.4797699031077321,,ridge_score,0.4621493821472251,0.0007395221848341515,0.010708351856808296,0.008988894624111033,0.1339108465217899,0.12582111497573273,all_videos,grouped_video_mean,arousal__future_change_p3s_movement,0.05
pca_current_256,0.4538216560509554,256,ridge_score,0.46180713572710036,-0.03602107686797473,-0.016914030688991277,-0.019208487155418563,0.11576599217086231,0.11633002522092512,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.44845360824742275,512,ridge_score,0.4617055638193587,-0.03268075607093368,0.006147153150831475,-0.006778866831046004,0.12538065896824035,0.13349436725222552,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
pca_current_128,0.4807370184254606,128,ridge_score,0.45876729333286653,-0.022873656546660237,-0.0015163683631477798,0.0012539484003181722,0.13169104960423367,0.10640594228678424,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
raw_current_ridge,0.4538216560509554,20484,ridge_score,0.45743893444222744,-0.04035318603747923,0.1343745019557439,-0.023327885732565667,0.10793839026964258,0.1119618239360522,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
pca_current_256,0.46855059252506837,256,ridge_score,0.4553749768926056,-0.026265972986921182,0.019877469363372646,-0.0014553319988690472,0.12829873316397272,0.1030136258465233,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
pca_delta_256,0.44061650045330913,1536,ridge_score,0.45361959324394135,-0.04454804304028531,0.03584121135180257,-0.003383953790168537,0.1075784496877033,0.10747122146801513,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
