milestone,source_path,reason,size_bytes
AGAIN Phase 5 Eval-Mode Rescore Evidence Bundle,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_evalmode_rescore_/metrics/evalmode_within_video_metrics.csv,exceeds_73400320_bytes_cap,105207118
AGAIN Phase 5.5 Temporal Residual Binary Big Confirmation Evidence Bundle,outputs/again_dense_2hz_phase5_temporal_residual_binary_big_confirm_20260630_025437/metrics/temporal_residual_binary_big_confirm_seed_metrics.partial.csv,partial_metric_not_copied,100222
AGAIN Phase 5.5 temporal residual diagnostic,evidence/phase_5_4_temporal_residual_diagnostic_20260630_020557/metrics/temporal_residual_blocked_seed_metrics.partial.csv,partial_metric_not_copied,237064
