target_name,protocol,fold,train_rows,test_rows,pca_width,explained_variance_ratio_sum,score_path
future_arousal_max_delta_rows_4_10_train_q90,blocked_temporal_70_30,1,159923,69101,256,0.999078137301159,outputs/again_dense_2hz_phase5_redesigned_target_foldsafe_pca_20260630_005312/features/future_arousal_max_delta_rows_4_10_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s__scores_w256.npy
residual_future_max_delta_rows_4_10,blocked_temporal_70_30,1,156873,68008,256,0.9990749483178785,outputs/again_dense_2hz_phase5_redesigned_target_foldsafe_pca_20260630_005312/features/residual_future_max_delta_rows_4_10__blocked_temporal_70_30__fold1__temporal_mean_2s__scores_w256.npy
