schema_version,target_name,validation_protocol,fold,feature_name,model_head,loss_name,seed,control_type,n_train,n_test,feature_width,train_event_count,test_event_count,train_positive_rate,test_positive_rate,checkpoint_path,checkpoint_checksum,checkpoint_best_epoch,checkpoint_file_loadable,eval_mode_scoring,dropout_disabled_for_scoring,source_was_legacy_train_mode_dropout_scoring,status,decision_threshold_train_only,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,accuracy,continuous_mae,continuous_mse,continuous_rmse,continuous_pearson,continuous_spearman,spearman_future_movement,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,20260625,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__binary__20260625__best.npz,8799104bb17afc089b690f8cfe34a721,53,True,True,True,True,success,-1.9638080596923828,0.26076248244292716,0.7343348577679135,0.3254094525035096,0.2566809390225897,0.44440184049079756,0.6416579410590677,0.7950263752825923,3.017500638961792,11.68813419342041,3.41879133516809,0.25486352446510097,0.21583434380254332,0.21583434380254332,0.4289772727272727,0.03859918200408998,3.8561350419455285,0.19139298796653748,0.1405520737171173,0.37105487631504125,0.16679447852760737,3.335462743623871,0.14520478248596191,0.09436386823654175,0.322291725902758,0.28974948875255624,2.8971241531782814,0.12172555178403854,0.07088463753461838
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,20260626,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__binary__20260626__best.npz,0457a72346ab808474a27e4f5dbe53a7,74,True,True,True,True,success,-1.93794846534729,0.26247212414648374,0.7359050602283465,0.3250750024194329,0.2615636193739293,0.4293200408997955,0.6388045162663663,0.8016806244756935,2.9707424640655518,11.034847259521484,3.321874058347409,0.26026098161098676,0.2122262438783093,0.2122262438783093,0.45170454545454547,0.040644171779141106,4.060433587214166,0.19750694930553436,0.1466660350561142,0.36792721069092976,0.16538854805725972,3.307347731991792,0.14321136474609375,0.09237045049667358,0.3248507250497583,0.29205010224948874,2.9201273445136184,0.123012013733387,0.07217109948396683
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,20260627,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__binary__20260627__best.npz,ffc77859920c65f0e9e318b8224f07e6,117,True,True,True,True,success,-1.7605226039886475,0.26379289279981233,0.7405651937126191,0.32209579253770837,0.2748622527323638,0.3889314928425358,0.6302489387037322,0.8178754745418094,3.271500587463379,15.581088066101074,3.9472886980940567,0.23622307047949934,0.20759943871802555,0.20759943871802555,0.4289772727272727,0.03859918200408998,3.8561350419455285,0.1883002668619156,0.13745935261249542,0.3693488768837077,0.1660276073619632,3.320127282733646,0.14381913840770721,0.09297822415828705,0.3208700597099801,0.2884713701431493,2.884344602436428,0.12121021747589111,0.07036930322647095
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression,20260625,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression__20260625__best.npz,13991c66856c58563f09c2651968fcab,96,True,True,True,True,success,0.06530683375895023,0.26239758191125956,0.7362323896206243,0.31975813622621374,0.29817578772802655,0.3447085889570552,0.6215759816495644,0.8368429284383843,0.05669526755809784,0.008276949636638165,0.09097774253430431,0.34602198683699015,0.2631582330408731,0.2631582330408731,0.4474431818181818,0.040260736196319015,4.022127609976296,0.20281323790550232,0.15197232365608215,0.37105487631504125,0.16679447852760737,3.335462743623871,0.1477394551038742,0.09689854085445404,0.32399772533409155,0.2912832310838446,2.912459614068506,0.1259458363056183,0.07510492205619812
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression,20260626,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression__20260626__best.npz,1b7d54e534f7eb0bf2bc2435534f9beb,176,True,True,True,True,success,0.06351197585463518,0.2639923386509725,0.7366641684597584,0.3232796486090776,0.298346124743271,0.35276073619631904,0.6244581833828476,0.835705449943837,0.05623970925807953,0.008284959010779858,0.09102175020718871,0.3476275201834879,0.2686234618319379,0.2686234618319379,0.4303977272727273,0.03872699386503067,3.868903701024819,0.19701462984085083,0.14617371559143066,0.38015353994882,0.1708844580777096,3.4172518683717357,0.1490357369184494,0.09819482266902924,0.3249928916690361,0.2921779141104294,2.921405299587804,0.1261889934539795,0.07534807920455933
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression,20260627,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression__20260627__best.npz,f59bd244a71e8623e969294c08d6c3aa,168,True,True,True,True,success,0.05425408482551575,0.2651655814595834,0.7371444285765556,0.32704836691547656,0.24685729173451443,0.48440695296523517,0.6497098357703773,0.7782343490068391,0.05644555389881134,0.008265851065516472,0.09091672599426616,0.34836670941374764,0.26684654666486296,0.26684654666486296,0.4474431818181818,0.040260736196319015,4.022127609976296,0.20238512754440308,0.1515442132949829,0.38015353994882,0.1708844580777096,3.4172518683717357,0.14959140121936798,0.09875048696994781,0.32669889110036965,0.2937116564417178,2.936740760478029,0.12632246315479279,0.07548154890537262
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression_plus_binary,20260625,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression_plus_binary__20260625__best.npz,b40357d26d45424bf38897d5c78a4098,71,True,True,True,True,success,-2.1042351722717285,0.2614953419145701,0.7343092369155677,0.3209425821440425,0.2375921375921376,0.4943762781186094,0.6479032589658751,0.7672719000156404,0.057220663875341415,0.008257096633315086,0.0908685679061527,0.34735419222457,0.2691682540839851,0.22235288687938276,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression_plus_binary,20260626,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression_plus_binary__20260626__best.npz,bed699415e47ea9b55ea3845bb626e2d,153,True,True,True,True,success,-1.770216703414917,0.2682127880208318,0.7419628480137832,0.3232516183805582,0.27635637815278535,0.38931492842535786,0.630856609908361,0.8186574910068106,0.05631409212946892,0.008252859115600586,0.09084524817292638,0.3500040344379551,0.27119844424191425,0.21412693128971835,0.46875,0.04217791411042945,4.213657496165644,0.19728383421897888,0.14644291996955872,0.37731020756326417,0.16960633946830267,3.391692766888028,0.14604191482067108,0.09520100057125092,0.3251350582883139,0.29230572597137017,2.9226832546619894,0.1225748062133789,0.07173389196395874
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,regression_plus_binary,20260627,ar_only_head,162758,70331,7,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_only_head__gated_ar_pca_mlp__regression_plus_binary__20260627__best.npz,1cfc6360d0e14bc3107d133983329640,174,True,True,True,True,success,-1.7035337686538696,0.2667084160340648,0.7429632114332029,0.32155322862129143,0.280441400304414,0.37678936605316976,0.6278894596116074,0.8231220940979085,0.057235460728406906,0.008247229270637035,0.09081425697894045,0.34701638735279194,0.2691063569331542,0.2104680288030543,0.4403409090909091,0.03962167689161554,3.958284314579848,0.19224095344543457,0.1414000391960144,0.3764572078475974,0.16922290388548059,3.3840250364429156,0.14631874859333038,0.09547783434391022,0.32371339209553596,0.2910276073619632,2.9099037039201354,0.1221621185541153,0.07132120430469513
again_dense_2hz_phase5_evalmode_rescore_v1,arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,temporal_mean_2s_then_pca256,gated_ar_pca_mlp,binary,20260625,ar_plus_random_pca,162758,70331,316,16361,7824,0.10052347657258015,0.11124539676671738,outputs/again_dense_2hz_phase5_adversarial_repair_fixplus_20260629_171825/checkpoints/arousal_spike_rows_2_6_train_q90__blocked_temporal_70_30__fold1__temporal_mean_2s_then_pca256__ar_plus_random_pca__gated_ar_pca_mlp__binary__20260625__best.npz,0563e75c7f0a326e07c201b4ce14f8f2,7,True,True,True,True,success,-1.8905634880065922,0.2259531493358724,0.699578600162017,0.2748890772221945,0.2253371475275848,0.3523773006134969,0.6003731416437188,0.793192191210135,2.7615556716918945,8.50629711151123,2.916555693195525,0.25695225007283373,0.1832925399305039,0.1832925399305039,0.4090909090909091,0.03680981595092025,3.6773738148354713,0.1851317286491394,0.13429081439971924,0.3275518908160364,0.147239263803681,2.9444084909231414,0.13123548030853271,0.08039456605911255,0.2698322433892522,0.24258691206543967,2.425558730803872,0.10493243485689163,0.054091520607471466
