target_name,validation_protocol,fold,loss_name,seed,control_type,top_1pct_precision,top_1pct_recall,top_1pct_lift,top_1pct_avg_true_movement,top_1pct_avg_true_movement_lift,top_5pct_precision,top_5pct_recall,top_5pct_lift,top_5pct_avg_true_movement,top_5pct_avg_true_movement_lift,top_10pct_precision,top_10pct_recall,top_10pct_lift,top_10pct_avg_true_movement,top_10pct_avg_true_movement_lift
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,ar_only_head,0.4289772727272727,0.03859918200408998,3.8561350419455285,0.19139298796653748,0.1405520737171173,0.37105487631504125,0.16679447852760737,3.335462743623871,0.14520478248596191,0.09436386823654175,0.322291725902758,0.28974948875255624,2.8971241531782814,0.12172555178403854,0.07088463753461838
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260626,ar_only_head,0.45170454545454547,0.040644171779141106,4.060433587214166,0.19750694930553436,0.1466660350561142,0.36792721069092976,0.16538854805725972,3.307347731991792,0.14321136474609375,0.09237045049667358,0.3248507250497583,0.29205010224948874,2.9201273445136184,0.123012013733387,0.07217109948396683
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260627,ar_only_head,0.4289772727272727,0.03859918200408998,3.8561350419455285,0.1883002668619156,0.13745935261249542,0.3693488768837077,0.1660276073619632,3.320127282733646,0.14381913840770721,0.09297822415828705,0.3208700597099801,0.2884713701431493,2.884344602436428,0.12121021747589111,0.07036930322647095
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260625,ar_only_head,0.4474431818181818,0.040260736196319015,4.022127609976296,0.20281323790550232,0.15197232365608215,0.37105487631504125,0.16679447852760737,3.335462743623871,0.1477394551038742,0.09689854085445404,0.32399772533409155,0.2912832310838446,2.912459614068506,0.1259458363056183,0.07510492205619812
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260626,ar_only_head,0.4303977272727273,0.03872699386503067,3.868903701024819,0.19701462984085083,0.14617371559143066,0.38015353994882,0.1708844580777096,3.4172518683717357,0.1490357369184494,0.09819482266902924,0.3249928916690361,0.2921779141104294,2.921405299587804,0.1261889934539795,0.07534807920455933
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression,20260627,ar_only_head,0.4474431818181818,0.040260736196319015,4.022127609976296,0.20238512754440308,0.1515442132949829,0.38015353994882,0.1708844580777096,3.4172518683717357,0.14959140121936798,0.09875048696994781,0.32669889110036965,0.2937116564417178,2.936740760478029,0.12632246315479279,0.07548154890537262
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260625,ar_only_head,0.4446022727272727,0.04000511247443763,3.996590291817717,0.19922906160354614,0.14838814735412598,0.3667898777367074,0.16487730061349692,3.2971240913983086,0.14368849992752075,0.09284758567810059,0.3228603923798692,0.29026073619631904,2.902235973475023,0.12216760218143463,0.07132668793201447
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260626,ar_only_head,0.46875,0.04217791411042945,4.213657496165644,0.19728383421897888,0.14644291996955872,0.37731020756326417,0.16960633946830267,3.391692766888028,0.14604191482067108,0.09520100057125092,0.3251350582883139,0.29230572597137017,2.9226832546619894,0.1225748062133789,0.07173389196395874
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,regression_plus_binary,20260627,ar_only_head,0.4403409090909091,0.03962167689161554,3.958284314579848,0.19224095344543457,0.1414000391960144,0.3764572078475974,0.16922290388548059,3.3840250364429156,0.14631874859333038,0.09547783434391022,0.32371339209553596,0.2910276073619632,2.9099037039201354,0.1221621185541153,0.07132120430469513
arousal_spike_rows_2_6_train_q90,blocked_temporal_70_30,1,binary,20260625,ar_plus_random_pca,0.4090909090909091,0.03680981595092025,3.6773738148354713,0.1851317286491394,0.13429081439971924,0.3275518908160364,0.147239263803681,2.9444084909231414,0.13123548030853271,0.08039456605911255,0.2698322433892522,0.24258691206543967,2.425558730803872,0.10493243485689163,0.054091520607471466
