schema_version,target_name,target_value_column,target_mask_column,target_threshold_train_only,target_threshold_quantile,target_transform,validation_protocol,fold,model_lane,n_train,n_test,train_videos,test_videos,train_event_count,test_event_count,train_positive_rate,test_positive_rate,feature_width,decision_threshold_train_only,uses_future_features,uses_train_only_transform,vjepa_encoding_run,tribe_encoding_run,pca_run,pr_auc,roc_auc,f1,balanced_accuracy,precision,recall,accuracy,top_1pct_recall,top_5pct_recall,top_10pct_recall,predicted_positive_rate,predicted_positive_count,delta_mae,delta_mse,delta_pearson
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15704058010258418,0.9,positive_delta,grouped_video,1,AR_only,186467,46622,796,199,18647,4837,0.10000160886376679,0.10374930290420831,7,0.09608682245016098,False,True,False,False,False,0.16862792181964004,0.6203883060180208,0.22446890197082162,0.5884680552506878,0.13278322419470837,0.7252429191647716,0.48007378490841235,0.03638618978705809,0.12797188339880092,0.19206119495555096,0.5666638067864956,26419,0.09831828371746752,0.014775313094632415,0.21676571835255387
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15642857142856914,0.9,positive_delta,grouped_video,2,AR_only,186470,46619,796,199,18651,4926,0.10002145117177026,0.10566507218087046,7,0.096083864569664,False,True,False,False,False,0.15943574516429015,0.6171157100332565,0.22817975080875053,0.5889272523005411,0.13546301578246814,0.7231019082419813,0.48310774576889254,0.02781161185546082,0.11226146975233454,0.17986195696305318,0.5640404127072652,26295,0.09960096015854267,0.014996108046529594,0.2136285029266113
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.15625,0.9,positive_delta,grouped_video,3,AR_only,186480,46609,796,199,18656,4981,0.10004290004290005,0.10686777231865091,7,0.09622016549110413,False,True,False,False,False,0.1575418231013816,0.6027367361979172,0.22105031861129423,0.5729227608585151,0.13100907873195416,0.7068861674362578,0.4675920959471347,0.02911062035735796,0.11845011041959445,0.1806866091146356,0.5766268317277778,26876,0.09917034329293509,0.01472877748221152,0.20014298519366194
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16,0.9,positive_delta,grouped_video,4,AR_only,186452,46637,796,199,18646,4307,0.10000429064853153,0.09235156635289576,7,0.09610388427972794,False,True,False,False,False,0.15354416883796013,0.6155400141655685,0.1996700203810941,0.5804604780585898,0.11599759434671478,0.7165080102159276,0.46954135128760427,0.0410958904109589,0.137682841885303,0.1871372184815417,0.5704483564551751,26604,0.09702132844731318,0.01414543703254423,0.21422887604932261
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.16000000000000003,0.9,positive_delta,grouped_video,5,AR_only,186487,46602,796,199,18667,4275,0.10009813016456912,0.09173426033217459,7,0.0955958291888237,False,True,False,False,False,0.14187219914019134,0.5955285256794185,0.1962850568579718,0.5752450905419335,0.11446017423771002,0.6884210526315789,0.48283335479163986,0.04093567251461988,0.11929824561403508,0.16982456140350877,0.5517359769966954,25712,0.09630147688147872,0.014310525079872736,0.18357992418545216
again_dense_2hz_benchmark_v1,arousal_spike_rows_2_6_train_q90,future_arousal_max_delta_rows_2_6,target_mask_arousal_spike_rows_2_6,0.153846154,0.9,positive_delta,blocked_temporal_70_30,1,AR_only,162758,70331,995,995,16361,7824,0.10052347657258015,0.11124539676671738,7,0.13348395377397537,False,True,False,False,False,0.20362384328926364,0.6704334584874143,0.19601837672281777,0.5507766279460954,0.2653283875190923,0.1554192229038855,0.8581706502111445,0.037321063394683024,0.13254089979550102,0.20679959100204498,0.06516329925637343,4583,0.09324600685228834,0.014415671544899467,0.22533221780502105
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05885150026254019,0.9,positive_delta,grouped_video,1,AR_only,189793,47438,796,199,18980,4395,0.10000368822875448,0.09264724482482398,7,0.13028159439563752,False,True,False,False,False,0.19704037302274524,0.661493370771885,0.2924944812362031,0.6119410657866091,0.2840300107181136,0.3014789533560865,0.8648762595387663,0.03162684869169511,0.18748577929465302,0.30398179749715587,0.0983388844386357,4665,0.10499765596467761,0.01436831531363348,0.2197940818382972
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.05833333309999999,0.9,positive_delta,grouped_video,2,AR_only,189800,47431,796,199,18980,4815,0.1,0.10151588623474099,7,0.13046944588422776,False,True,False,False,False,0.21701434062955027,0.6528098154330852,0.30905263157894736,0.6146962509607885,0.3133404482390608,0.30488058151609554,0.8616094958993064,0.037383177570093455,0.18359293873312565,0.30612668743509863,0.09877506272269192,4685,0.10488667571542022,0.014487453271685555,0.247342173504418
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058110430492643694,0.9,positive_delta,grouped_video,3,AR_only,189781,47450,796,199,18979,4908,0.1000047423082395,0.10343519494204426,7,0.13120035827159882,False,True,False,False,False,0.21290834560962218,0.6456599656614336,0.30201066885514977,0.6103748395037348,0.30413223140495865,0.29991850040749796,0.8566069546891465,0.0356560717196414,0.1752241238793806,0.2968622656886716,0.10200210748155954,4840,0.10744911379433159,0.015600768481603506,0.21077915740880662
again_dense_2hz_benchmark_v1,arousal_delta_p2rows_train_q90,future_arousal_delta_p2rows,target_mask_arousal_delta_p2rows,0.058823529999999985,0.9,positive_delta,grouped_video,4,AR_only,189784,47447,796,199,18989,4467,0.10005585296969186,0.09414715366619597,7,0.1301161944866181,False,True,False,False,False,0.1978203411086273,0.6643944455712296,0.2907926694634577,0.6093268895117632,0.28686560662165106,0.29482874412357285,0.8646068244567623,0.031117080814864563,0.17931497649429148,0.29997761361092457,0.09676059603346893,4591,0.10390859672495541,0.014179768961312952,0.21732681601845513
